table_number,table_title,title_fr,row_label,row_kind,year,value,provisional,n_editions,agreement,edition,page
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,BCT,data,2023,6529.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Billets de trésorerie,data,2021,62.6,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Billets de trésorerie,data,2022,69.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Billets de trésorerie,data,2023,60.6,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Bons de caisse,data,2021,2758.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Bons de caisse,data,2022,2988.8,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Bons de caisse,data,2023,3081.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Cértificats de dépôt,data,2021,4277.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Cértificats de dépôt,data,2022,5500.3,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Cértificats de dépôt,data,2023,5427.2,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,D. AUTRES POSTES NETS,data,2021,13542.9,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,D. AUTRES POSTES NETS,data,2022,12992.2,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,D. AUTRES POSTES NETS,data,2023,14495.1,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Dépots des entrep.&particul,data,2021,25612.2,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Dépots des entrep.&particul,data,2022,27030.2,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Dépots des entrep.&particul,data,2023,29060.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Dépots à vue auprès du CCP,data,2021,2117.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Dépots à vue auprès du CCP,data,2022,2182.3,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Dépots à vue auprès du CCP,data,2023,2686.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Emprunts subordonnés,data,2021,1435.0,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Emprunts subordonnés,data,2022,1732.5,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Emprunts subordonnés,data,2023,1678.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne Projet et investissement,data,2021,38.4,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Epargne Projet et investissement,data,2022,38.5,False,1,single source,2023,245
