year,function_code,function,index,base_year,basis,chain_disagreement
2019,5,Furnishings and household maintenance,128.9,2015,published,0.000384
2019,6,Health,118.1,2015,published,0.003093
2019,7,Transport,128.5,2015,published,0.00143
2019,8,Communication,102.2,2015,published,0.002036
2019,9,Recreation and culture,118.3,2015,published,0.002673
2019,10,Education,132.4,2015,published,0.004743
2019,11,Restaurants and hotels,133.3,2015,published,0.00029
2019,12,Miscellaneous goods and services,135.3,2015,published,0.001501
2020,0,All items,132.0,2015,published,0.000549
2020,1,Food and non-alcoholic beverages,130.2,2015,published,0.000833
2020,2,Alcoholic beverages and tobacco,144.0,2015,published,0.000514
2020,3,Clothing and footwear,143.9,2015,published,5.9e-05
2020,4,"Housing, water, gas and electricity",127.1,2015,published,0.00289
2020,5,Furnishings and household maintenance,137.7,2015,published,0.000384
2020,6,Health,127.6,2015,published,0.003093
2020,7,Transport,130.7,2015,published,0.00143
2020,8,Communication,103.4,2015,published,0.002036
2020,9,Recreation and culture,122.6,2015,published,0.002673
2020,10,Education,140.6,2015,published,0.004743
2020,11,Restaurants and hotels,147.8,2015,published,0.00029
2020,12,Miscellaneous goods and services,146.4,2015,published,0.001501
2021,0,All items,139.6,2015,published,0.000549
2021,1,Food and non-alcoholic beverages,138.4,2015,published,0.000833
2021,2,Alcoholic beverages and tobacco,163.9,2015,published,0.000514
2021,3,Clothing and footwear,154.7,2015,published,5.9e-05
2021,4,"Housing, water, gas and electricity",133.5,2015,published,0.00289
2021,5,Furnishings and household maintenance,143.7,2015,published,0.000384
2021,6,Health,136.5,2015,published,0.003093
2021,7,Transport,134.8,2015,published,0.00143
2021,8,Communication,104.7,2015,published,0.002036
2021,9,Recreation and culture,127.9,2015,published,0.002673
2021,10,Education,150.3,2015,published,0.004743
2021,11,Restaurants and hotels,158.9,2015,published,0.00029
2021,12,Miscellaneous goods and services,153.9,2015,published,0.001501
2022,0,All items,151.1,2015,published,0.000549
2022,1,Food and non-alcoholic beverages,153.5,2015,published,0.000833
2022,2,Alcoholic beverages and tobacco,185.6,2015,published,0.000514
2022,3,Clothing and footwear,169.6,2015,published,5.9e-05
2022,4,"Housing, water, gas and electricity",141.6,2015,published,0.00289
2022,5,Furnishings and household maintenance,157.1,2015,published,0.000384
2022,6,Health,142.0,2015,published,0.003093
2022,7,Transport,145.0,2015,published,0.00143
2022,8,Communication,107.0,2015,published,0.002036
2022,9,Recreation and culture,136.5,2015,published,0.002673
2022,10,Education,164.0,2015,published,0.004743
2022,11,Restaurants and hotels,171.9,2015,published,0.00029
2022,12,Miscellaneous goods and services,165.7,2015,published,0.001501
2023,0,All items,165.2,2015,published,0.000549
2023,1,Food and non-alcoholic beverages,175.5,2015,published,0.000833
2023,2,Alcoholic beverages and tobacco,195.3,2015,published,0.000514
2023,3,Clothing and footwear,185.7,2015,published,5.9e-05
2023,4,"Housing, water, gas and electricity",149.7,2015,published,0.00289
2023,5,Furnishings and household maintenance,172.8,2015,published,0.000384
2023,6,Health,147.8,2015,published,0.003093
2023,7,Transport,157.9,2015,published,0.00143
2023,8,Communication,109.3,2015,published,0.002036
2023,9,Recreation and culture,145.2,2015,published,0.002673
2023,10,Education,175.3,2015,published,0.004743
2023,11,Restaurants and hotels,189.8,2015,published,0.00029
2023,12,Miscellaneous goods and services,182.3,2015,published,0.001501
