series,year,summed,months,printed,agrees,month,check,base_year,monthly_mean,gap
money_orders,1995,188997.0,12.0,188997.0,True,,the twelve months come to the printed total,,,
money_orders,1996,192023.0,12.0,192023.0,True,,the twelve months come to the printed total,,,
money_orders,1997,185881.0,12.0,185881.0,True,,the twelve months come to the printed total,,,
money_orders,2007,484440.0,12.0,484440.0,True,,the twelve months come to the printed total,,,
money_orders,2008,519637.0,12.0,519637.0,True,,the twelve months come to the printed total,,,
money_orders,2009,530234.0,12.0,530234.0,True,,the twelve months come to the printed total,,,
money_orders,2010,558250.0,12.0,558250.0,True,,the twelve months come to the printed total,,,
money_orders,2011,546152.0,12.0,546152.0,True,,the twelve months come to the printed total,,,
money_orders,2012,602041.0,12.0,602041.0,True,,the twelve months come to the printed total,,,
money_orders,2013,590391.0,12.0,590391.0,True,,the twelve months come to the printed total,,,
money_orders,2014,603770.0,12.0,603770.0,True,,the twelve months come to the printed total,,,
money_orders,2015,601438.0,12.0,601438.0,True,,the twelve months come to the printed total,,,
money_orders,2016,622161.0,12.0,622161.0,True,,the twelve months come to the printed total,,,
money_orders,2017,706548.0,12.0,706548.0,True,,the twelve months come to the printed total,,,
money_orders,2018,895517.0,12.0,895519.0,True,,the twelve months come to the printed total,,,
money_orders,2019,1101310.0,12.0,1101310.0,True,,the twelve months come to the printed total,,,
money_orders,2020,1432615.0,12.0,1432615.0,True,,the twelve months come to the printed total,,,
money_orders,2021,2116925.0,12.0,2116925.0,True,,the twelve months come to the printed total,,,
money_orders,2022,2336595.0,12.0,2336595.0,True,,the twelve months come to the printed total,,,
money_orders,2023,2714045.0,12.0,2714045.0,True,,the twelve months come to the printed total,,,
road_deaths,1995,1318.0,12.0,1318.0,True,,the twelve months come to the printed total,,,
road_deaths,1996,1297.0,12.0,1297.0,True,,the twelve months come to the printed total,,,
road_deaths,1997,1307.0,12.0,1307.0,True,,the twelve months come to the printed total,,,
road_deaths,1998,1330.0,12.0,1330.0,True,,the twelve months come to the printed total,,,
road_deaths,1999,1444.0,12.0,1444.0,True,,the twelve months come to the printed total,,,
road_deaths,2000,1499.0,12.0,1499.0,True,,the twelve months come to the printed total,,,
road_deaths,2001,1618.0,12.0,1618.0,True,,the twelve months come to the printed total,,,
road_deaths,2002,1585.0,12.0,1585.0,True,,the twelve months come to the printed total,,,
road_deaths,2003,1656.0,12.0,1656.0,True,,the twelve months come to the printed total,,,
road_deaths,2004,1533.0,12.0,1533.0,True,,the twelve months come to the printed total,,,
road_deaths,2005,1519.0,12.0,1519.0,True,,the twelve months come to the printed total,,,
road_deaths,2006,1516.0,12.0,1516.0,True,,the twelve months come to the printed total,,,
road_deaths,2007,1497.0,12.0,1497.0,True,,the twelve months come to the printed total,,,
road_deaths,2008,1530.0,12.0,1530.0,True,,the twelve months come to the printed total,,,
road_deaths,2010,1208.0,12.0,1208.0,True,,the twelve months come to the printed total,,,
road_deaths,2011,1485.0,12.0,1485.0,True,,the twelve months come to the printed total,,,
road_deaths,2012,1623.0,12.0,1623.0,True,,the twelve months come to the printed total,,,
road_deaths,2013,1505.0,12.0,1505.0,True,,the twelve months come to the printed total,,,
road_deaths,2014,1565.0,12.0,1565.0,True,,the twelve months come to the printed total,,,
road_deaths,2015,1407.0,12.0,1407.0,True,,the twelve months come to the printed total,,,
road_deaths,2016,1443.0,12.0,1443.0,True,,the twelve months come to the printed total,,,
road_deaths,2017,1369.0,12.0,1369.0,True,,the twelve months come to the printed total,,,
road_deaths,2018,1205.0,12.0,1205.0,True,,the twelve months come to the printed total,,,
road_deaths,2019,1150.0,12.0,1150.0,True,,the twelve months come to the printed total,,,
road_deaths,2020,931.0,12.0,931.0,True,,the twelve months come to the printed total,,,
road_deaths,2021,1014.0,12.0,1014.0,True,,the twelve months come to the printed total,,,
road_deaths,2022,1057.0,12.0,1057.0,True,,the twelve months come to the printed total,,,
road_deaths,2023,1215.0,12.0,1215.0,True,,the twelve months come to the printed total,,,
road_injuries,1995,13089.0,12.0,13089.0,True,,the twelve months come to the printed total,,,
road_injuries,1996,13581.0,12.0,13581.0,True,,the twelve months come to the printed total,,,
road_injuries,1997,14569.0,12.0,14569.0,True,,the twelve months come to the printed total,,,
road_injuries,1998,15450.0,12.0,15450.0,True,,the twelve months come to the printed total,,,
road_injuries,1999,16861.0,12.0,16861.0,True,,the twelve months come to the printed total,,,
road_injuries,2000,17540.0,12.0,17540.0,True,,the twelve months come to the printed total,,,
road_injuries,2001,16335.0,12.0,16335.0,True,,the twelve months come to the printed total,,,
road_injuries,2002,16416.0,12.0,16416.0,True,,the twelve months come to the printed total,,,
road_injuries,2003,15698.0,12.0,15698.0,True,,the twelve months come to the printed total,,,
road_injuries,2004,14854.0,12.0,14854.0,True,,the twelve months come to the printed total,,,
road_injuries,2005,15368.0,12.0,15368.0,True,,the twelve months come to the printed total,,,
