governorate,delegation,dropout_primary_pct,dropout_secondary_pct,dropout_both_cycles_pct,poverty_rate_pct,reference_year,estimate_type,source_document
Tunis,SEJOUMI,1.1,4.1,2.7,11.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,JEBEL JLOUD,0.4,8.0,3.9,9.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,SIDI HASSINE,0.3,8.4,3.6,9.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,LA MEDINA,0.1,6.7,4.8,6.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL OMRANE,0.3,6.7,3.3,6.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL HARAIRIA,0.3,6.6,3.0,6.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,KABBARIA,0.2,5.2,2.4,5.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,BAB SOUIKA,0.2,12.1,6.2,4.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,SIDI EL BECHIR,0.1,8.4,4.3,4.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EZZOUHOUR,0.1,9.3,3.5,4.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL OUERDIA,0.1,6.8,3.4,3.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL OMRANE SUPERIEUR,0.1,6.5,3.2,3.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL KRAM,0.1,3.8,1.7,3.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL MARSA,0.2,6.7,3.4,2.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,ETTAHRIR,0.0,7.4,3.7,2.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,BARDO,0.1,5.3,3.2,1.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,BAB BHAR,0.1,4.5,2.8,1.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,CARTHAGE,0.0,6.5,3.6,1.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,CITE EL KHADRA,0.1,4.1,1.7,1.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,LA GOULETTE,0.1,7.1,4.4,1.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Tunis,EL MENZAH,0.0,1.7,1.1,0.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,KALAAT EL ANDALOUS,0.4,8.3,3.8,12.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,ETTADHAMEN,0.1,8.2,3.5,12.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,SIDI THABET,0.3,6.4,2.8,9.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,MNIHLA,0.1,8.9,3.9,8.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,RAOUED,0.1,5.9,2.6,6.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,SOUKRA,0.2,7.7,3.0,4.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ariana,ARIANA Ville,0.1,3.9,2.6,1.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,MORNAG,0.2,7.0,3.1,11.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,FOUCHANA,0.1,5.6,2.4,7.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,MHAMDIA,0.2,10.6,4.6,7.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,HAMMAMLIF,0.2,7.1,4.0,6.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,NOUVELLE MEDINA,0.1,5.1,2.3,5.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,BEN AROUS,0.1,4.8,2.3,5.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,HAMMAM ECHATT,0.2,7.5,3.7,5.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,RADES,0.3,7.7,4.1,4.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,BOUMHEL BASSATINE,0.1,4.2,1.8,4.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,MEGRINE,0.1,4.3,2.5,3.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,EL MOUROUJ,0.0,5.4,2.9,3.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Ben Arous,EZZAHRA,0.1,8.0,4.3,2.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,TEBOURBA,0.2,8.8,4.5,15.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,BATTANE,0.2,4.1,1.8,14.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,BORJ EL AMRI,0.2,10.7,4.4,12.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,JEDAIDA,0.2,5.8,2.4,11.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,DAOUAR HICHER,0.1,7.0,3.3,10.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,OUED ELLIL,0.2,5.5,2.5,8.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,MORNAGUIA,0.2,6.0,2.9,7.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Manouba,MANOUBA,0.1,8.2,4.7,3.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,TAKELSA,0.3,5.8,5.9,19.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,HAMMAM GHEZAZ,0.1,6.2,2.9,16.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,ELMIDA,0.5,6.9,3.6,11.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,HAOUARIA,0.3,6.7,5.0,11.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,KELIBIA,0.2,7.1,3.3,10.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,MENZEL TEMIME,0.5,8.5,2.6,10.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,BOUARGOUB,0.3,8.1,0.3,8.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,SLIMANE,0.2,9.5,2.3,7.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,KORBA,0.4,7.9,3.2,7.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,MENZEL BOUZELFA,0.2,8.4,3.0,7.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,BENI KHALLED,0.3,7.6,1.7,6.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
