governorate,delegation,dropout_primary_pct,dropout_secondary_pct,dropout_both_cycles_pct,poverty_rate_pct,reference_year,estimate_type,source_document
Nabeul,GROMBALIA,0.3,8.9,0.3,6.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,HAMMAMET,0.3,7.8,0.3,5.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,BENI KHIAR,0.3,5.8,0.3,5.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,DAR CHAABANE,0.3,5.8,4.6,4.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Nabeul,NABEUL,0.3,7.1,1.5,4.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Zaghouan,ENNADHOUR,0.5,7.4,3.5,22.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Zaghouan,SAOUAF,0.2,9.0,3.4,19.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Zaghouan,BIR MCHARGA,0.2,9.4,3.6,15.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Zaghouan,ZRIBA,0.3,5.2,2.2,13.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Zaghouan,EL FAHS,0.2,5.4,2.5,12.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Zaghouan,ZAGHOUAN,0.3,7.4,3.7,7.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,SEJNANE,0.4,8.5,3.9,39.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,JOUMINE,0.3,10.9,4.8,36.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,GHAZALA,0.2,7.7,3.2,34.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,MATEUR,0.1,5.2,2.6,19.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,UTIQUE,0.2,7.3,2.7,19.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,BIZERTE SUD,0.3,4.4,1.7,15.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,EL ALIA,0.5,7.7,3.4,15.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,GHAR EL MELH,0.7,8.6,3.6,14.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,MENZEL BOURGUIBA,0.3,7.4,3.9,12.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,RAS JEBEL,0.2,7.1,3.4,12.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,TINJA,0.1,4.3,2.1,11.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,ZARZOUNA,0.2,3.8,1.3,10.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,MENZEL JEMIL,0.2,7.4,3.8,10.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Bizerte,BIZERTE NORD,0.2,6.5,3.7,5.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,AMDOUN,0.5,7.3,3.4,37.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,NEFZA,0.5,7.5,3.8,37.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,GOUBELLATE,0.6,11.1,5.0,36.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,TEBOURSOUK,0.1,7.6,3.5,27.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,THIBAR,0.4,7.0,3.1,25.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,TESTOUR,0.3,6.4,2.9,25.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,BEJA NORD,0.1,6.5,2.4,23.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,BEJA SUD,0.1,7.0,4.5,18.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Beja,MEJEZ EL BAB,0.5,5.5,2.6,17.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,FERNANA,1.1,7.7,3.8,36.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,AIN DRAHAM,0.4,8.3,4.4,27.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,GHARDIMAOU,0.8,10.6,5.1,24.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,BALTA BOUAOUENE,0.6,5.4,3.3,23.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,OUED MLIZ,0.7,9.9,4.8,21.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,JENDOUBA NORD,0.3,10.6,5.0,19.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,TABARKA,0.2,6.5,3.2,16.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,BOU SALEM,0.3,8.1,3.4,16.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Jendouba,JENDOUBA SUD,0.3,7.7,4.2,10.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,NEBEUR,0.7,9.6,3.4,45.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,SAKIET SIDI YOUSSEF,0.4,8.2,5.3,39.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,DAHMANI,1.0,7.7,3.0,38.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,TAJEROUINE,0.4,8.6,1.4,37.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,EL KSOUR,0.5,6.7,5.5,37.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,KALAÂ KHASBA,0.4,5.4,6.0,35.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,LE SERS,0.4,9.4,5.7,34.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,KALAAT SENAN,0.1,9.2,1.7,32.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,JERISSA,0.3,4.3,5.7,31.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,EL KEF EST,0.2,6.2,3.1,24.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kef,EL KEF OUEST,0.2,8.5,4.4,21.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,KONDAR,0.8,20.7,4.9,28.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,SIDI EL HENI,1.1,13.0,4.2,27.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,ENFIDA,0.3,8.3,4.0,23.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,BOUFICHA,0.3,10.2,3.9,21.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,SIDI ABDELHAMID,0.2,9.2,0.5,17.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,ZAOUIA KSIBA THRAYET,0.5,5.8,2.3,17.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,SIDI BOU ALI,0.6,6.1,4.1,16.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,HERGLA,0.7,3.8,4.6,16.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,KALAA KEBIRA,0.5,6.0,3.9,16.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,KALAA SGHIRA,0.4,5.9,4.4,15.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,MSAKEN,0.4,6.8,3.1,14.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,SOUSSE RIADH,0.2,5.9,2.8,10.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,AKOUDA,0.3,4.9,3.4,9.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,HAMMEM SOUSSE,0.1,4.1,1.8,8.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,SOUSSE JAWHARA,0.2,6.6,1.7,7.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sousse,SOUSSE EL MEDINA,0.2,7.2,3.7,5.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,ZARAMDINE,0.3,7.4,5.3,13.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,MOKNINE,0.5,7.3,1.5,12.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,BENI HASSEN,0.3,2.8,3.2,10.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,OUERDANINE,0.6,7.7,4.5,8.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,BEKALTA,0.1,6.4,4.8,8.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,JEMMAL,0.6,6.1,1.8,7.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,KSAR HELLAL,0.3,6.9,3.0,6.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,TEBOULBA,0.3,4.7,4.6,6.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,SAHLINE,0.2,6.4,2.8,6.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,BEMBLA,0.3,5.5,3.7,6.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,KSIBET MEDIOUNI,0.2,5.1,0.8,5.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,SAYADA LAMTA BOUHJAR,0.5,6.1,3.1,4.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Monastir,MONASTIR,0.3,5.8,1.9,4.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,CHORBANE,0.8,5.2,2.3,36.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,OULED CHAMEKH,1.2,7.4,5.1,35.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,HEBIRA,0.4,6.8,4.6,33.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,MELLOULECH,0.8,7.5,3.2,30.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,BOUMARDASS,0.8,9.0,2.7,30.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,ESSOUASSI,0.7,11.0,3.5,29.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,SIDI ALOUANE,0.8,7.8,2.6,28.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,EL DJEM,0.3,8.2,2.5,26.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,KSOUR ESSEF,0.6,5.8,4.6,22.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,CHEBBA,0.3,3.8,3.4,15.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Mahdia,MAHDIA,0.4,7.6,1.1,13.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,BIR ALI BEN KHALIFA,1.1,6.4,2.6,17.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,EL GHRAIBA,0.8,7.0,4.0,14.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,SKHIRA,0.5,8.0,2.9,12.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,MENZEL CHAKER,0.7,8.8,3.6,12.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,HENCHA,0.6,8.2,4.6,11.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,AGAREB,0.6,6.3,4.1,10.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,EL MAHRES,0.3,10.9,3.9,8.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,JEBENIANA,0.8,8.0,2.0,8.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,EL AMERA,1.0,7.6,5.3,6.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,TINA,0.5,4.3,1.5,6.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,KERKENA,0.4,8.5,3.2,4.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,SAKIET EDDAIER,0.6,6.0,2.4,3.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,SAKIET EZZIT,0.5,4.7,1.7,3.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,SFAX OUEST,0.3,5.1,1.9,3.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,SFAX SUD,0.4,4.7,1.3,3.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sfax,SFAX Ville,0.2,4.9,2.3,2.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,OUESLATIA,0.6,9.1,3.3,40.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,ALA,0.8,7.3,4.0,38.3,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,HAJEB EL AYOUN,1.3,11.4,4.3,36.6,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,SBIKHA,1.3,8.1,4.1,35.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,SIDI ALI BEN NASRALLAH,0.8,6.9,2.7,35.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,SIDI AMOR BOU HAJLA,1.5,6.9,2.4,32.7,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,HAFFOUZ,0.5,6.7,2.1,31.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,CHERARDA,1.0,6.3,2.9,28.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,CHEBIKA,0.9,7.5,3.4,24.2,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,KAIROUAN SUD,1.0,7.4,2.2,23.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kairouan,KAIROUAN NORD,0.4,5.0,2.3,20.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,HASSI FRID,3.5,25.6,7.4,53.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,JEDELIANE,0.5,6.1,4.7,53.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,EL AYOUN,1.3,17.0,2.6,50.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,MAJEL BEN ABBES,0.8,9.0,3.9,41.4,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,HAIDRA,0.3,8.4,8.1,39.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,SBIBA,1.9,9.0,5.1,37.1,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,FERIANA,0.8,9.6,4.1,36.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,KASSERINE SUD,1.5,8.1,4.6,34.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,SBITLA,1.3,9.4,3.2,33.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,FOUSSANA,1.4,9.9,3.5,31.5,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,TALA,0.4,7.2,1.6,30.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,EZZOUHOUR,1.6,9.1,10.4,27.8,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Kasserine,KASSERINE NORD,0.8,7.2,1.9,18.9,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
Sidi Bouzid,MENZEL BOUZAYENE,0.8,12.3,6.5,39.0,2015,modelled small-area estimate,"Carte de la pauvreté en Tunisie (INS, September 2020)"
