hh_id,survey_year,region,milieu,weight_hh,weight_pop,hh_size,hh_size_class,n_children_0_14,n_working_age_15_59,n_elderly_60_plus,n_female,head_sex,head_age,head_marital_status,head_education,head_csp,expenditure_pc,expenditure_total,consumption_pc,consumption_total,expenditure_bracket,quintile,decile,poverty_line,extreme_poverty_line,poor,extreme_poor,food_share,share_alcohol_02,share_clothing_03,share_housing_04,share_furniture_05,share_health_06,share_transport_07,share_communication_08,share_recreation_09,share_education_10,share_restaurants_11,share_other_12
13,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,2,3,0,3,female,50,widowed,none,non-agricultural workers,3865.697375,19328.486875000002,3852.381375,19261.906875,"3,000-4,500 DT",3,5,2682.9965,1529.232875,not poor,not extremely poor,0.35500967849287896,0.0,0.06379185251416826,0.2109987759841292,0.03533903070543603,0.12110363241892891,0.0006725823866051803,0.03550458944675423,0.013904347415395554,0.1380346005740478,0.025640910061655954,0.0
14,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,2,1,1,female,66,widowed,primary,retired,5377.6452166900635,16132.93565007019,5357.5785500030515,16072.735650009156,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.4323422677128923,0.06446439880162697,0.07723330856425692,0.2040469106965192,0.02223401908667653,0.037024259661730584,0.0,0.10279282283911353,0.00032542124395052075,0.012396999769543648,0.04713959162368972,0.0
15,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,1,2,2,male,81,married,,retired,5351.226169433594,16053.678508300782,5338.042836151123,16014.12850845337,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.3518115801309961,0.0,0.08477807749793917,0.26444770897835035,0.027489026891874033,0.2250885988529046,0.0,0.04605797979572095,0.00032702785221468085,0.0,0.0,0.0
16,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,1,2,0,2,male,34,married,primary,non-agricultural workers,5174.490687393189,15523.472062179566,5120.957354721069,15362.872064163208,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.29543519645605054,0.15241435678822365,0.08374415208144156,0.16399037534901983,0.05497481491254018,0.10658646467748967,0.034335102353391045,0.024823699234295008,0.008712612745396132,0.03285347504733477,0.040197192999091955,0.0019325573557255745
17,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,1,1,1,male,61,married,primary,retired,5023.9,10047.8,5003.675,10007.35,"above 5,000 DT",3,7,2682.9965,1529.232875,not poor,not extremely poor,0.32317522243675234,0.10479906049085373,0.06070980712195705,0.41120444276359003,0.034276159955413124,0.01214196142439141,0.003980970958816856,0.014431019725711102,0.00034833495889647487,0.0,0.034933020163617906,0.0
18,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,1,3,0,2,male,59,married,primary,retired,5843.037875,23372.1515,5718.037875,22872.1515,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.22695642596833446,0.0,0.09519876627961077,0.1887901334800621,0.025876950043104984,0.3779908731445259,0.03337305065082984,0.051514298696921965,0.0002995017366100114,0.0,0.0,0.0
19,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,1,2,1,3,female,61,widowed,none,other inactive,4605.3555,18421.422,4556.4105,18225.642,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.3163745969476827,0.0,0.07968983013573931,0.20744338298474338,0.016589381532344644,0.17221797418639848,0.03951920731527127,0.01926289933492309,0.00396277765661374,0.13082594729368646,0.014114002612596882,0.0
20,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,0,5,0,1,male,56,married,primary,other employees,5812.78896875,29063.94484375,5787.48896875,28937.44484375,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.24557746931445018,0.15699864692317791,0.10957218737487451,0.20296683057794487,0.03352607529299683,0.10180407461722828,0.021641934892544137,0.07399202064613064,0.0003010603025592388,0.0,0.05361970005809346,0.0
21,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,1,1,1,male,64,married,primary,other inactive,4795.407875,19181.6315,4793.082875,19172.3315,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.19419359483189952,0.030497926945774096,0.03863070746464719,0.19815997404756752,0.01059086129749403,0.47488139581035255,0.008169273764791112,0.014988297430615475,0.00036493245918020286,0.012511970029035526,0.017011065918642886,0.0
22,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,2,male,46,married,secondary,non-agricultural workers,4616.69225,18466.769,4613.10475,18452.419,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.2768784314467682,0.10066731286796377,0.16115434270847775,0.21564946753577652,0.013643426292137424,0.06557833740148546,0.04364596781687939,0.025429462142439907,0.005794191757327661,0.06931369578859259,0.02224536424215143,0.0
23,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,1,2,0,1,male,52,married,primary,other employees,8061.6332560882565,24184.899768264768,5706.400006454468,17119.200019363405,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.28956084168220664,0.0,0.09720941579249862,0.16009162742041522,0.026739825262870633,0.01591488904233633,0.3853644216019086,0.02229697042369412,0.00021707759800536697,0.0,0.0026049311760644035,0.0
24,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,1,1,1,male,63,married,secondary,retired,6098.303375,12196.60675,5873.953375,11747.90675,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.3006819909152191,0.0,0.11011259340635869,0.4214169445120463,0.05437577955852352,0.03619859269464435,0.03304197702365045,0.04388515682855807,0.0002869650609994456,0.0,0.0,0.0
25,2021,Grand Tunis,urban,284.3305358886719,1705.983154296875,6,5-6 persons,2,4,0,1,male,52,married,primary,other employees,8821.209123451234,52927.2547407074,5972.342446624756,35834.05467974854,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.1964910153319708,0.06238751704382399,0.07361046832305822,0.11286084395124621,0.011479907739499532,0.11133791166293652,0.3763278511444234,0.011478018353762286,0.00020405365962244067,0.023900729576146983,0.019921683213509393,0.0
26,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,0,2,1,male,78,married,primary,retired,11397.7405,22795.481,11140.3405,22280.681,"above 5,000 DT",5,10,2682.9965,1529.232875,not poor,not extremely poor,0.30652632591151685,0.0,0.02013556996305304,0.34668458710459205,0.04199516585104721,0.2642025422944713,0.0034217308433946336,0.01608213496395478,0.00015353920451129766,0.0,0.0007984038634587479,0.0
27,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,1,4,0,3,female,53,divorced,primary,other inactive,5237.569,26187.845,5042.369,25211.844999999998,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.29392949286205106,0.0,0.1977253187499773,0.2007190740589766,0.02744975770247609,0.07588005045852379,0.07988438911258257,0.03434417761369826,0.00880179335107566,0.018821709079154852,0.05984761250878031,0.002596624502703449
28,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,0,4,1,1,male,60,married,secondary,"own-account workers and artisans in industry, trade and services",4254.884,21274.42,4248.664,21243.32,"3,000-4,500 DT",3,5,2682.9965,1529.232875,not poor,not extremely poor,0.33654830542971326,0.02138718705374812,0.13426452989082666,0.2498446491138184,0.01431531388399778,0.07274933934744168,0.0022562307221536478,0.06255634701204545,0.0021410689457103883,0.0,0.10351398534014088,0.00042304326040380893
29,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,2,3,0,4,male,53,married,secondary,other employees,3741.63,18708.15,3333.56,16667.8,"3,000-4,500 DT",2,4,2682.9965,1529.232875,not poor,not extremely poor,0.3043978159251449,0.0,0.11454900671632416,0.21806004335009072,0.11198862527828779,0.09173969633555429,0.018761876508366672,0.08693537308606142,0.002873079379842475,0.032071583774985764,0.018622899645341733,0.0
30,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,1,2,2,male,76,married,primary,retired,7266.332446990967,21798.9973409729,6765.165792449951,20295.497377349853,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.21959954935771442,0.03906142953971524,0.24065326995343056,0.33046461959124845,0.029464657890028296,0.04810771715595933,0.06917749353598424,0.023230426211288072,0.00024083676463124485,0.0,0.0,0.0
31,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,3,0,2,female,55,widowed,primary,non-agricultural workers,8063.8346943359375,24191.504083007814,7271.101368652344,21813.30410595703,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.22947932345649466,0.0,0.22892334314495627,0.1790803954402732,0.017020438161779658,0.06122934697844052,0.03298678725707387,0.025298137595650638,0.04162825076094767,7.440628704603129e-05,0.1837835290036973,0.0004960419136402086
32,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,3,male,34,married,higher,other employees,6831.8356875,27327.34275,6436.4481875,25745.79275,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.4978661893498591,0.018552846672221724,0.08848280720598052,0.20152280448123697,0.02451024990345978,0.12237194192618671,0.0009514280344729088,0.036227452081853066,0.001061208192296706,0.0018296692970632864,0.006623402855369096,0.0
33,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,0,2,2,2,male,87,married,none,retired,6027.6265625,24110.50625,5883.5515625,23534.20625,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.18713335809777948,0.19788054014834303,0.20060549330024957,0.16551018085735963,0.03264759320431109,0.058617267731572414,0.021567361324070083,0.08363781245779524,0.0002903298639778665,0.0,0.052110063014541644,0.0
34,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,2,0,1,male,59,married,primary,"own-account workers and artisans in industry, trade and services",5972.9525,11945.905,5869.5525,11739.105,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.3162129616801741,0.0,0.053407422878383855,0.3350436823329836,0.05400176880696775,0.10593211648677936,0.053240001490050363,0.03993000111753777,0.00029298742958361047,0.0,0.04026484389420475,0.001674213883334917
35,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,1,1,1,female,72,widowed,none,other inactive,15946.9195,31893.839,15897.9695,31795.939,"above 5,000 DT",5,10,2682.9965,1529.232875,not poor,not extremely poor,0.2431547995960709,0.05135788157768449,0.05775410126135216,0.4571465646435137,0.050663390077717634,0.07124542169118235,0.025396754626327494,0.02605205360372286,0.00010973906320018054,0.0,0.017119293859228165,0.0
36,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,0,3,1,2,female,63,widowed,none,retired,5665.34225,22661.369,5625.55475,22502.219,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.2852645382695958,0.041303770960925995,0.10423024253173846,0.20707151889702957,0.03224871348103068,0.21268617855409475,0.02524119336501033,0.0707371205666286,0.006928089787249339,0.0,0.014200377665839729,8.825592085667948e-05
37,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,1,2,2,male,73,married,none,retired,9540.868660034179,28622.605980102537,7785.402030181885,23356.206090545653,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.19522121780246007,0.025434441573908402,0.16438055989730638,0.31426963708336,0.022562585670920392,0.08092903909588108,0.03497235716412406,0.10821516391624161,0.005354159575826185,0.0,0.04866083821997201,0.0
38,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,1,male,42,married,secondary,"own-account workers and artisans in industry, trade and services",5714.43525,22857.741,5606.46025,22425.841,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.32900013867840144,0.0693856838839319,0.07411056021398527,0.19227495407204198,0.06596014854464322,0.07021997454702558,0.017315796772547444,0.05337360298763993,0.00030624198435531103,0.049217461771389276,0.07883543654403864,0.0
39,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,0,4,0,1,male,51,married,primary,non-agricultural workers,4934.85475,19739.419,4780.95475,19123.819,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.298053353913642,0.13303329832702585,0.09615277997893948,0.23442680376273237,0.03337484270291113,0.04425763521875717,0.03459321696976756,0.05220518428255908,0.0011651812115466848,0.02836962949852798,0.044226225986098086,0.0001418481474926399
40,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,1,male,49,married,secondary,mid-level managers and professionals,5475.1649375,21900.65975,5077.0149375,20308.05975,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.3583287028601958,0.08013457220164338,0.0805911794506556,0.19556144878238202,0.11598737339408234,0.043870824485093426,0.005625401307830465,0.06842716233697023,0.009908377303565022,0.00913214498024426,0.03243281289733749,0.0
41,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,1,male,55,married,primary,non-agricultural workers,4499.112875,17996.4515,4432.637875,17730.5515,"3,000-4,500 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.2602968683833528,0.0,0.07173636375109586,0.2247349482706706,0.06930255063545063,0.1995393355772155,0.01536969652482813,0.01656993312980386,0.002055960851115838,0.0700026886550198,0.07039165422144712,0.0
42,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,1,1,1,male,66,married,none,non-agricultural workers,5237.3195,10474.639,5222.3695,10444.739,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.31786298694712756,0.08377377115065458,0.08448978628869436,0.36601251086090547,0.04203486203718885,0.03233906238127947,0.03914216087950812,0.02923728480329113,0.0003341403977518986,0.0,0.004773434253598552,0.0
43,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,2,2,1,2,female,67,widowed,primary,other inactive,3952.3111750488283,19761.555875244143,3644.401175048828,18222.00587524414,"3,000-4,500 DT",3,5,2682.9965,1529.232875,not poor,not extremely poor,0.26142121436805626,0.06446860722614273,0.08592440743327343,0.35628277856585044,0.015894497276084323,0.12415844098917084,0.0,0.004630202167340706,0.025845636688188695,0.02029192425249861,0.04108229103339401,0.0
44,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,0,4,0,1,male,49,married,primary,non-agricultural workers,2291.63125,9166.525,2288.88125,9155.525,"2,000-3,000 DT",1,2,2682.9965,1529.232875,poor,not extremely poor,0.2875495348564478,0.13898396611584,0.09261961321220419,0.11023806731558579,0.017487542989300747,0.07555153125093753,0.1021106689830661,0.04104608889410109,0.0015272963309432965,0.09388508731498578,0.03900060273658775,0.0
45,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,1,2,1,male,62,married,secondary,retired,4809.417647186279,14428.252941558838,4790.050980194092,14370.152940582275,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.2571697371917596,0.08514544419502351,0.19260821279444065,0.1841576314207759,0.01375079863922887,0.08385076214572515,0.0018020199829634608,0.08465335412275274,0.0003638694196368526,0.0,0.09649817008769332,0.0
46,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,0,5,0,3,male,57,married,primary,other employees,3912.27340625,19561.36703125,3901.43340625,19507.16703125,"3,000-4,500 DT",3,5,2682.9965,1529.232875,not poor,not extremely poor,0.2585713965613593,0.08971765594872007,0.2816265336874637,0.14004220940936088,0.028208662423079046,0.03761495797553745,0.021266407335992905,0.0702348662856906,0.0003450679074950772,0.0,0.07237224246530086,0.0
47,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,2,male,37,married,primary,non-agricultural workers,4434.08025,17736.321,4359.29275,17437.171,"3,000-4,500 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.2772051749260376,0.0,0.07025132163646479,0.2552316849191013,0.027610009795647518,0.2142214258087865,0.0716608585874372,0.02967075281796918,0.013926225075607387,0.03918512723703293,0.0008795510574067824,0.00015786813850890964
48,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,0,2,1,male,78,married,none,retired,4600.54675,9201.0935,4593.49675,9186.9935,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.20437679222071822,0.09536909804023433,0.1096608774046683,0.4393557754934811,0.049059385590155866,0.03411550982886559,0.04662489237522567,0.021057279481818122,0.00038038956483284344,0.0,0.0,0.0
49,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,1,3,0,3,male,51,married,primary,other employees,9694.801125,38779.2045,7164.801125,28659.2045,"above 5,000 DT",5,10,2682.9965,1529.232875,not poor,not extremely poor,0.24947907244500378,0.04525621443170587,0.15872424562395213,0.136064023902089,0.07460957562122769,0.042192716839405786,0.09497358276465682,0.024594367244580896,0.05769845002332871,0.0,0.039046700793441046,0.07736105031060833
50,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,0,3,1,1,female,64,divorced,secondary,non-agricultural workers,4691.1725,18764.69,4673.0225,18692.09,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.2771476640434774,0.10253300214392029,0.18891865519760784,0.154284456604399,0.014468664283822433,0.018065846011844584,0.009379318283435537,0.13666625987426384,0.0003730410680911861,0.028777453824177214,0.06938563866496061,0.0
51,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,3,0,2,female,58,widowed,primary,other inactive,4785.966655731201,14357.899967193604,4751.249989532471,14253.749968597413,"above 5,000 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.37292709936689905,0.03621699552162921,0.10098969905069684,0.2435662596897875,0.0252892136036607,0.07225290606565028,0.04485335599217156,0.07770286741097236,0.000348240341554127,0.0,0.025853362956978387,0.0
52,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,0,4,1,2,male,63,married,primary,"own-account workers and artisans in industry, trade and services",5347.945,26739.725,5326.905,26634.524999999998,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.3413561641838306,0.039136527960101836,0.05575973548830562,0.19573892777628168,0.024252306146322063,0.019899232228925166,0.20800512997046,0.06107766599564101,0.00032722849464968085,0.0,0.05444708175548233,0.0
53,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,2,1,1,male,73,single,primary,mid-level managers and professionals,6756.349989181518,20269.049967544554,6737.583322509766,20212.749967529297,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.31934402451027555,0.009620579158865364,0.0710442768654673,0.22000537765706832,0.014830492795666297,0.20152646522653997,0.05392457959302484,0.02164630310744707,0.00025901559273868287,0.0,0.08779888549290667,0.0
54,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,3,1,1,4,female,64,widowed,none,other inactive,1709.561,8547.805,1709.561,8547.805,"1,500-2,000 DT",1,1,2682.9965,1529.232875,poor,not extremely poor,0.25763338866478896,0.0,0.1290389736160486,0.40955602915666617,0.018858642381602026,0.06195742559116895,0.07557495644240018,0.0062881639454783434,0.0010236545957755443,0.034219310773068196,0.0058494548330031105,0.0
55,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,1,2,1,male,77,married,none,other inactive,6346.419619567871,19039.258858703615,6346.419619567871,19039.258858703615,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.24301155997596574,0.12672762190172177,0.1826226547381824,0.21968548788903422,0.014491110279627415,0.052677995849772806,0.03618838340943563,0.03834970703396143,0.002166575929810188,0.0,0.08407890299248846,0.0
56,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,1,3,0,3,male,58,married,primary,non-agricultural workers,4273.217375,17092.8695,3933.442375,15733.7695,"3,000-4,500 DT",3,5,2682.9965,1529.232875,not poor,not extremely poor,0.2958104818517271,0.0,0.1498285575322172,0.3218846071904091,0.006338900510978419,0.08039539469663509,0.01714165066651294,0.047162940903786366,0.0004095274903262477,0.07898030170577634,0.002047637451631238,0.0
57,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,1,1,1,female,65,widowed,none,other inactive,6606.178875,13212.35775,6523.453875,13046.90775,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.2687597538597897,0.09839273434369017,0.20654905540302343,0.23330247033928553,0.02289523241458944,0.08505915647918309,0.0,0.042959781548829644,0.0002649035155407043,0.0,0.04181691209606832,0.0
58,2021,Grand Tunis,urban,284.3305358886719,284.3305358886719,1,1-2 persons,0,1,0,1,female,58,single,primary,retired,10642.9035,10642.9035,10449.1535,10449.1535,"above 5,000 DT",5,10,2682.9965,1529.232875,not poor,not extremely poor,0.3659621665152405,0.0,0.028845512110754788,0.3086942822316667,0.0380253379518647,0.222542656137859,0.005496620385925586,0.019238171350739554,0.0004463067834725904,0.0,0.010748946532476704,0.0
59,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,0,3,2,2,male,87,married,none,retired,4485.7488125,22428.7440625,4393.9488125,21969.744062499998,"3,000-4,500 DT",3,6,2682.9965,1529.232875,not poor,not extremely poor,0.39305544487324257,0.0,0.12205320033718117,0.21113639259549938,0.0161779009104461,0.13123249271541637,0.03544558694723618,0.08538150818107834,0.0003901243846393919,0.0,0.005127349055260579,0.0
