hh_id,survey_year,region,milieu,weight_hh,weight_pop,hh_size,hh_size_class,n_children_0_14,n_working_age_15_59,n_elderly_60_plus,n_female,head_sex,head_age,head_marital_status,head_education,head_csp,expenditure_pc,expenditure_total,consumption_pc,consumption_total,expenditure_bracket,quintile,decile,poverty_line,extreme_poverty_line,poor,extreme_poor,food_share,share_alcohol_02,share_clothing_03,share_housing_04,share_furniture_05,share_health_06,share_transport_07,share_communication_08,share_recreation_09,share_education_10,share_restaurants_11,share_other_12
1,2021,Grand Tunis,urban,284.3305358886719,1705.983154296875,6,5-6 persons,2,4,0,2,male,59,married,primary,retired,5123.754856201172,30742.529137207028,5103.454856246948,30620.72913748169,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.3055034926016019,0.1057167415664698,0.130373138522588,0.11674312985777957,0.01212814987478716,0.1738796437057121,0.0028364614967988206,0.051562120890489116,0.00034154639583013324,0.019516936904579042,0.08139863818336432,0.0
2,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,0,5,0,3,male,52,married,primary,other employees,5499.6833125,27498.416562500002,5485.6633125,27428.3165625,"above 5,000 DT",4,7,2682.9965,1529.232875,not poor,not extremely poor,0.2109703289143471,0.0,0.29496243767817304,0.11733899696852092,0.009495092156056095,0.13753810088692697,0.04727544926416286,0.039671375078673285,0.0010455147433420632,0.07636803342672463,0.06533467088307307,0.0
3,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,1,1,0,1,female,34,divorced,secondary,unemployed,5979.422125,11958.84425,5962.397125,11924.79425,"above 5,000 DT",4,8,2682.9965,1529.232875,not poor,not extremely poor,0.3451169622850469,0.1614286430730963,0.053307826966640194,0.31452824130559276,0.023990612638006385,0.06744798938241879,0.0097835541256422,0.012229442657052749,0.0023831734408615614,0.0,0.0097835541256422,0.0
4,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,0,2,1,male,65,married,primary,other inactive,3715.89825,7431.7965,3699.07325,7398.1465,"3,000-4,500 DT",2,4,2682.9965,1529.232875,not poor,not extremely poor,0.2974920044146124,0.0,0.05732126911240891,0.4768398104825632,0.023655115281599734,0.10530024781525314,0.02798784970746726,0.010932753791979399,0.00047094939411603567,0.0,0.0,0.0
5,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,2,2,0,2,male,35,married,secondary,non-agricultural workers,5086.059125,20344.2365,5058.371625,20233.4865,"above 5,000 DT",4,6,2682.9965,1529.232875,not poor,not extremely poor,0.34641997780046957,0.0,0.15166457492970692,0.1533720179584276,0.0126276549341895,0.07730936426817146,0.06785214040932343,0.048293775682527,0.0018186968959323143,0.0949949627318592,0.04564683438939307,0.0
6,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,1,4,0,3,male,43,married,primary,non-agricultural workers,3764.6,18823.0,3741.38,18706.9,"3,000-4,500 DT",2,4,2682.9965,1529.232875,not poor,not extremely poor,0.40674440843648724,0.0,0.11647983849545769,0.13261435477872816,0.042644636880412264,0.12296658343515911,0.041438665462466134,0.07363863358656962,0.00046485682409817776,0.006906444243744356,0.05610157785687722,0.0
7,2021,Grand Tunis,urban,284.3305358886719,1705.983154296875,6,5-6 persons,1,4,1,4,female,64,widowed,none,non-agricultural workers,3080.563068748474,18483.378412490845,3071.588068710327,18429.528412261963,"3,000-4,500 DT",2,3,2682.9965,1529.232875,not poor,not extremely poor,0.3265149798877748,0.011816021541894916,0.17461634398564946,0.1759546612652913,0.010744788819690156,0.18510100720289716,0.059080107709474576,0.021032410139247476,0.0013796178998091591,0.014910693850486443,0.018849367697784745,0.0
8,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,0,1,2,2,male,71,married,secondary,retired,7224.042663009644,21672.12798902893,7201.675996124268,21605.027988372804,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.29870716894990657,0.08097958816042432,0.10275871386510824,0.2547935301969424,0.03078608616560405,0.09852701128380195,0.0027685329285615148,0.07571245426383602,0.00024224663124913255,0.0,0.054724667554565946,0.0
9,2021,Grand Tunis,urban,284.3305358886719,568.6610717773438,2,1-2 persons,0,2,0,1,male,51,married,secondary,non-agricultural workers,8363.611,16727.222,8261.911,16523.822,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.26047361794798934,0.20983759444513259,0.06044040113505101,0.2976012342157087,0.019004949080942347,0.09190288808792405,0.03766315797733149,0.022866917343379832,0.0002092397665407305,0.0,0.0,0.0
10,2021,Grand Tunis,urban,284.3305358886719,1137.3221435546875,4,3-4 persons,0,4,0,2,male,56,married,primary,non-agricultural workers,8438.58575,33754.343,7549.52325,30198.093,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.2768941461160751,0.07356090430800101,0.15642431524214473,0.12182074036772704,0.028250586842538707,0.12117267376309793,0.08170800406019604,0.04430837232502872,0.04239454452869491,0.0,0.05299169937000459,0.0004740130764913476
11,2021,Grand Tunis,urban,284.3305358886719,852.9915771484375,3,3-4 persons,1,2,0,2,male,31,married,higher,"own-account workers and artisans in industry, trade and services",7415.851800109864,22247.55540032959,7375.601799743652,22126.805399230958,"above 5,000 DT",5,9,2682.9965,1529.232875,not poor,not extremely poor,0.37841910529461936,0.0,0.21397856617313848,0.1850655186873538,0.030156122265635667,0.10757586438865084,0.0026969255268119545,0.022818237394768143,0.009225732739635893,0.0,0.05006392752938591,0.0
12,2021,Grand Tunis,urban,284.3305358886719,1421.6527099609375,5,5-6 persons,2,3,0,3,male,44,married,primary,"own-account workers and artisans in industry, trade and services",2709.64,13548.199999999999,2704.59,13522.95,"2,000-3,000 DT",1,3,2682.9965,1529.232875,not poor,not extremely poor,0.30994154204986646,0.06476875156847406,0.29693981488315796,0.20306756617115193,0.01982182134896149,0.06606043607268863,0.0,0.0026756321873016345,0.0025649163726546706,0.0014393055904105346,0.03272021375533282,0.0
