wave,product_ar,region,expenditure_pc_millimes
2005,المشروبات و االستهالك الغذائي خارج البيت,National,95940.0
2005,المشروبات و االستهالك الغذائي خارج البيت,North East,86208.0
2005,المشروبات و االستهالك الغذائي خارج البيت,North West,76654.0
2005,المشروبات و االستهالك الغذائي خارج البيت,South East,96201.0
2005,المشروبات و االستهالك الغذائي خارج البيت,South West,67688.0
2005,المعلوم البلدي السنوي,Centre East,4395.0
2005,المعلوم البلدي السنوي,Centre West,1475.0
2005,المعلوم البلدي السنوي,Grand Tunis,7914.0
2005,المعلوم البلدي السنوي,National,4256.0
2005,المعلوم البلدي السنوي,North East,3068.0
2005,المعلوم البلدي السنوي,North West,1899.0
2005,المعلوم البلدي السنوي,South East,4996.0
2005,المعلوم البلدي السنوي,South West,2390.0
2005,المنحة السياحية للسفر إلى الخارج,Centre East,8107.0
2005,المنحة السياحية للسفر إلى الخارج,Centre West,4066.0
2005,المنحة السياحية للسفر إلى الخارج,Grand Tunis,11749.0
2005,المنحة السياحية للسفر إلى الخارج,National,8292.0
2005,المنحة السياحية للسفر إلى الخارج,North East,8377.0
2005,المنحة السياحية للسفر إلى الخارج,North West,4984.0
2005,المنحة السياحية للسفر إلى الخارج,South East,11755.0
2005,المنحة السياحية للسفر إلى الخارج,South West,6461.0
2005,المواد السكرية,Centre East,3142.0
2005,المواد السكرية,Centre West,1738.0
2005,المواد السكرية,Grand Tunis,3452.0
2005,المواد السكرية,National,2556.0
2005,المواد السكرية,North East,1503.0
2005,المواد السكرية,North West,2036.0
2005,المواد السكرية,South East,2264.0
2005,المواد السكرية,South West,2737.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,Centre East,95852.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,Centre West,34093.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,Grand Tunis,61001.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,National,52902.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,North East,6594.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,North West,29772.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,South East,65718.0
2005,النفقات الكبرى لالقتناء وبناء مسكن,South West,35712.0
2005,النقل,Centre East,233730.0
2005,النقل,Centre West,107336.0
2005,النقل,Grand Tunis,283743.0
2005,النقل,National,194616.0
2005,النقل,North East,163441.0
2005,النقل,North West,108511.0
2005,النقل,South East,221483.0
2005,النقل,South West,105022.0
2005,الياغورت,Centre East,16640.0
2005,الياغورت,Centre West,7665.0
2005,الياغورت,Grand Tunis,22050.0
2005,الياغورت,National,14939.0
2005,الياغورت,North East,11820.0
2005,الياغورت,North West,8852.0
2005,الياغورت,South East,17340.0
2005,الياغورت,South West,13699.0
2005,بالكار,Centre East,279.0
2005,بالكار,Centre West,58.0
2005,بالكار,Grand Tunis,1167.0
2005,بالكار,National,1306.0
2005,بالكار,North East,1016.0
2005,بالكار,North West,3304.0
2005,بالكار,South East,3367.0
2005,بالكار,South West,2062.0
2005,بترول أزرق,Centre East,202.0
2005,بترول أزرق,Centre West,1103.0
2005,بترول أزرق,Grand Tunis,1676.0
2005,بترول أزرق,National,1367.0
2005,بترول أزرق,North East,181.0
2005,بترول أزرق,North West,5761.0
2005,بترول أزرق,South East,167.0
2005,بترول أزرق,South West,909.0
2005,برتقال,Centre East,8309.0
2005,برتقال,Centre West,3482.0
2005,برتقال,Grand Tunis,6964.0
2005,برتقال,National,6279.0
2005,برتقال,North East,5660.0
2005,برتقال,North West,6142.0
2005,برتقال,South East,5795.0
2005,برتقال,South West,4696.0
2005,بروكلو,Centre East,422.0
2005,بروكلو,Centre West,188.0
2005,بروكلو,Grand Tunis,643.0
2005,بروكلو,National,453.0
2005,بروكلو,North East,502.0
2005,بروكلو,North West,457.0
2005,بروكلو,South East,387.0
2005,بروكلو,South West,426.0
2005,بسباس,Centre East,783.0
2005,بسباس,Centre West,373.0
2005,بسباس,Grand Tunis,1490.0
2005,بسباس,National,923.0
2005,بسباس,North East,1087.0
2005,بسباس,North West,881.0
2005,بسباس,South East,734.0
2005,بسباس,South West,514.0
2005,بسكويت,Centre East,7160.0
2005,بسكويت,Centre West,3411.0
2005,بسكويت,Grand Tunis,9065.0
2005,بسكويت,National,6743.0
2005,بسكويت,North East,5701.0
2005,بسكويت,North West,6064.0
2005,بسكويت,South East,7111.0
2005,بسكويت,South West,7129.0
2005,بصل,Centre East,8243.0
2005,بصل,Centre West,5144.0
2005,بصل,Grand Tunis,7484.0
2005,بصل,National,7093.0
2005,بصل,North East,5958.0
2005,بصل,North West,5950.0
2005,بصل,South East,9470.0
2005,بصل,South West,6929.0
2005,بطاطا,Centre East,13534.0
2005,بطاطا,Centre West,9096.0
2005,بطاطا,Grand Tunis,14479.0
2005,بطاطا,National,12511.0
2005,بطاطا,North East,13336.0
2005,بطاطا,North West,12487.0
2005,بطاطا,South East,9278.0
2005,بطاطا,South West,11973.0
2005,بطيخ,Centre East,2640.0
2005,بطيخ,Centre West,889.0
2005,بطيخ,Grand Tunis,1790.0
2005,بطيخ,National,1984.0
2005,بطيخ,North East,1671.0
2005,بطيخ,North West,2229.0
2005,بطيخ,South East,2653.0
2005,بطيخ,South West,1924.0
2005,بقول و توابل,Centre East,18453.0
2005,بقول و توابل,Centre West,16245.0
2005,بقول و توابل,Grand Tunis,23685.0
