wave,product_ar,Grand Tunis,North East,North West,Centre East,Centre West,South East,South West,National,implied_national,reason
2005,األقمشة و الصوف,1178.0,4732.0,1702.0,3609.0,1062.0,1847.0,1244.0,2587.0,2338.7871404576135,printed national disagrees with this row's own regions
2015,نفقات الثقافة,5957.0,2437.0,3362.0,3443.0,912.0,1839.0,4718.0,6112.0,3524.6310237744297,printed national disagrees with this row's own regions
