indicator,year,period,gini_governorate,gini_region,theil_governorate,theil_region,theil_between,theil_within,identity_gap,between_share
bank_branches,2010,pre,0.526954,0.461424,0.502332,0.359266,0.285999,0.216333,0.0,0.569342
bank_branches,2011,post,0.530249,0.46403,0.506641,0.363233,0.290186,0.216455,0.0,0.572765
bank_branches,2012,post,0.515327,0.461796,0.474518,0.361816,0.287875,0.186643,0.0,0.606668
bank_branches,2013,post,0.512015,0.462396,0.465794,0.362748,0.2887,0.177095,0.0,0.619801
bank_branches,2014,post,0.531058,0.474082,0.51052,0.380488,0.304539,0.20598,0.0,0.596528
bank_branches,2015,post,0.526763,0.474657,0.499445,0.381676,0.305609,0.193837,0.0,0.611896
bank_branches,2016,post,0.525532,0.472262,0.494331,0.377851,0.30203,0.192301,0.0,0.610988
bank_branches,2017,post,0.525648,0.472839,0.494256,0.378735,0.302548,0.191708,0.0,0.612129
bank_branches,2018,post,0.522502,0.467479,0.488034,0.369582,0.294526,0.193508,0.0,0.603494
camping_centres,2014,post,0.469203,0.335404,,0.189913,,,,
camping_centres,2015,post,0.469203,0.335404,,0.189913,,,,
camping_centres,2017,post,0.469203,0.335404,,0.189913,,,,
camping_centres,2023,post,0.416667,0.252747,,0.111007,,,,
cinema_screens,2002,pre,0.620935,0.425087,,0.303631,,,,
cinema_screens,2003,pre,0.620935,0.425087,,0.303631,,,,
cinema_screens,2004,pre,0.751344,0.488479,,,,,,
cinema_screens,2005,pre,0.763889,0.52381,,,,,,
cinema_screens,2006,pre,0.735119,0.581633,,,,,,
cinema_screens,2007,pre,0.735119,0.581633,,,,,,
cinema_screens,2008,pre,0.847222,0.746032,,,,,,
cinema_screens,2009,pre,0.875,0.777778,,,,,,
cinema_screens,2010,pre,0.847222,0.746032,,,,,,
cinema_screens,2011,post,0.827381,0.693878,,,,,,
cinema_screens,2012,post,0.833333,0.701299,,,,,,
cinema_screens,2013,post,0.856884,0.732919,,,,,,
cinema_screens,2014,post,0.863095,0.748299,,,,,,
cinema_screens,2015,post,0.88587,0.732919,,,,,,
cinema_screens,2016,post,0.859848,0.701299,,,,,,
cinema_screens,2017,post,0.859848,0.701299,,,,,,
cinema_screens,2018,post,0.84543,0.728111,,,,,,
cinema_screens,2019,post,0.832143,0.710204,,,,,,
cinema_screens,2021,post,0.795833,0.728571,,,,,,
cinema_screens,2022,post,0.783537,0.710801,,,,,,
fixed_line_subscribers,2003,pre,0.471489,0.42402,0.37993,0.303141,0.235998,0.143931,0.0,0.621163
fixed_line_subscribers,2004,pre,0.45463,0.407588,0.350284,0.281533,0.21672,0.133564,0.0,0.618699
fixed_line_subscribers,2005,pre,0.449435,0.401835,0.341375,0.274196,0.210615,0.13076,0.0,0.616962
fixed_line_subscribers,2006,pre,0.447344,0.399725,0.335454,0.273316,0.209142,0.126311,0.0,0.623461
fixed_line_subscribers,2007,pre,0.455067,0.402995,0.34644,0.279056,0.214775,0.131665,0.0,0.619949
fixed_line_subscribers,2008,pre,0.462594,0.413639,0.361421,0.292835,0.22618,0.13524,0.0,0.625809
fixed_line_subscribers,2009,pre,0.46995,0.421761,0.375003,0.304268,0.236647,0.138356,0.0,0.631053
fixed_line_subscribers,2010,pre,0.478768,0.429141,0.387464,0.314941,0.245992,0.141472,0.0,0.634877
fixed_line_subscribers,2011,post,0.476974,0.429333,0.381591,0.314379,0.245239,0.136353,0.0,0.642673
fixed_line_subscribers,2012,post,0.483581,0.433091,0.39255,0.321077,0.251125,0.141425,0.0,0.639729
fixed_line_subscribers,2013,post,0.48669,0.433742,0.398627,0.322097,0.252545,0.146082,0.0,0.633537
fixed_line_subscribers,2014,post,0.502808,0.453125,0.428069,0.355202,0.281472,0.146597,0.0,0.657539
fixed_line_subscribers,2015,post,0.50604,0.456559,0.430588,0.358818,0.285207,0.145382,0.0,0.662365
fixed_line_subscribers,2016,post,0.511679,0.461562,0.44373,0.366512,0.292373,0.151357,0.0,0.658899
fixed_line_subscribers,2017,post,0.493784,0.447858,0.409411,0.342948,0.271456,0.137956,0.0,0.663039
fixed_line_subscribers,2018,post,0.458045,0.414411,0.346271,0.290985,0.226272,0.119999,0.0,0.653453
fixed_line_subscribers,2019,post,0.463159,0.422295,0.355722,0.301737,0.235607,0.120115,0.0,0.662334
fixed_line_subscribers,2020,post,0.444514,0.409473,0.326265,0.282255,0.218145,0.10812,0.0,0.668613
fixed_line_subscribers,2021,post,0.439266,0.406569,0.317005,0.277545,0.213749,0.103255,0.0,0.674278
fixed_line_subscribers,2022,post,0.435422,0.401499,0.30961,0.270772,0.207915,0.101694,0.0,0.67154
fixed_line_subscribers,2023,post,0.431577,0.395155,0.302384,0.262826,0.201468,0.100916,0.0,0.666264
grass_pitches,2007,pre,0.444444,0.321429,0.329164,0.176757,0.115076,0.214088,0.0,0.3496
grass_pitches,2008,pre,0.451628,0.330049,0.341491,0.187112,0.123896,0.217595,0.0,0.362808
grass_pitches,2011,post,0.411024,0.28869,0.283575,0.143511,0.089749,0.193826,0.0,0.316491
grass_pitches,2012,post,0.409864,0.287172,0.280134,0.139858,0.086983,0.193151,0.0,0.310504
grass_pitches,2013,post,0.394583,0.281429,0.25707,0.136347,0.084323,0.172747,0.0,0.328016
grass_pitches,2014,post,0.395238,0.282993,0.255446,0.139275,0.086498,0.168949,0.0,0.338614
grass_pitches,2015,post,0.371753,0.280767,0.2242,0.139294,0.089755,0.134445,0.0,0.400335
grass_pitches,2023,post,0.289456,0.227359,0.139301,0.088435,0.048747,0.090554,0.0,0.349941
job_offers,2001,pre,0.45572,0.364942,0.345914,0.217376,0.176944,0.16897,0.0,0.511525
job_offers,2002,pre,0.425797,0.360967,0.304285,0.21621,0.180885,0.1234,0.0,0.594459
job_offers,2003,pre,0.406342,0.332945,0.27523,0.181823,0.1533,0.121931,0.0,0.556987
job_offers,2004,pre,0.408256,0.338047,0.280331,0.194771,0.160506,0.119825,0.0,0.572558
job_offers,2005,pre,0.434519,0.373222,0.321568,0.233626,0.193068,0.1285,0.0,0.600395
job_offers,2006,pre,0.44579,0.389893,0.341323,0.259119,0.212344,0.128978,0.0,0.622122
job_offers,2007,pre,0.445356,0.386552,0.339689,0.255011,0.210801,0.128887,0.0,0.620572
job_offers,2008,pre,0.434197,0.370396,0.31918,0.232857,0.189608,0.129573,0.0,0.594045
job_offers,2009,pre,0.424601,0.367798,0.298895,0.226876,0.177197,0.121698,0.0,0.59284
job_offers,2010,pre,0.394948,0.351013,0.255072,0.202639,0.156333,0.098739,0.0,0.612897
job_offers,2011,post,0.438679,0.377076,0.31422,0.24832,0.197265,0.116955,0.0,0.627793
job_offers,2012,post,0.448791,0.376074,0.327105,0.235984,0.185979,0.141126,0.0,0.568561
job_offers,2013,post,0.408278,0.351867,0.269639,0.209262,0.168965,0.100673,0.0,0.626636
job_offers,2014,post,0.407451,0.35514,0.268575,0.213542,0.17158,0.096995,0.0,0.638853
job_offers,2015,post,0.433262,0.374827,0.306018,0.253495,0.212289,0.093729,0.0,0.693715
job_offers,2016,post,0.437797,0.377306,0.31238,0.258575,0.2183,0.09408,0.0,0.698829
job_offers,2017,post,0.446991,0.375644,0.324719,0.246269,0.207187,0.117532,0.0,0.638051
job_offers,2018,post,0.463406,0.41743,0.357992,0.312036,0.260038,0.097953,0.0,0.726382
job_offers,2019,post,0.477001,0.409424,0.380846,0.308601,0.262945,0.117901,0.0,0.690423
job_offers,2020,post,0.575774,0.456796,0.573299,0.40239,0.359763,0.213536,0.0,0.627531
job_offers,2021,post,0.595465,0.50694,0.624524,0.498808,0.436682,0.187842,0.0,0.699224
job_offers,2022,post,0.57439,0.498035,0.56467,0.440932,0.38975,0.17492,0.0,0.690226
job_offers,2023,post,0.560789,0.482929,0.536067,0.424407,0.373128,0.16294,0.0,0.696046
job_placements,2001,pre,0.444208,0.365204,0.325774,0.216705,0.177864,0.14791,0.0,0.545975
job_placements,2002,pre,0.43085,0.352403,0.307158,0.206191,0.175622,0.131537,0.0,0.571762
job_placements,2003,pre,0.415722,0.342612,0.288615,0.193231,0.16224,0.126375,0.0,0.562133
job_placements,2004,pre,0.414674,0.350271,0.287404,0.202687,0.169185,0.11822,0.0,0.588664
job_placements,2005,pre,0.444185,0.387022,0.336939,0.24822,0.207894,0.129046,0.0,0.617007
job_placements,2006,pre,0.440465,0.387189,0.330806,0.250451,0.208919,0.121887,0.0,0.631544
job_placements,2007,pre,0.445532,0.391822,0.335278,0.254828,0.213235,0.122042,0.0,0.635996
job_placements,2008,pre,0.425127,0.362339,0.304363,0.221458,0.180582,0.12378,0.0,0.593313
job_placements,2009,pre,0.426036,0.366278,0.30309,0.225945,0.179625,0.123466,0.0,0.592643
job_placements,2010,pre,0.405964,0.355626,0.273847,0.2114,0.166869,0.106978,0.0,0.60935
job_placements,2011,post,0.456015,0.372349,0.348293,0.25016,0.202883,0.14541,0.0,0.582508
job_placements,2012,post,0.451232,0.399908,0.335008,0.278288,0.220429,0.11458,0.0,0.657979
job_placements,2013,post,0.436085,0.375665,0.309734,0.245544,0.198181,0.111553,0.0,0.639844
job_placements,2014,post,0.44652,0.38719,0.331009,0.264076,0.214477,0.116531,0.0,0.647951
job_placements,2015,post,0.44912,0.373718,0.327277,0.252882,0.205769,0.121508,0.0,0.628731
job_placements,2016,post,0.484838,0.417937,0.389744,0.328009,0.276559,0.113185,0.0,0.709592
job_placements,2017,post,0.465223,0.390601,0.353319,0.280504,0.228528,0.124791,0.0,0.646803
job_placements,2018,post,0.456098,0.382692,0.340014,0.269234,0.223257,0.116757,0.0,0.65661
job_placements,2019,post,0.458188,0.394244,0.343361,0.284075,0.23848,0.104881,0.0,0.694547
job_placements,2020,post,0.462255,0.398783,0.354198,0.282883,0.22357,0.130628,0.0,0.631202
job_placements,2021,post,0.472818,0.416947,0.375057,0.305474,0.250867,0.124191,0.0,0.668876
job_placements,2022,post,0.460049,0.401203,0.35005,0.293463,0.240701,0.10935,0.0,0.687617
job_placements,2023,post,0.426129,0.368083,0.298602,0.246659,0.201683,0.09692,0.0,0.675422
library_book_stock,2000,pre,0.254354,0.171005,0.103274,0.046721,0.035208,0.068066,0.0,0.34092
library_book_stock,2001,pre,0.250922,0.168579,0.099858,0.045413,0.033657,0.066201,0.0,0.337049
library_book_stock,2002,pre,0.251238,0.171148,0.10124,0.046388,0.035885,0.065354,0.0,0.35446
library_book_stock,2003,pre,0.245488,0.167999,0.096005,0.044816,0.033129,0.062876,0.0,0.345073
library_book_stock,2004,pre,0.24115,0.169885,0.092595,0.045582,0.032801,0.059794,0.0,0.354245
library_book_stock,2005,pre,0.242611,0.164672,0.092743,0.043516,0.031809,0.060934,0.0,0.342978
library_book_stock,2006,pre,0.224872,0.162804,0.080921,0.042264,0.029037,0.051884,0.0,0.358836
library_book_stock,2007,pre,0.210878,0.158107,0.07178,0.039857,0.02513,0.04665,0.0,0.350094
library_book_stock,2008,pre,0.213207,0.156963,0.073547,0.039889,0.026106,0.047441,0.0,0.354955
library_book_stock,2009,pre,0.193679,0.13842,0.060266,0.030784,0.017794,0.042472,0.0,0.295263
library_book_stock,2010,pre,0.18921,0.141081,0.058673,0.032168,0.017813,0.040859,0.0,0.303601
library_book_stock,2011,post,0.184171,0.139135,0.055558,0.031391,0.017004,0.038554,0.0,0.306063
library_book_stock,2012,post,0.17759,0.13801,0.051683,0.031173,0.016293,0.03539,0.0,0.315243
library_book_stock,2013,post,0.187836,0.136302,0.056296,0.029904,0.022393,0.033903,0.0,0.397779
library_book_stock,2014,post,0.185611,0.138137,0.055362,0.030614,0.019069,0.036293,0.0,0.344448
library_book_stock,2015,post,0.18441,0.147516,0.054877,0.035537,0.021341,0.033536,0.0,0.388892
library_book_stock,2016,post,0.179065,0.140315,0.051888,0.031662,0.018509,0.033379,0.0,0.35671
library_book_stock,2017,post,0.16966,0.125872,0.046641,0.025286,0.015359,0.031282,0.0,0.329294
library_book_stock,2018,post,0.167263,0.126032,0.045571,0.0253,0.015112,0.030459,0.0,0.33162
library_book_stock,2019,post,0.168837,0.134465,0.046368,0.028556,0.015642,0.030726,0.0,0.337348
library_book_stock,2020,post,0.167624,0.133931,0.045708,0.028312,0.015416,0.030292,0.0,0.337263
library_book_stock,2021,post,0.162157,0.1315,0.042798,0.027225,0.014416,0.028383,0.0,0.336832
library_book_stock,2022,post,0.158658,0.129884,0.041003,0.026518,0.013814,0.027188,0.0,0.336915
library_book_stock,2023,post,0.164732,0.124649,0.043302,0.02471,0.013628,0.029674,0.0,0.314723
library_books_lent,2001,pre,0.302253,0.142053,0.147057,0.033712,0.027787,0.11927,0.0,0.188956
library_books_lent,2002,pre,0.31703,0.188065,0.159493,0.056144,0.041133,0.118361,0.0,0.257895
library_books_lent,2003,pre,0.312793,0.190794,0.155074,0.057791,0.040166,0.114908,0.0,0.259009
library_books_lent,2004,pre,0.343783,0.220479,0.18936,0.08013,0.069962,0.119398,0.0,0.369465
library_books_lent,2005,pre,0.33944,0.205432,0.184418,0.072769,0.050957,0.133461,0.0,0.276311
library_books_lent,2006,pre,0.294856,0.244396,0.139986,0.096301,0.062038,0.077948,0.0,0.443173
library_books_lent,2007,pre,0.310047,0.212986,0.160119,0.07809,0.059073,0.101047,0.0,0.368929
library_books_lent,2008,pre,0.3442,0.262516,0.209729,0.110424,0.107851,0.101878,0.0,0.514241
library_books_lent,2009,pre,0.277515,0.225215,0.120156,0.08024,0.049061,0.071095,0.0,0.408307
library_books_lent,2010,pre,0.300911,0.229341,0.145759,0.084344,0.051607,0.094152,0.0,0.354056
library_books_lent,2011,post,0.300911,0.229341,0.145759,0.084344,0.051607,0.094152,0.0,0.354056
library_books_lent,2012,post,0.352537,0.268206,0.235235,0.132591,0.093541,0.141694,0.0,0.39765
library_books_lent,2013,post,0.245919,0.149189,0.095403,0.03874,0.017272,0.078131,0.0,0.181039
