indicator,year,period,gini_governorate,gini_region,theil_governorate,theil_region,theil_between,theil_within,identity_gap,between_share
library_books_lent,2014,post,0.245717,0.146876,0.096229,0.041816,0.030071,0.066158,0.0,0.312495
library_books_lent,2015,post,0.28947,0.180201,0.136402,0.052974,0.027235,0.109167,0.0,0.199665
library_books_lent,2016,post,0.258068,0.128896,0.106341,0.030272,0.018681,0.087659,0.0,0.175674
library_books_lent,2017,post,0.236611,0.111121,0.088113,0.022579,0.018433,0.06968,0.0,0.209192
library_books_lent,2018,post,0.222572,0.120435,0.080324,0.026811,0.014918,0.065405,0.0,0.185726
library_books_lent,2019,post,0.258013,0.084793,0.105051,0.018991,0.02513,0.079921,0.0,0.239213
library_books_lent,2020,post,0.256855,0.088047,0.107546,0.018534,0.024491,0.083055,0.0,0.227728
library_books_lent,2021,post,0.264769,0.149522,0.110858,0.036144,0.025991,0.084867,0.0,0.234452
library_books_lent,2022,post,0.266883,0.127863,0.112523,0.027871,0.029473,0.08305,0.0,0.261925
library_books_lent,2023,post,0.253986,0.157965,0.101949,0.039242,0.032,0.069949,0.0,0.313883
library_capacity,2002,pre,0.233571,0.148022,0.086159,0.03773,0.035315,0.050844,0.0,0.409882
library_capacity,2003,pre,0.23324,0.144344,0.085892,0.036442,0.032957,0.052934,0.0,0.383706
library_capacity,2004,pre,0.22808,0.14979,0.081803,0.041241,0.034887,0.046916,0.0,0.426478
library_capacity,2005,pre,0.232479,0.149192,0.085375,0.039852,0.035526,0.04985,0.0,0.416113
library_capacity,2006,pre,0.223456,0.145746,0.076968,0.041477,0.032502,0.044466,0.0,0.422276
library_capacity,2007,pre,0.209574,0.140812,0.069115,0.037997,0.030523,0.038592,0.0,0.441627
library_capacity,2008,pre,0.207228,0.137029,0.067579,0.034504,0.028267,0.039312,0.0,0.418284
library_capacity,2009,pre,0.19445,0.117573,0.058688,0.025554,0.023113,0.035575,0.0,0.393828
library_capacity,2010,pre,0.203124,0.124289,0.064175,0.02922,0.024369,0.039806,0.0,0.379729
library_capacity,2011,post,0.203124,0.124289,0.064175,0.02922,0.024369,0.039806,0.0,0.379729
library_capacity,2012,post,0.192076,0.124901,0.058039,0.030294,0.02378,0.034259,0.0,0.409726
library_capacity,2013,post,0.192736,0.120259,0.058258,0.027895,0.023856,0.034402,0.0,0.409488
library_capacity,2014,post,0.185214,0.115754,0.054671,0.024997,0.019248,0.035423,0.0,0.352067
library_capacity,2015,post,0.179129,0.119211,0.051144,0.029064,0.021401,0.029743,0.0,0.418446
library_capacity,2016,post,0.184804,0.115088,0.05488,0.02876,0.020985,0.033894,0.0,0.382389
library_capacity,2017,post,0.174886,0.092901,0.048241,0.017401,0.014009,0.034232,0.0,0.290405
library_capacity,2018,post,0.223906,0.131725,0.080666,0.027285,0.021019,0.059647,0.0,0.260567
library_capacity,2019,post,0.177317,0.11306,0.049918,0.025338,0.019513,0.030405,0.0,0.390897
library_capacity,2020,post,0.18247,0.114908,0.052787,0.026415,0.020036,0.032751,0.0,0.379562
library_capacity,2021,post,0.182656,0.115403,0.052843,0.026221,0.019833,0.033011,0.0,0.375313
library_capacity,2022,post,0.182672,0.116857,0.05376,0.02493,0.020065,0.033695,0.0,0.37323
library_capacity,2023,post,0.183162,0.114555,0.052342,0.026183,0.019645,0.032697,0.0,0.375319
library_readers,2000,pre,0.300648,0.149546,0.143247,0.039436,0.03087,0.112377,0.0,0.215502
library_readers,2001,pre,0.292367,0.111517,0.135887,0.022793,0.016874,0.119013,0.0,0.124174
library_readers,2002,pre,0.291179,0.143714,0.137418,0.034743,0.024054,0.113364,0.0,0.175043
library_readers,2003,pre,0.28975,0.142621,0.135488,0.034051,0.023778,0.11171,0.0,0.175498
library_readers,2004,pre,0.298253,0.162611,0.146168,0.04197,0.03154,0.114628,0.0,0.215778
library_readers,2005,pre,0.297908,0.147814,0.146307,0.034332,0.02219,0.124117,0.0,0.151669
library_readers,2006,pre,0.28255,0.13479,0.128876,0.029353,0.01892,0.109957,0.0,0.146804
library_readers,2007,pre,0.254004,0.137,0.104127,0.033588,0.018645,0.085482,0.0,0.179059
library_readers,2008,pre,0.260929,0.135278,0.110775,0.031721,0.01633,0.094445,0.0,0.147417
library_readers,2009,pre,0.274435,0.154693,0.122998,0.040594,0.017679,0.10532,0.0,0.14373
library_readers,2010,pre,0.266825,0.137615,0.115587,0.034625,0.017552,0.098035,0.0,0.151854
library_readers,2011,post,0.266825,0.137615,0.115587,0.034625,0.017552,0.098035,0.0,0.151854
library_readers,2012,post,0.267857,0.157462,0.115969,0.041976,0.025254,0.090715,0.0,0.217765
library_readers,2013,post,0.28023,0.165407,0.126,0.0464,0.023974,0.102026,0.0,0.190267
library_readers,2014,post,0.242779,0.156052,0.092649,0.03946,0.029454,0.063195,0.0,0.317907
library_readers,2015,post,0.285094,0.196347,0.129483,0.060845,0.04063,0.088853,0.0,0.313787
library_readers,2016,post,0.278901,0.173073,0.125197,0.049249,0.031636,0.09356,0.0,0.252693
library_readers,2017,post,0.285693,0.169945,0.133427,0.048626,0.040627,0.0928,0.0,0.304491
library_readers,2018,post,0.279076,0.165422,0.125099,0.045041,0.036664,0.088435,0.0,0.293082
library_readers,2019,post,0.266443,0.126899,0.118632,0.025246,0.023101,0.095531,0.0,0.194727
library_readers,2020,post,0.333243,0.17419,0.1818,0.049176,0.05815,0.12365,0.0,0.319855
library_readers,2021,post,0.321326,0.192026,0.166997,0.060627,0.051049,0.115949,0.0,0.305685
library_readers,2022,post,0.313343,0.159532,0.159261,0.041483,0.051239,0.108023,0.0,0.321726
library_readers,2023,post,0.275289,0.148791,0.118352,0.036397,0.03488,0.083472,0.0,0.294711
library_subscribers,2000,pre,0.332566,0.252504,0.181097,0.107801,0.070631,0.110465,0.0,0.390019
library_subscribers,2001,pre,0.331407,0.255335,0.176875,0.110864,0.073287,0.103588,0.0,0.414342
library_subscribers,2002,pre,0.331434,0.272388,0.177598,0.122418,0.085263,0.092335,0.0,0.480088
library_subscribers,2003,pre,0.322444,0.246111,0.168635,0.103612,0.063224,0.10541,0.0,0.374919
library_subscribers,2004,pre,0.357905,0.285651,0.207748,0.136322,0.086924,0.120823,0.0,0.418414
library_subscribers,2005,pre,0.339408,0.243024,0.184998,0.103157,0.063358,0.121639,0.0,0.342481
library_subscribers,2006,pre,0.31749,0.235597,0.162166,0.094605,0.062812,0.099355,0.0,0.387329
library_subscribers,2007,pre,0.282012,0.22539,0.13119,0.089351,0.054472,0.076718,0.0,0.415214
library_subscribers,2008,pre,0.311779,0.246844,0.154757,0.106578,0.071043,0.083714,0.0,0.459064
library_subscribers,2009,pre,0.305072,0.242181,0.149353,0.10074,0.064946,0.084407,0.0,0.434848
library_subscribers,2010,pre,0.290786,0.16379,0.136725,0.042729,0.022097,0.114628,0.0,0.161619
library_subscribers,2011,post,0.290786,0.16379,0.136725,0.042729,0.022097,0.114628,0.0,0.161619
library_subscribers,2012,post,0.279383,0.212054,0.127208,0.072426,0.043071,0.084137,0.0,0.338585
library_subscribers,2013,post,0.252794,0.193769,0.100437,0.059952,0.032132,0.068305,0.0,0.319922
library_subscribers,2014,post,0.393408,0.341485,0.325415,0.225361,0.176995,0.14842,0.0,0.543906
library_subscribers,2015,post,0.277939,0.192574,0.121453,0.059998,0.033224,0.088229,0.0,0.273556
library_subscribers,2016,post,0.273328,0.173328,0.117621,0.047615,0.028584,0.089038,0.0,0.243014
library_subscribers,2017,post,0.26634,0.181362,0.110321,0.053084,0.034302,0.076019,0.0,0.310931
library_subscribers,2018,post,0.245373,0.18628,0.098161,0.056897,0.038757,0.059404,0.0,0.394832
library_subscribers,2019,post,0.287526,0.185519,0.130976,0.054927,0.050598,0.080378,0.0,0.386316
library_subscribers,2020,post,0.305208,0.220421,0.147091,0.079644,0.067277,0.079814,0.0,0.457385
library_subscribers,2021,post,0.270937,0.211815,0.116733,0.071643,0.058424,0.058309,0.0,0.500491
library_subscribers,2022,post,0.236851,0.169761,0.090307,0.048606,0.046684,0.043623,0.0,0.516946
library_subscribers,2023,post,0.216986,0.174685,0.078467,0.048498,0.039728,0.038739,0.0,0.506305
marriages,2001,pre,0.327566,0.258943,0.177824,0.109901,0.073539,0.104285,0.0,0.413548
marriages,2002,pre,0.333225,0.275795,0.180968,0.122436,0.084729,0.096239,0.0,0.468199
marriages,2003,pre,0.330118,0.269857,0.17628,0.115574,0.077583,0.098697,0.0,0.440114
marriages,2004,pre,0.308061,0.255874,0.154682,0.104445,0.072227,0.082455,0.0,0.466937
marriages,2005,pre,0.328504,0.250639,0.179519,0.101223,0.068,0.111519,0.0,0.378791
marriages,2006,pre,0.299398,0.229393,0.146942,0.084479,0.054526,0.092416,0.0,0.371073
marriages,2007,pre,0.293741,0.229025,0.139244,0.083334,0.055386,0.083858,0.0,0.397762
marriages,2008,pre,0.307982,0.248648,0.150929,0.100755,0.066839,0.08409,0.0,0.44285
marriages,2010,pre,0.312404,0.256756,0.158778,0.106751,0.073007,0.085771,0.0,0.459805
marriages,2011,post,0.30646,0.242597,0.151265,0.094689,0.064866,0.0864,0.0,0.42882
marriages,2012,post,0.287389,0.221837,0.13317,0.079562,0.055717,0.077453,0.0,0.418389
marriages,2013,post,0.283541,0.220764,0.129832,0.078107,0.056735,0.073097,0.0,0.436987
marriages,2015,post,0.275004,0.223078,0.124006,0.079122,0.053572,0.070434,0.0,0.432013
marriages,2016,post,0.263241,0.205944,0.113946,0.068649,0.044394,0.069552,0.0,0.389606
marriages,2017,post,0.256709,0.206203,0.106526,0.068923,0.046344,0.060182,0.0,0.43505
marriages,2018,post,0.268915,0.225474,0.117673,0.081161,0.05612,0.061553,0.0,0.476913
marriages,2019,post,0.265098,0.215634,0.114778,0.075558,0.050902,0.063876,0.0,0.443483
marriages,2020,post,0.263514,0.22242,0.114137,0.078793,0.054457,0.05968,0.0,0.477119
marriages,2021,post,0.276716,0.224843,0.125064,0.083554,0.05813,0.066934,0.0,0.464801
marriages,2022,post,0.285157,0.239147,0.131797,0.091749,0.065421,0.066376,0.0,0.496379
marriages,2023,post,0.286374,0.242121,0.133499,0.094168,0.067866,0.065633,0.0,0.508364
money_orders_from_abroad,2003,pre,0.389919,0.289808,0.256738,0.136014,0.098946,0.157792,0.0,0.385397
money_orders_from_abroad,2004,pre,0.394008,0.30121,0.26436,0.147118,0.10831,0.15605,0.0,0.409706
money_orders_from_abroad,2005,pre,0.392005,0.305114,0.264647,0.15031,0.110676,0.153971,0.0,0.418203
money_orders_from_abroad,2006,pre,0.394477,0.308677,0.273797,0.153324,0.111876,0.161921,0.0,0.40861
money_orders_from_abroad,2007,pre,0.386722,0.310184,0.262373,0.153864,0.112158,0.150215,0.0,0.427474
money_orders_from_abroad,2008,pre,0.388168,0.308755,0.265339,0.152629,0.111154,0.154185,0.0,0.418914
money_orders_from_abroad,2009,pre,0.397131,0.314202,0.277702,0.160072,0.118071,0.159632,0.0,0.425169
money_orders_from_abroad,2010,pre,0.401021,0.319985,0.28497,0.165359,0.12294,0.16203,0.0,0.431413
money_orders_from_abroad,2015,post,0.388701,0.310003,0.257937,0.152654,0.11645,0.141487,0.0,0.451467
money_orders_from_abroad,2016,post,0.377725,0.304131,0.243978,0.147581,0.113731,0.130246,0.0,0.466154
money_orders_from_abroad,2017,post,0.374334,0.30394,0.239393,0.146545,0.109564,0.129829,0.0,0.457675
money_orders_from_abroad,2018,post,0.369637,0.304057,0.234807,0.146999,0.111592,0.123215,0.0,0.47525
money_orders_from_abroad,2019,post,0.372245,0.302966,0.236367,0.146856,0.111975,0.124393,0.0,0.473732
money_orders_from_abroad,2020,post,0.33814,0.257473,0.188123,0.109626,0.083686,0.104437,0.0,0.444846
money_orders_from_abroad,2021,post,0.341252,0.268475,0.188484,0.115672,0.086938,0.101546,0.0,0.461249
money_orders_from_abroad,2022,post,0.344741,0.275506,0.19274,0.121472,0.090758,0.101982,0.0,0.470883
money_orders_from_abroad,2023,post,0.350956,0.288365,0.198314,0.132301,0.099574,0.09874,0.0,0.502103
primary_classrooms,2000,pre,0.228206,0.16547,0.085572,0.047313,0.030161,0.05541,0.0,0.35247
primary_classrooms,2001,pre,0.227568,0.165658,0.085475,0.047576,0.030628,0.054848,0.0,0.358322
primary_classrooms,2002,pre,0.226916,0.165668,0.084809,0.047025,0.029831,0.054978,0.0,0.351746
primary_classrooms,2003,pre,0.225207,0.16615,0.083731,0.047184,0.030061,0.05367,0.0,0.359016
primary_classrooms,2004,pre,0.223552,0.163677,0.082249,0.045855,0.029281,0.052968,0.0,0.356008
primary_classrooms,2005,pre,0.223404,0.165398,0.082244,0.046626,0.029823,0.05242,0.0,0.362621
primary_classrooms,2006,pre,0.228379,0.170895,0.086269,0.049389,0.031533,0.054736,0.0,0.365521
primary_classrooms,2007,pre,0.228274,0.172799,0.086498,0.050692,0.032368,0.05413,0.0,0.374207
primary_classrooms,2008,pre,0.226761,0.171894,0.08532,0.049939,0.03152,0.053799,0.0,0.369439
primary_classrooms,2009,pre,0.232536,0.176254,0.089021,0.05166,0.03304,0.055981,0.0,0.371147
primary_classrooms,2010,pre,0.23286,0.174113,0.089253,0.050797,0.032757,0.056495,0.0,0.367015
primary_classrooms,2011,post,0.230606,0.174512,0.087714,0.05056,0.032003,0.055712,0.0,0.364851
primary_classrooms,2012,post,0.227779,0.173287,0.085613,0.049699,0.0306,0.055013,0.0,0.357423
primary_classrooms,2013,post,0.226074,0.171316,0.084131,0.048944,0.030362,0.053769,0.0,0.360893
primary_classrooms,2014,post,0.224174,0.168241,0.082837,0.04697,0.028851,0.053985,0.0,0.348292
primary_classrooms,2015,post,0.225045,0.168175,0.083999,0.046671,0.028505,0.055494,0.0,0.339349
primary_classrooms,2016,post,0.227151,0.170039,0.085312,0.047966,0.029772,0.05554,0.0,0.348978
primary_classrooms,2017,post,0.227445,0.172662,0.085548,0.049765,0.031219,0.054329,0.0,0.36493
