hh_id,exp_food_01,exp_alcohol_02,exp_clothing_03,exp_housing_04,exp_furniture_05,exp_health_06,exp_transport_07,exp_communication_08,exp_recreation_09,exp_education_10,exp_restaurants_11,exp_other_12,exp_total,share_food_01,share_alcohol_02,share_clothing_03,share_housing_04,share_furniture_05,share_health_06,share_transport_07,share_communication_08,share_recreation_09,share_education_10,share_restaurants_11,share_other_12
1,9391.95,3250.0,4008.0,3588.9790625,372.85,5345.5,87.2,1585.15,10.5,600.0,2502.4,0.0,30742.5290625,0.3055034926016019,0.1057167415664698,0.130373138522588,0.11674312985777957,0.01212814987478716,0.1738796437057121,0.0028364614967988206,0.051562120890489116,0.00034154639583013324,0.019516936904579042,0.08139863818336432,0.0
2,5801.35,0.0,8111.0,3226.636625,261.1,3782.08,1300.0,1090.9,28.75,2100.0,1796.6,0.0,27498.416624999998,0.2109703289143471,0.0,0.29496243767817304,0.11733899696852092,0.009495092156056095,0.13753810088692697,0.04727544926416286,0.039671375078673285,0.0010455147433420632,0.07636803342672463,0.06533467088307307,0.0
3,4127.2,1930.5,637.5,3761.3942500000003,286.9,806.6,117.0,146.25,28.5,0.0,117.0,0.0,11958.84425,0.3451169622850469,0.1614286430730963,0.053307826966640194,0.31452824130559276,0.023990612638006385,0.06744798938241879,0.0097835541256422,0.012229442657052749,0.0023831734408615614,0.0,0.0097835541256422,0.0
4,2210.9,0.0,426.0,3543.776375,175.8,782.5699999999999,208.0,81.25,3.5,0.0,0.0,0.0,7431.796375,0.2974920044146124,0.0,0.05732126911240891,0.4768398104825632,0.023655115281599734,0.10530024781525314,0.02798784970746726,0.010932753791979399,0.00047094939411603567,0.0,0.0,0.0
5,7047.65,0.0,3085.5,3120.236625,256.9,1572.8,1380.4,982.5,37.0,1932.6,928.65,0.0,20344.236624999998,0.34641997780046957,0.0,0.15166457492970692,0.1533720179584276,0.0126276549341895,0.07730936426817146,0.06785214040932343,0.048293775682527,0.0018186968959323143,0.0949949627318592,0.04564683438939307,0.0
6,7656.15,0.0,2192.5,2496.2,802.7,2314.6,780.0,1386.1,8.75,130.0,1056.0,0.0,18823.0,0.40674440843648724,0.0,0.11647983849545769,0.13261435477872816,0.042644636880412264,0.12296658343515911,0.041438665462466134,0.07363863358656962,0.00046485682409817776,0.006906444243744356,0.05610157785687722,0.0
7,6035.1,218.4,3227.5,3252.236625,198.6,3421.292,1092.0,388.75,25.5,275.6,348.4,0.0,18483.378624999998,0.3265149798877748,0.011816021541894916,0.17461634398564946,0.1759546612652913,0.010744788819690156,0.18510100720289716,0.059080107709474576,0.021032410139247476,0.0013796178998091591,0.014910693850486443,0.018849367697784745,0.0
8,6473.62,1755.0,2227.0,5521.918,667.2,2135.29,60.0,1640.85,5.25,0.0,1186.0,0.0,21672.127999999997,0.29870716894990657,0.08097958816042432,0.10275871386510824,0.2547935301969424,0.03078608616560405,0.09852701128380195,0.0027685329285615148,0.07571245426383602,0.00024224663124913255,0.0,0.054724667554565946,0.0
9,4357.0,3510.0,1011.0,4978.041875000001,317.9,1537.28,630.0,382.5,3.5,0.0,0.0,0.0,16727.221875,0.26047361794798934,0.20983759444513259,0.06044040113505101,0.2976012342157087,0.019004949080942347,0.09190288808792405,0.03766315797733149,0.022866917343379832,0.0002092397665407305,0.0,0.0,0.0
10,9346.38,2483.0,5280.0,4111.9790625000005,953.58,4090.104,2758.0,1495.6,1431.0,0.0,1788.7,16.0,33754.3430625,0.2768941461160751,0.07356090430800101,0.15642431524214473,0.12182074036772704,0.028250586842538707,0.12117267376309793,0.08170800406019604,0.04430837232502872,0.04239454452869491,0.0,0.05299169937000459,0.0004740130764913476
