wave,geography_level,geography,milieu,subgroup_type,subgroup,indicator,value,unit,basis,methodology,source_key,source_table
2015,national,Tunisia,all,COICOP function,10,budget_share,2.2,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,11,budget_share,4.0,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,12,budget_share,0.2,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,2,budget_share,2.6,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,3,budget_share,7.6,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,4,budget_share,26.6,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,5,budget_share,3.7,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,6,budget_share,9.4,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,7,budget_share,9.3,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,8,budget_share,4.4,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,9,budget_share,1.1,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,1,budget_share,30.1,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,1,budget_share,30.085900582751172,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,10,budget_share,1.5,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,10,budget_share,1.4849288869203316,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,11,budget_share,3.0,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,11,budget_share,2.9933102714678737,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,12,budget_share,0.1,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,12,budget_share,0.13864044569791223,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,2,budget_share,3.3,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,2,budget_share,3.3477637273987537,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,3,budget_share,11.6,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,3,budget_share,11.609974458212301,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,4,budget_share,23.9,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,4,budget_share,23.901070934192933,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,5,budget_share,3.5,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,5,budget_share,3.4995474001028333,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,6,budget_share,11.1,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,6,budget_share,11.13695222882303,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,7,budget_share,6.9,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,7,budget_share,6.86467374521755,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,8,budget_share,4.1,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,8,budget_share,4.093980745025445,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,9,budget_share,0.8,percent,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,9,budget_share,0.8432565741898636,percent,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,,,consumption_pc_mean,5134.805974039024,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,higher,consumption_pc_mean,7880.758278681676,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,none,consumption_pc_mean,4318.719022861202,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,primary,consumption_pc_mean,4430.380946101567,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,secondary,consumption_pc_mean,5610.319401489954,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,agricultural workers,consumption_pc_mean,3275.5373041807056,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,"employers in industry, trade and services",consumption_pc_mean,5681.604591968676,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,farm operators,consumption_pc_mean,4259.488047042564,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,mid-level managers and professionals,consumption_pc_mean,5947.7488300788145,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,non-agricultural workers,consumption_pc_mean,3913.443260070472,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,other employees,consumption_pc_mean,5212.4713735189225,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,other inactive,consumption_pc_mean,4879.600446492987,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,"own-account workers and artisans in industry, trade and services",consumption_pc_mean,4801.16161112311,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,retired,consumption_pc_mean,6454.333695895999,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,senior managers and professionals,consumption_pc_mean,7174.1468367238585,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,unemployed,consumption_pc_mean,3745.9077033317503,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,rural,,,consumption_pc_mean,3791.4697804077264,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,urban,,,consumption_pc_mean,5768.03515094871,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre East,all,,,consumption_pc_mean,5597.2409817478265,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre East,rural,,,consumption_pc_mean,4257.264957845533,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre East,urban,,,consumption_pc_mean,6099.794735678633,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre West,all,,,consumption_pc_mean,3439.7412303325705,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre West,rural,,,consumption_pc_mean,3141.1487580096145,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre West,urban,,,consumption_pc_mean,3987.004506735364,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Grand Tunis,all,,,consumption_pc_mean,6611.624088489104,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Grand Tunis,rural,,,consumption_pc_mean,4647.448190529142,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Grand Tunis,urban,,,consumption_pc_mean,6792.804609614027,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North East,all,,,consumption_pc_mean,4678.684212930113,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North East,rural,,,consumption_pc_mean,3812.4811738736557,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North East,urban,,,consumption_pc_mean,5160.648681898767,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North West,all,,,consumption_pc_mean,4292.255809211269,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North West,rural,,,consumption_pc_mean,3862.0488298896244,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North West,urban,,,consumption_pc_mean,4890.786796637176,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South East,all,,,consumption_pc_mean,4325.284198452408,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South East,rural,,,consumption_pc_mean,3515.3694906900973,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South East,urban,,,consumption_pc_mean,4622.266549112779,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South West,all,,,consumption_pc_mean,4590.232495834385,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South West,rural,,,consumption_pc_mean,4243.864470452008,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South West,urban,,,consumption_pc_mean,4752.519493137618,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2005,national,Tunisia,all,,,expenditure_hh_mean,8211.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,Centre East,all,,,expenditure_hh_mean,9485.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,Centre West,all,,,expenditure_hh_mean,5667.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,Grand Tunis,all,,,expenditure_hh_mean,9982.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,North East,all,,,expenditure_hh_mean,6979.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,North West,all,,,expenditure_hh_mean,6149.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,South East,all,,,expenditure_hh_mean,9323.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2005,region,South West,all,,,expenditure_hh_mean,7035.0,DT per year,published,,ebcnv2005_vol1,Jadwal 4
2015,national,Tunisia,all,,,expenditure_hh_mean,15561.0,DT per year,published,,ebcnv2021_note,Tableau 1
2015,national,Tunisia,rural,,,expenditure_hh_mean,11204.0,DT per year,published,,ebcnv2021_note,Tableau 1
2015,national,Tunisia,urban,,,expenditure_hh_mean,17365.0,DT per year,published,,ebcnv2021_note,Tableau 1
2021,national,Tunisia,all,,,expenditure_hh_mean,20328.0,DT per year,published,,ebcnv2021_note,Tableau 1
2021,national,Tunisia,all,,,expenditure_hh_mean,20328.002997216277,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,higher,expenditure_hh_mean,30942.271584393464,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,none,expenditure_hh_mean,14444.971972672049,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,primary,expenditure_hh_mean,18299.120615772066,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head education,secondary,expenditure_hh_mean,23261.113093635005,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,agricultural workers,expenditure_hh_mean,14831.63121622152,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,"employers in industry, trade and services",expenditure_hh_mean,25710.532112180616,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,farm operators,expenditure_hh_mean,18890.921652057586,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,mid-level managers and professionals,expenditure_hh_mean,26859.158335789423,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,non-agricultural workers,expenditure_hh_mean,17659.667586086456,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,other employees,expenditure_hh_mean,22748.878326977636,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,other inactive,expenditure_hh_mean,14836.84610017161,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,"own-account workers and artisans in industry, trade and services",expenditure_hh_mean,20547.852960749988,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,retired,expenditure_hh_mean,22265.937629465607,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,senior managers and professionals,expenditure_hh_mean,32199.18508865969,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,all,head socio-professional category,unemployed,expenditure_hh_mean,16184.200340459065,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,rural,,,expenditure_hh_mean,16065.0,DT per year,published,,ebcnv2021_note,Tableau 1
2021,national,Tunisia,rural,,,expenditure_hh_mean,16064.505613914811,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,national,Tunisia,urban,,,expenditure_hh_mean,22152.0,DT per year,published,,ebcnv2021_note,Tableau 1
2021,national,Tunisia,urban,,,expenditure_hh_mean,22151.706607338896,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre East,all,,,expenditure_hh_mean,23806.081493537517,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre East,rural,,,expenditure_hh_mean,19527.951358328344,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre East,urban,,,expenditure_hh_mean,25249.988022647573,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre West,all,,,expenditure_hh_mean,14388.012565782235,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre West,rural,,,expenditure_hh_mean,13397.093654025206,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Centre West,urban,,,expenditure_hh_mean,16077.819573298799,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Grand Tunis,all,,,expenditure_hh_mean,23763.288059888673,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Grand Tunis,rural,,,expenditure_hh_mean,17097.83217920941,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,Grand Tunis,urban,,,expenditure_hh_mean,24363.823288821506,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North East,all,,,expenditure_hh_mean,17596.267057460267,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North East,rural,,,expenditure_hh_mean,15370.305927643847,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North East,urban,,,expenditure_hh_mean,18713.93713667893,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North West,all,,,expenditure_hh_mean,16239.047780703391,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North West,rural,,,expenditure_hh_mean,14954.362652849284,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,North West,urban,,,expenditure_hh_mean,17974.83707855747,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South East,all,,,expenditure_hh_mean,18801.862764895206,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South East,rural,,,expenditure_hh_mean,16958.05561769789,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South East,urban,,,expenditure_hh_mean,19375.587583860764,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South West,all,,,expenditure_hh_mean,19929.14405816831,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South West,rural,,,expenditure_hh_mean,20561.088459827875,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2021,region,South West,urban,,,expenditure_hh_mean,19675.14794309447,DT per year,recomputed,revised (2011),ebcnv2021_depenses,pov_2021.dta
2010,national,Tunisia,all,COICOP function,1,expenditure_pc_by_function,763.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,10,expenditure_pc_by_function,54.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,11,expenditure_pc_by_function,84.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,12,expenditure_pc_by_function,12.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,2,expenditure_pc_by_function,73.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,3,expenditure_pc_by_function,224.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,4,expenditure_pc_by_function,635.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,5,expenditure_pc_by_function,117.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,6,expenditure_pc_by_function,228.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,7,expenditure_pc_by_function,233.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,8,expenditure_pc_by_function,141.0,DT per year,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,9,expenditure_pc_by_function,36.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,1,expenditure_pc_by_function,1118.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,10,expenditure_pc_by_function,84.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,11,expenditure_pc_by_function,157.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,12,expenditure_pc_by_function,6.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,2,expenditure_pc_by_function,102.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,3,expenditure_pc_by_function,293.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,4,expenditure_pc_by_function,1030.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,5,expenditure_pc_by_function,143.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,6,expenditure_pc_by_function,363.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,7,expenditure_pc_by_function,360.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,8,expenditure_pc_by_function,171.0,DT per year,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,9,expenditure_pc_by_function,44.0,DT per year,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,1,expenditure_pc_by_function,1645.0,DT per year,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,1,expenditure_pc_by_function,1645.2022844060018,DT per year,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,10,expenditure_pc_by_function,81.0,DT per year,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,10,expenditure_pc_by_function,81.20110582105744,DT per year,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,11,expenditure_pc_by_function,164.0,DT per year,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,11,expenditure_pc_by_function,163.68467624925492,DT per year,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,12,expenditure_pc_by_function,8.0,DT per year,published,,ebcnv2021_note,Tableau 4
2021,national,Tunisia,all,COICOP function,12,expenditure_pc_by_function,7.581344535321664,DT per year,recomputed,revised (2011),ebcnv2021_depenses,produit2021_plus.dta
2021,national,Tunisia,all,COICOP function,2,expenditure_pc_by_function,183.0,DT per year,published,,ebcnv2021_note,Tableau 4
