wave,geography_level,geography,milieu,subgroup_type,subgroup,indicator,value,unit,basis,methodology,source_key,source_table
1990,national,Tunisia,all,pre-2010 expenditure post,Clothing,budget_share,10.2,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Communication,budget_share,0.5,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Culture and leisure,budget_share,6.2,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Education,budget_share,2.3,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Food,budget_share,40.0,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Housing,budget_share,22.0,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Hygiene and care,budget_share,8.7,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Other,budget_share,2.4,percent,published,,ebcnv2005_vol1,Jadwal 8
1990,national,Tunisia,all,pre-2010 expenditure post,Transport,budget_share,7.7,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Clothing,budget_share,11.8,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Communication,budget_share,0.9,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Culture and leisure,budget_share,6.2,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Education,budget_share,2.7,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Food,budget_share,37.7,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Housing,budget_share,22.2,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Hygiene and care,budget_share,9.6,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Other,budget_share,1.1,percent,published,,ebcnv2005_vol1,Jadwal 8
1995,national,Tunisia,all,pre-2010 expenditure post,Transport,budget_share,7.8,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Clothing,budget_share,11.1,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Communication,budget_share,1.1,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Culture and leisure,budget_share,5.8,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Education,budget_share,2.9,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Food,budget_share,38.0,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Housing,budget_share,21.5,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Hygiene and care,budget_share,10.0,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Other,budget_share,1.0,percent,published,,ebcnv2005_vol1,Jadwal 8
2000,national,Tunisia,all,pre-2010 expenditure post,Transport,budget_share,8.6,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Clothing,budget_share,8.8,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Communication,budget_share,3.7,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Culture and leisure,budget_share,5.6,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Education,budget_share,2.8,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Food,budget_share,34.8,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Housing,budget_share,22.8,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Hygiene and care,budget_share,10.3,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Other,budget_share,0.5,percent,published,,ebcnv2005_vol1,Jadwal 8
2005,national,Tunisia,all,pre-2010 expenditure post,Transport,budget_share,10.7,percent,published,,ebcnv2005_vol1,Jadwal 8
2010,national,Tunisia,all,COICOP function,1,budget_share,29.3,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,10,budget_share,2.1,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,11,budget_share,3.2,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,12,budget_share,0.5,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,2,budget_share,2.8,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,3,budget_share,8.6,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,4,budget_share,24.4,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,5,budget_share,4.5,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,6,budget_share,8.8,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,7,budget_share,9.0,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,8,budget_share,5.4,percent,published,,ebcnv2021_note,Tableau 4
2010,national,Tunisia,all,COICOP function,9,budget_share,1.4,percent,published,,ebcnv2021_note,Tableau 4
2015,national,Tunisia,all,COICOP function,1,budget_share,28.9,percent,published,,ebcnv2021_note,Tableau 4
