outcome,frequency,scale,method,bandwidth,donut,n_left,n_right,tau,se,honest_lo,honest_hi,worst_case_bias,honest_excludes_zero,bias_exceeds_estimate,randomisation_p,randomisation_floor,smoothness,refused
industrial_prices: Industries diverses (base 2010),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000374,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,6,0,6,7,0.002081,0.00158,-0.003048,0.00721,0.00253,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,6,1,6,6,0.006885,0.002031,-0.000184,0.013954,0.003729,False,False,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,12,0,12,13,0.002474,0.002011,-0.010351,0.015299,0.009517,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,12,1,12,12,0.001972,0.003158,-0.015086,0.01903,0.011864,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,24,0,24,24,0.015909,0.007391,-0.033729,0.065548,0.037481,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,24,1,24,23,0.016448,0.007869,-0.038646,0.071541,0.04215,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,36,0,36,24,0.042521,0.017006,-0.054481,0.139523,0.069029,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,36,1,36,23,0.043658,0.01751,-0.0596,0.146916,0.074457,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,60,0,60,24,0.015269,0.015841,-0.160493,0.191031,0.149706,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,continuity,60,1,60,23,0.016574,0.015987,-0.165126,0.198275,0.155404,False,True,,,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.000583,0.0005827505827505828,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2000),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000345,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,6,0,6,7,-0.004156,0.00157,-0.009126,0.000814,0.002388,False,False,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,6,1,6,6,-0.002053,0.001594,-0.008193,0.004087,0.003519,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,12,0,12,13,-0.006542,0.001662,-0.018257,0.005173,0.008982,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,12,1,12,12,-0.007145,0.002059,-0.021728,0.007437,0.011196,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,24,0,12,25,-0.001555,0.002805,-0.030735,0.027624,0.024565,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,24,1,12,24,-2.4e-05,0.003241,-0.034327,0.03428,0.028972,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,36,0,12,37,0.004696,0.004753,-0.049205,0.058597,0.046083,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,36,1,12,36,0.006842,0.004825,-0.053781,0.067465,0.052686,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,60,0,12,61,0.010148,0.005442,-0.113599,0.133895,0.114796,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,continuity,60,1,12,60,0.011978,0.005075,-0.122165,0.146122,0.125796,False,True,,,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.002331,0.0005827505827505828,0.000326,
industrial_prices: Industries mécaniques et électriques (base 2010),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000326,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,6,0,6,7,0.019154,0.00282,0.013559,0.02475,0.000446,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,6,1,6,6,0.024078,0.006432,0.011406,0.03675,0.000657,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,12,0,12,13,0.021083,0.004236,0.012169,0.029997,0.001677,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,12,1,12,12,0.027574,0.004051,0.018684,0.036464,0.002091,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,24,0,24,24,0.025271,0.003616,0.012717,0.037825,0.006606,True,False,,,6.1e-05,
"industrial_prices: Matériaux de construction, céramiques et verre (base 2000)",monthly,log,continuity,24,1,24,23,0.028693,0.00351,0.015492,0.041894,0.007428,True,False,,,6.1e-05,
