outcome,frequency,scale,method,bandwidth,donut,n_left,n_right,tau,se,honest_lo,honest_hi,worst_case_bias,honest_excludes_zero,bias_exceeds_estimate,randomisation_p,randomisation_floor,smoothness,refused
road_injuries,annual,gini,randomisation,4,0,0,3,,,,,,False,False,,,0.004033,only 0 periods before and 3 after in the window
road_injuries,annual,gini,randomisation,6,0,1,5,,,,,,False,False,,,0.004033,only 1 periods before and 5 after in the window
secondary_pupils,annual,gini,continuity,5,0,5,6,-0.001776,0.000325,-0.018007,0.014454,0.016403,False,True,,,0.002835,
secondary_pupils,annual,gini,continuity,8,0,8,9,0.00097,0.001375,-0.036933,0.038874,0.035642,False,True,,,0.002835,
secondary_pupils,annual,gini,continuity,12,0,12,13,0.004749,0.002258,-0.07712,0.086617,0.078155,False,True,,,0.002835,
secondary_pupils,annual,gini,randomisation,4,0,4,5,,,,,,False,False,0.007937,0.007936507936507936,0.002835,
secondary_pupils,annual,gini,randomisation,6,0,6,7,,,,,,False,False,0.000583,0.0005827505827505828,0.002835,
stillbirths,annual,gini,continuity,5,0,5,6,0.059574,0.017899,-0.027136,0.146285,0.057269,False,False,,,0.009898,
stillbirths,annual,gini,continuity,8,0,8,9,0.025813,0.016317,-0.125463,0.177089,0.124436,False,True,,,0.009898,
stillbirths,annual,gini,continuity,12,0,8,13,0.009933,0.017788,-0.248098,0.267964,0.228772,False,True,,,0.009898,
stillbirths,annual,gini,randomisation,4,0,4,5,,,,,,False,False,0.634921,0.007936507936507936,0.009898,
stillbirths,annual,gini,randomisation,6,0,6,7,,,,,,False,False,0.363054,0.0005827505827505828,0.009898,
cpi_general (base 2005),monthly,log,continuity,6,0,6,7,-0.008077,0.000818,-0.012186,-0.003968,0.002764,True,False,,,0.000377,
cpi_general (base 2005),monthly,log,continuity,6,1,6,6,-0.010497,0.000745,-0.015795,-0.005199,0.004073,True,False,,,0.000377,
cpi_general (base 2005),monthly,log,continuity,12,0,12,13,-0.007897,0.001235,-0.020324,0.00453,0.010395,False,True,,,0.000377,
cpi_general (base 2005),monthly,log,continuity,12,1,12,12,-0.010316,0.00103,-0.024969,0.004337,0.012958,False,True,,,0.000377,
cpi_general (base 2005),monthly,log,continuity,24,0,24,24,-0.010952,0.001483,-0.054329,0.032425,0.040938,False,True,,,0.000377,
cpi_general (base 2005),monthly,log,continuity,24,1,24,23,-0.012421,0.001112,-0.060287,0.035445,0.046038,False,True,,,0.000377,
cpi_general (base 2005),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.005245,0.0005827505827505828,0.000377,
cpi_general (base 2005),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000377,
industrial_prices: Energie (base 2000),monthly,log,continuity,6,0,6,7,0.018791,0.005122,0.005421,0.032161,0.004936,True,False,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,6,1,6,6,0.019426,0.00508,0.003796,0.035056,0.007275,True,False,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,12,0,12,13,0.020935,0.002849,-0.00232,0.04419,0.018568,False,False,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,12,1,12,12,0.020247,0.003105,-0.008007,0.048501,0.023147,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,24,0,24,24,0.010647,0.004383,-0.069688,0.090982,0.073126,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,24,1,24,23,0.007649,0.004477,-0.081951,0.097248,0.082235,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,36,0,36,24,0.019025,0.005109,-0.124056,0.162105,0.134677,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,36,1,36,23,0.016149,0.005143,-0.137576,0.169875,0.145267,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,60,0,60,24,-0.01133,0.01539,-0.328724,0.306064,0.292079,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,continuity,60,1,60,23,-0.014106,0.01507,-0.342091,0.31388,0.303197,False,True,,,0.000674,
industrial_prices: Energie (base 2000),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.002331,0.0005827505827505828,0.000674,
industrial_prices: Energie (base 2000),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000674,
industrial_prices: Energie (base 2010),monthly,log,continuity,6,0,6,7,-0.014082,0.003133,-0.021896,-0.006268,0.002648,True,False,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,6,1,6,6,-0.012503,0.002873,-0.021132,-0.003874,0.003903,True,False,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,12,0,12,13,-0.01369,0.004076,-0.030356,0.002976,0.009962,False,False,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,12,1,12,12,-0.017634,0.005067,-0.038386,0.003118,0.012418,False,False,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,24,0,12,25,-0.02514,0.006431,-0.062963,0.012684,0.027246,False,True,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,24,1,12,24,-0.029452,0.005741,-0.071029,0.012125,0.032133,False,True,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,36,0,12,37,-0.033984,0.00774,-0.097827,0.029858,0.051111,False,True,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,36,1,12,36,-0.03828,0.006855,-0.107991,0.03143,0.058435,False,True,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,60,0,12,61,-0.049783,0.011653,-0.196273,0.096708,0.127323,False,True,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,continuity,60,1,12,60,-0.053911,0.010738,-0.211096,0.103274,0.139523,False,True,,,0.000361,
industrial_prices: Energie (base 2010),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.861305,0.0005827505827505828,0.000361,
industrial_prices: Energie (base 2010),monthly,log,randomisation,12,0,12,13,,,,,,False,False,0.0024,1.9229659827317656e-07,0.000361,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,6,0,6,7,-0.003853,0.001158,-0.009955,0.002248,0.004197,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,6,1,6,6,-0.008055,0.000675,-0.015351,-0.000759,0.006185,True,False,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,12,0,12,13,-0.003156,0.001903,-0.022073,0.015762,0.015788,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,12,1,12,12,-0.007099,0.001388,-0.029062,0.014865,0.019681,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,24,0,24,24,-0.004646,0.001364,-0.069066,0.059774,0.062176,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,24,1,24,23,-0.006737,0.001057,-0.059584,0.046111,0.069922,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,36,0,36,24,-0.00347,0.001232,-0.065066,0.058126,0.114512,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,36,1,36,23,-0.005267,0.001218,-0.066174,0.05564,0.123515,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,60,0,60,24,-0.004407,0.00304,-0.156395,0.147581,0.248345,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,continuity,60,1,60,23,-0.006073,0.002973,-0.154725,0.14258,0.257799,False,True,,,0.000573,
industrial_prices: Industries agro-alimentaires (base 2000),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.000583,0.0005827505827505828,0.000573,
