governorate,year,indicator,breakdown,value,unit,n_editions,agreement,source_title
Ben Arous,2006,bank_branches,,59.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2007,bank_branches,,67.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2008,bank_branches,,74.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2010,bank_branches,,91.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2011,bank_branches,,95.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2012,bank_branches,,102.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2013,bank_branches,,107.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2014,bank_branches,,115.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2015,bank_branches,,129.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2016,bank_branches,,138.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2017,bank_branches,,146.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Ben Arous,2018,bank_branches,,148.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,1995,bank_branches,,36.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,1996,bank_branches,,36.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,1997,bank_branches,,36.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,1998,bank_branches,,36.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,1999,bank_branches,,37.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2000,bank_branches,,39.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2001,bank_branches,,39.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2002,bank_branches,,39.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2003,bank_branches,,39.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2004,bank_branches,,40.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2005,bank_branches,,40.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2006,bank_branches,,53.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2007,bank_branches,,54.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2008,bank_branches,,52.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2010,bank_branches,,57.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2011,bank_branches,,57.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2012,bank_branches,,57.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2013,bank_branches,,59.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2014,bank_branches,,65.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2015,bank_branches,,72.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2016,bank_branches,,74.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2017,bank_branches,,78.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Bizerte,2018,bank_branches,,80.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,1995,bank_branches,,16.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Béja,1996,bank_branches,,16.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Béja,1997,bank_branches,,17.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Béja,1998,bank_branches,,17.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,1999,bank_branches,,17.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2000,bank_branches,,17.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2001,bank_branches,,17.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2002,bank_branches,,17.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2003,bank_branches,,17.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2004,bank_branches,,17.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2005,bank_branches,,18.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2006,bank_branches,,18.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2007,bank_branches,,19.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2008,bank_branches,,22.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Béja,2010,bank_branches,,22.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Béja,2011,bank_branches,,22.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2012,bank_branches,,26.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2013,bank_branches,,26.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2014,bank_branches,,26.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2015,bank_branches,,28.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2016,bank_branches,,30.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2017,bank_branches,,33.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Béja,2018,bank_branches,,34.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,1995,bank_branches,,23.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gabès,1996,bank_branches,,23.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gabès,1997,bank_branches,,23.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gabès,1998,bank_branches,,23.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,1999,bank_branches,,21.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2000,bank_branches,,21.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2001,bank_branches,,21.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2002,bank_branches,,21.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2003,bank_branches,,21.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2004,bank_branches,,21.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2005,bank_branches,,21.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2006,bank_branches,,23.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2007,bank_branches,,23.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2008,bank_branches,,26.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2010,bank_branches,,31.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2011,bank_branches,,33.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2012,bank_branches,,43.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2013,bank_branches,,44.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2014,bank_branches,,39.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2015,bank_branches,,42.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2016,bank_branches,,44.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2017,bank_branches,,46.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gabès,2018,bank_branches,,47.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,1995,bank_branches,,14.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,1996,bank_branches,,14.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,1997,bank_branches,,14.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,1998,bank_branches,,14.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,1999,bank_branches,,14.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2000,bank_branches,,14.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2001,bank_branches,,14.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2002,bank_branches,,14.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2003,bank_branches,,14.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2004,bank_branches,,14.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2005,bank_branches,,14.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2006,bank_branches,,14.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2007,bank_branches,,15.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2008,bank_branches,,16.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2010,bank_branches,,21.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2011,bank_branches,,21.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2012,bank_branches,,34.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2013,bank_branches,,34.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2014,bank_branches,,24.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2015,bank_branches,,25.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2016,bank_branches,,29.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2017,bank_branches,,32.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Gafsa,2018,bank_branches,,33.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,1995,bank_branches,,21.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,1996,bank_branches,,21.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,1997,bank_branches,,21.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,1998,bank_branches,,21.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,1999,bank_branches,,23.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2000,bank_branches,,23.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Jendouba,2001,bank_branches,,23.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
