wave,product_ar,product_fr,expenditure_pc_national,spatial_gini
2005,آلة تسخين (بالكهرباء ،بالغاز ،أو البترول(,,1.254,0.11374724309228113
2005,آلة غسل المالبس,,1.54,0.2524399308003529
2005,أثاث األسرة و المفروشات,,33.506,0.1981844433001344
2005,أثاث كامل آخر(بيت جلوس ،جرايات و(...,,2.763,0.26821754511038964
2005,أدوات التزويق,,0.839,0.23526872108233665
2005,أدوات الصيانة الشخصية,,2.868,0.30695093444394805
2005,أدوات المطبخ,"VERRERIE, VAISSELLE  ET USTENSILES DE CUISINE",8.176,0.11287484436918471
2005,أدوات طبية,,1.743,0.16120460634747114
2005,أدوية,,39.791,0.11709302120814113
2005,أرز,,2.584,0.1482687391442078
2005,ألعاب,JEUX DE LOISIRS,1.812,0.3305935870783121
2005,ألعاب ومشاهد و عروض,,4.421,0.3374822887091167
2005,أنواعأخرىمنالخبز(المبسس،خبزطابونة(...,,2.739,0.5145003165620252
2005,إجاص,,2.502,0.12747338177224699
2005,األجبان,,5.727,0.32862890346681284
2005,األحذية و أغطية القدم (جلدية ،بالستيك(...,,44.337,0.14146735909087327
2005,األسماك المصبرة,,2.814,0.2463317362722638
2005,اإليجار واالستخالص الشهري و المعلوم البلدي,,153.902,0.20254432649505616
2005,االستخالص لقرض سكني,,31.911,0.26088375713224454
2005,االشتراكات المدرسية,,2.701,0.13834399118237684
2005,االشتراكات غير المدرسية,,4.33,0.3900190792316318
2005,اشتراكات في منظمات,,1.461,0.2761472245980361
2005,البقول الخضراء,,5.099,0.12057741767877939
2005,البقول الشائحة,,8.455,0.05284017925648388
2005,البقول المنفخة,,1.092,0.3741153114211606
2005,البناء,MACONNERIE,24.376,0.29679303867140716
2005,التجهيز الصحي,PLOMBERIE SANITAIRE,1.823,0.2903046386313597
2005,التجهيز و التركيب الكهربائي,INSTALLATION BRANCHEMENT ET ACCESSSOIRE ELECTRIQUES,1.956,0.14556230625591215
2005,الترفيه والثقافة,,102.014,0.16436683350160786
2005,التوابل الجافة والملح,,4.118,0.058122187984613216
2005,الحليب االصطناعي,,25.364,0.24012302485420722
2005,الحليب المجفف,,0.529,0.21968987163719844
2005,الحليب المركز,,0.326,0.3524571064523503
2005,الحليب و مشتقاته و البيض,"LAIT, PRODUITS LAITIERS ET OEUFS",72.603,0.14009184570839828
2005,الخضر الطازجة,,60.858,0.0959071443431847
2005,الخضر المصبرة,,25.225,0.042899822284030775
2005,الدهن و التبييض و صيانة األسطح,,9.126,0.23707023184262854
2005,الرعاية الشخصية,SOINS PERSONNELS,50.907,0.18673838884840954
2005,الرعاية الصحية و الشخصية,HYGIENE ET SOINS,188.246,0.144369669631359
2005,الزيوت,HUILES,38.491,0.15637613667311034
2005,السكر,SUCRE,9.112,0.07241373408726282
2005,السمك الطازج,POISSONS FRAIS,20.788,0.3328882091264751
2005,الشعيرو مشتقاته,,1.218,0.21466762573872677
2005,الطماطم,,7.802,0.11779475605508694
2005,الغالل الجافة,,3.767,0.09560849187387754
2005,الفواكه بالحبوب,,20.413,0.10940617267813513
2005,الفواكه بالنواة,,4.696,0.11178027278510294
2005,القمح الصلب و مشتقاته,,33.44,0.19324426548803975
2005,القوارص,AGRUMES,8.75,0.12988820028922743
2005,المالبس و األحذية والمستلزمات الشخصية,,160.126,0.13571696853562276
2005,المالحف و األغطية و الستائر,,8.763,0.1124900949097587
2005,المشروبات و االستهالك الغذائي خارج البيت,,95.94,0.1344289401147536
2005,المعلوم البلدي السنوي,Taxes locatives annuelles,4.256,0.2962210641266356
2005,المنحة السياحية للسفر إلى الخارج,ALLOCATION TOURISTIQUE POUR VOYAGE A L’ETRANGER,8.292,0.18602453186403878
2005,المواد السكرية,,2.556,0.16231266310102832
2005,النفقات الكبرى لالقتناء وبناء مسكن,,52.902,0.313187223680119
2005,النقل,,194.616,0.19697367270360466
2005,الياغورت,,14.939,0.19124453726905188
2005,بالكار,,1.306,0.4769907054700939
2005,بترول أزرق,,1.367,0.5806484242679466
2005,برتقال,Orange,6.279,0.1348273887962571
2005,بروكلو,Choux fleur,0.453,0.1618812077802101
2005,بسباس,Fenouil,0.923,0.22110447479213347
2005,بسكويت,,6.743,0.13875792701375966
2005,بصل,,7.093,0.10341610896372677
2005,بطاطا,Pomme de terre,12.511,0.0816273763915425
2005,بطيخ,Melon,1.984,0.1581763883253603
2005,بقول و توابل,"LEGUMINEUSES, SEL ET CONDIMENTS",19.276,0.0744462086503348
2005,بنزين مخلط للدراجات النارية,Essence mélangée pour cyclomoteur,4.26,0.39973810763536055
2005,بنك,Banc,2.822,0.46283685447295153
2005,بيت نوم,Chambre à coucher,4.492,0.15199560786501454
2005,بيض,Œufs,11.751,0.06513945055248904
2005,تأمين الدراجة النارية,Assurance de cyclomoteur,3.803,0.3803897972238406
2005,تأمين السيارة,Assurance auto,12.785,0.31434230128176877
2005,تابل و كروية,Tabel et  Carouia,1.913,0.11491375815726923
2005,تاكسي,Taxi,14.347,0.20701384805598178
2005,تبغ و نفة و معسل,TABAC ET NEFA,56.564,0.16604179991393375
2005,تجهيزات كهربائية و منزلية,APPAREILS MENAGERS ET ELECTROMENAGERS,14.102,0.12437445685554116
2005,تصليح وسيلة نقل,,15.553,0.2927433732936435
2005,تعليم السياقة,Frais d’Auto Ecole (ou camion école),2.136,0.2601871447605867
2005,تفاح,Pomme,4.001,0.14735801430263806
2005,تلفاز,Téléviseur,4.045,0.11219550831030212
2005,تن مصبّر,Thon en conserve,2.612,0.2644285087339209
2005,تين,,0.783,0.22403418913797557
2005,ثالجة أو مجمّد,,3.321,0.17950769935391697
2005,ثوم,,2.839,0.07869114539711064
2005,جلبانة خضراء,Petit pois vers,3.234,0.17286032472263746
2005,جهاز استقبال,,0.532,0.3623207498618066
2005,جوكينغ ،بدلة رياضية,,3.354,0.10633402956799709
2005,جيب ،جيب شورط,,3.417,0.1333384144281602
2005,حاسوب,Ordinateur personnel,2.57,0.21276060061683988
2005,حافلة (وسط المدن(,,12.43,0.3491293161205936
2005,حالقة,,11.699,0.24168442605184626
2005,حبوب أخرى,AUTRES CEREALES,3.096,0.14799555652135943
2005,حذاء رياضي (سبادري(,,9.335,0.22027480502479535
2005,حلوى,Bonbon,0.331,0.18283030251650578
2005,حلوى شامية,Halwa chamia,2.148,0.20204275943780337
2005,حلويات,,11.756,0.2766929813294625
2005,حليب طري,LAIT FRAIS,8.929,0.27395674521652913
2005,حمام ،دوش,,6.456,0.3231503578957864
2005,حمص شائح,Pois chiche sec,4.181,0.07838223393283639
2005,حمص ّ,,0.912,0.3515984113207693
2005,خاصة,,43.269,0.3025535061512191
2005,خبز سوق صغير,,2.336,0.6467503786778427
2005,خبز سوق كبير,,33.565,0.07020973921759799
2005,خدمات أخرى متعلقة بالسكن,AUTRES SERVICES LIES A L’HABITATION,12.199,0.4634113424746187
2005,خميرة (للخبز و المرطبات(,,0.809,0.2672955628388032
2005,خوخ,Pèche,2.457,0.12188158036032593
2005,دالع,,4.745,0.05367987016277809
2005,دقلة,Dattes degla,2.639,0.14907779115106057
2005,دوارة,,1.411,0.17089076865496677
2005,رمان,Grenade,0.979,0.09020868536400584
2005,روبة (أنسومبل) ،كسوة نسائية,,5.982,0.1916113363512867
2005,زبدة حيوانية,Beurre animal,1.35,0.3805796658776477
2005,زبدة نباتية (جديدة ،قولدينا(...,,2.253,0.14225783018541183
2005,زربية,Tapis,2.161,0.16234333338693874
2005,زكاة الفطر,Autres frais,1.232,0.1844061982605527
2005,زيت الزيتون,HUILES D’OLIVE,25.656,0.2538635751958469
2005,زيتون أخضر,,0.409,0.37488051334665595
2005,زيتون مملّح,Olive en conserve,0.583,0.4941316015468161
2005,زيوت نباتية,HUILES DE GRAINE VEGETALE,11.661,0.0907424091528608
2005,سالطة ،سكورية ،ليتو ،خس...,,1.356,0.3890031296807731
2005,سبناخ,Epinard,0.455,0.5113781518281787
2005,سجائر,,53.496,0.1679290642632254
2005,سردينة مصبّرة,Sardine en conserve,0.191,0.21948883033932132
2005,سروال دجين,Pantalon jean,17.486,0.10339286981602158
2005,سروال عادي,Pantalon en autre tissu pantacour,15.49,0.19325032689272337
2005,سرير ،مولة,,1.564,0.4791489509312319
2005,سفنارية (جزر(,,2.746,0.1065513929479609
2005,سلق,,1.933,0.14275585094719812
2005,سميد سوق,Semoule industrielle,17.319,0.32542020500558166
2005,سيارة أجرة (لواج) وحافلة بين المدن,,9.667,0.30541080886346805
2005,شالكة,,8.625,0.06353778804660304
2005,شاي,Thé préparé,6.853,0.1404532433080622
2005,شاي خارج البيت,,2.639,0.5134535454759003
2005,شراء الحلي والمجوهرات,,4.847,0.2331074907895161
2005,شراء بطاقات االنترنات,,1.19,0.46120078856052893
2005,شراء بطاقات تمويل الهاتف الجوال,Carte de recharge pour téléphone portable,42.875,0.16472570884622018
2005,شراء بطاقات تمويل الهاتف القار,Carte de recharge pour téléphone fixe,7.463,0.28468023027538747
2005,شراء بطاقات تمويل الهاتف واالنترنات,,51.529,0.18160018241042297
2005,شراء دراجة نارية,Achat de cyclomoteur - motocyclette,1.395,0.41540457576959355
2005,شراء سيارة,Achat de voiture,38.853,0.22262164938715934
2005,شراء مستلزمات الترفيه,,11.618,0.11347785693462775
2005,شراء وسيلة نقل خاصة,ACHAT DE MOYEN DE TRANSPORT PRIVE,41.457,0.21792091230685773
2005,شكالطة (طوابع ،غبرة ،شوكولين(...,,1.437,0.2570081314735915
2005,شمبوان,,7.21,0.18846374107941755
2005,شورط (تبان(,,1.035,0.15665812247669486
2005,صابون الصيانة الشخصية,Savon de toilette,1.683,0.2575463321129198
2005,صابون الغسل,Savon de ménage,3.265,0.1744258249687356
2005,صحف و مجالت,,3.574,0.3162934163828617
2005,صحن تونسي -كفتاجي -لبالبي,,2.37,0.3021806343157968
2005,صندال,Sandales,1.305,0.1310024242032528
2005,صور باألشعة و تحاليل طبية,,7.518,0.20215721673527876
2005,صيانة وسيلة نقل,ENTRETIEN DE MOYEN DE TRANSPORT PRIVE,3.794,0.30215991456610425
2005,ط َفل,,0.064,0.28172062651145724
2005,طائرة,,6.439,0.1928921553024019
2005,طماطم مصبّرة,,15.602,0.03713375598106183
2005,عالجوإقامةعمليةجراحيةفيمؤسسةاستشفائية,,11.244,0.13941164238624848
2005,عجين غذائي (مقرونة ،شربة( ...,,10.321,0.03737456271918105
2005,عدس شائح,Lentilles sèches,0.804,0.3276466585918394
2005,عسل النحل,Miel d’abeille,1.004,0.2138595824308518
2005,عسل و أغذية سكريّة,MIEL ET AUTRES PRODUITS SUCRES,2.876,0.19364259129757566
2005,عصير غالل (قارورة  ،باكوات(,,2.171,0.43255202664505465
2005,عطورات,Eau de Cologne eau de toilette parfum after shave…,10.153,0.2800732119406095
2005,عنب,Raisin de table,2.812,0.11413977811214093
2005,عوينة,Prune,0.385,0.12698543123047334
2005,غاز قارورة,Gaz en bouteille,18.901,0.07016098588355568
2005,غسل و تشحيم و تبديل زيت السيارة,Vidange lavage et graissage de voiture,2.847,0.29961066448488993
2005,فاتورة الغاز,,0.152,0.26270884810696615
2005,فاتورة الكهرباء,,45.539,0.20278958379053336
2005,فاتورة الماء,Dépense d’eau courante SONEDE,18.78,0.19846501147914097
2005,فاتورة الهاتف القار,Facture téléphone fixe,5.986,0.2563598499537141
2005,فارينة,,2.374,0.17379741101121937
2005,فحم و حطب,,2.073,0.1488284372654588
2005,فراولو,Fraise,1.246,0.28276416614188016
2005,فقوس,Concombre,1.729,0.1835149464852741
2005,فلفل أحمر,,6.287,0.11893962877684261
2005,فلفل أخضر,,10.966,0.11975771165033677
2005,فلفل أكحل,,0.511,0.24482544279669782
2005,فواكه أخرى,AUTRES FRUITS,4.655,0.2306120780186074
2005,فواكه ّ,,2.411,0.18491991968573696
2005,فول شائح,Fève sèche,1.201,0.22285349009827615
2005,فيستة ،بلوزون,,2.131,0.17755013468567526
2005,قارص,Citron,0.818,0.14547417344052915
2005,قاعة أكل,,0.892,0.2470197491892232
