indicator,basis,geography,year,governorates,complete,period,mean,theil_weighted,cv_weighted,cv_unweighted,tail_ratio
bank_branches,per_head,as_printed,2005,23,False,pre,0.080458,,,,
bank_branches,per_head,as_printed,2006,23,False,pre,0.093503,,,,
bank_branches,per_head,as_printed,2007,23,False,pre,0.097999,,,,
bank_branches,per_head,as_printed,2008,23,False,pre,0.099195,,,,
bank_branches,per_head,as_printed,2010,24,True,pre,0.104895,0.169095,0.608712,0.591671,5.549967
bank_branches,per_head,as_printed,2011,24,True,post,0.106777,0.16916,0.606997,0.595877,5.508677
bank_branches,per_head,as_printed,2012,24,True,post,0.112527,0.157689,0.581237,0.557757,6.174908
bank_branches,per_head,as_printed,2013,24,True,post,0.116858,0.152345,0.567587,0.545194,6.118445
bank_branches,per_head,as_printed,2014,24,True,post,0.120545,0.169327,0.614354,0.592756,5.752978
bank_branches,per_head,as_printed,2015,24,True,post,0.127951,0.16416,0.600734,0.581851,5.802513
bank_branches,per_head,as_printed,2016,24,True,post,0.131942,0.159883,0.590985,0.577387,5.728742
bank_branches,per_head,as_printed,2017,24,True,post,0.136676,0.160697,0.592591,0.580047,5.853027
bank_branches,per_head,as_printed,2018,24,True,post,0.137686,0.155999,0.58622,0.572318,5.487073
bank_branches,per_head,constant,2005,23,True,pre,0.080458,0.148412,0.574232,0.540089,4.78238
bank_branches,per_head,constant,2006,23,True,pre,0.093503,0.183453,0.647051,0.618391,5.721209
bank_branches,per_head,constant,2007,23,True,pre,0.097999,0.18028,0.637008,0.616476,5.54538
bank_branches,per_head,constant,2008,23,True,pre,0.099195,0.174979,0.616424,0.601742,5.830056
bank_branches,per_head,constant,2010,23,True,pre,0.104151,0.162051,0.596759,0.588733,5.339934
bank_branches,per_head,constant,2011,23,True,post,0.105954,0.160844,0.592612,0.589622,5.26065
bank_branches,per_head,constant,2012,23,True,post,0.11117,0.153758,0.573498,0.561824,5.927473
bank_branches,per_head,constant,2013,23,True,post,0.115421,0.14814,0.558981,0.547753,5.829836
bank_branches,per_head,constant,2014,23,True,post,0.119736,0.165261,0.607622,0.59836,5.651408
bank_branches,per_head,constant,2015,23,True,post,0.126994,0.158889,0.591516,0.583904,5.666755
bank_branches,per_head,constant,2016,23,True,post,0.131118,0.154083,0.580884,0.577849,5.622067
bank_branches,per_head,constant,2017,23,True,post,0.135816,0.154034,0.580926,0.578513,5.707796
bank_branches,per_head,constant,2018,23,True,post,0.137053,0.149093,0.574362,0.569874,5.366177
bank_branches,share_of_national,as_printed,1995,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,1996,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,1997,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,1998,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,1999,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2000,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2001,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2002,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2003,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2004,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2005,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2006,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2007,23,False,pre,0.043478,,,,
bank_branches,share_of_national,as_printed,2008,23,False,pre,0.043478,,,,
