series,group,base_year,year,month,t,running,treated,value,log_value
cpi_general,all items,2000,2004,1,2004.0,-84,False,110.8,4.707727
cpi_general,all items,2000,2004,2,2004.083333,-83,False,110.3,4.703204
cpi_general,all items,2000,2004,3,2004.166667,-82,False,110.6,4.70592
cpi_general,all items,2000,2004,4,2004.25,-81,False,111.2,4.71133
cpi_general,all items,2000,2004,5,2004.333333,-80,False,111.7,4.715817
cpi_general,all items,2000,2004,6,2004.416667,-79,False,111.9,4.717606
cpi_general,all items,2000,2004,7,2004.5,-78,False,112.0,4.718499
cpi_general,all items,2000,2004,8,2004.583333,-77,False,111.9,4.717606
cpi_general,all items,2000,2004,9,2004.666667,-76,False,111.9,4.717606
cpi_general,all items,2000,2004,10,2004.75,-75,False,112.0,4.718499
cpi_general,all items,2000,2004,11,2004.833333,-74,False,111.9,4.717606
cpi_general,all items,2000,2004,12,2004.916667,-73,False,111.9,4.717606
cpi_general,all items,2000,2005,1,2005.0,-72,False,112.0,4.718499
cpi_general,all items,2000,2005,2,2005.083333,-71,False,112.2,4.720283
cpi_general,all items,2000,2005,3,2005.166667,-70,False,112.2,4.720283
cpi_general,all items,2000,2005,4,2005.25,-69,False,113.1,4.728272
cpi_general,all items,2000,2005,5,2005.333333,-68,False,113.0,4.727388
cpi_general,all items,2000,2005,6,2005.416667,-67,False,113.4,4.730921
cpi_general,all items,2000,2005,7,2005.5,-66,False,113.6,4.732684
cpi_general,all items,2000,2005,8,2005.583333,-65,False,114.0,4.736198
cpi_general,all items,2000,2005,9,2005.666667,-64,False,114.5,4.740575
cpi_general,all items,2000,2005,10,2005.75,-63,False,115.2,4.74667
cpi_general,all items,2000,2005,11,2005.833333,-62,False,115.6,4.750136
cpi_general,all items,2000,2005,12,2005.916667,-61,False,116.3,4.756173
cpi_general,all items,2000,2006,1,2006.0,-60,False,117.0,4.762174
cpi_general,all items,2000,2006,2,2006.083333,-59,False,116.7,4.759607
cpi_general,all items,2000,2006,3,2006.166667,-58,False,117.1,4.763028
cpi_general,all items,2000,2006,4,2006.25,-57,False,118.5,4.774913
cpi_general,all items,2000,2006,5,2006.333333,-56,False,119.0,4.779123
cpi_general,all items,2000,2006,6,2006.416667,-55,False,119.0,4.779123
cpi_general,all items,2000,2006,7,2006.5,-54,False,119.5,4.783316
cpi_general,all items,2000,2006,8,2006.583333,-53,False,119.5,4.783316
cpi_general,all items,2000,2006,9,2006.666667,-52,False,119.9,4.786658
cpi_general,all items,2000,2006,10,2006.75,-51,False,120.3,4.789989
cpi_general,all items,2000,2006,11,2006.833333,-50,False,120.0,4.787492
cpi_general,all items,2000,2006,12,2006.916667,-49,False,119.9,4.786658
cpi_general,all items,2000,2007,1,2007.0,-48,False,119.9,4.786658
cpi_general,all items,2000,2007,2,2007.083333,-47,False,119.7,4.784989
cpi_general,all items,2000,2007,3,2007.166667,-46,False,120.0,4.787492
cpi_general,all items,2000,2007,4,2007.25,-45,False,120.8,4.794136
cpi_general,all items,2000,2007,5,2007.333333,-44,False,121.6,4.800737
cpi_general,all items,2000,2007,6,2007.416667,-43,False,122.5,4.808111
cpi_general,all items,2000,2007,7,2007.5,-42,False,122.8,4.810557
cpi_general,all items,2000,2007,8,2007.583333,-41,False,123.9,4.819475
cpi_general,all items,2000,2007,9,2007.666667,-40,False,124.2,4.821893
cpi_general,all items,2000,2007,10,2007.75,-39,False,124.8,4.826712
cpi_general,all items,2000,2007,11,2007.833333,-38,False,125.5,4.832306
cpi_general,all items,2000,2007,12,2007.916667,-37,False,126.3,4.83866
cpi_general,all items,2000,2008,1,2008.0,-36,False,126.8,4.842611
cpi_general,all items,2000,2008,2,2008.083333,-35,False,126.5,4.840242
cpi_general,all items,2000,2008,3,2008.166667,-34,False,127.0,4.844187
cpi_general,all items,2000,2008,4,2008.25,-33,False,128.0,4.85203
cpi_general,all items,2000,2008,5,2008.333333,-32,False,128.1,4.852811
cpi_general,all items,2000,2008,6,2008.416667,-31,False,128.5,4.855929
cpi_general,all items,2000,2008,7,2008.5,-30,False,129.2,4.861362
cpi_general,all items,2000,2008,8,2008.583333,-29,False,129.0,4.859812
cpi_general,all items,2000,2008,9,2008.666667,-28,False,129.6,4.864453
cpi_general,all items,2000,2008,10,2008.75,-27,False,130.5,4.871373
cpi_general,all items,2000,2008,11,2008.833333,-26,False,131.0,4.875197
cpi_general,all items,2000,2008,12,2008.916667,-25,False,131.5,4.879007
cpi_general,all items,2005,2009,1,2009.0,-24,False,115.1,4.745801
cpi_general,all items,2005,2009,2,2009.083333,-23,False,114.5,4.740575
cpi_general,all items,2005,2009,3,2009.166667,-22,False,114.9,4.744062
cpi_general,all items,2005,2009,4,2009.25,-21,False,115.6,4.750136
cpi_general,all items,2005,2009,5,2009.333333,-20,False,116.0,4.75359
cpi_general,all items,2005,2009,6,2009.416667,-19,False,116.5,4.757891
cpi_general,all items,2005,2009,7,2009.5,-18,False,117.3,4.764735
cpi_general,all items,2005,2009,8,2009.583333,-17,False,117.6,4.767289
cpi_general,all items,2005,2009,9,2009.666667,-16,False,118.2,4.772378
cpi_general,all items,2005,2009,10,2009.75,-15,False,118.9,4.778283
cpi_general,all items,2005,2009,11,2009.833333,-14,False,119.4,4.782479
cpi_general,all items,2005,2009,12,2009.916667,-13,False,119.9,4.786658
cpi_general,all items,2005,2010,1,2010.0,-12,False,120.3,4.789989
cpi_general,all items,2005,2010,2,2010.083333,-11,False,120.4,4.79082
cpi_general,all items,2005,2010,3,2010.166667,-10,False,120.6,4.792479
cpi_general,all items,2005,2010,4,2010.25,-9,False,121.1,4.796617
cpi_general,all items,2005,2010,5,2010.333333,-8,False,121.5,4.799914
cpi_general,all items,2005,2010,6,2010.416667,-7,False,121.9,4.803201
cpi_general,all items,2005,2010,7,2010.5,-6,False,122.2,4.805659
cpi_general,all items,2005,2010,8,2010.583333,-5,False,122.5,4.808111
cpi_general,all items,2005,2010,9,2010.666667,-4,False,122.9,4.811371
cpi_general,all items,2005,2010,10,2010.75,-3,False,123.6,4.817051
cpi_general,all items,2005,2010,11,2010.833333,-2,False,124.2,4.821893
cpi_general,all items,2005,2010,12,2010.916667,-1,False,124.7,4.825911
cpi_general,all items,2005,2011,1,2011.0,0,True,124.5,4.824306
cpi_general,all items,2005,2011,2,2011.083333,1,True,123.9,4.819475
