indicator,year,governorate,breakdown,summed,printed,gap,reason
population_by_age,2014,Béja,00-04,,,0.8999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gabès,45-49,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gabès,50-54,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gabès,55-59,,,0.40000000000000036,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gabès,60-64,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gabès,00-04,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gabès,10-14,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gabès,15-19,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gabès,25-29,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gabès,30-34,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gabès,35-39,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2014,Gabès,00-04,,,1.9999999999999964,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,45-49,,,2.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,50-54,,,1.2000000000000028,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,55-59,,,2.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,60-64,,,1.700000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,65-69,,,1.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,70-74,,,1.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,75-79,,,1.299999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gabès,80+,,,2.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gafsa,45-49,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gafsa,50-54,,,0.40000000000000036,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gafsa,55-59,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gafsa,60-64,,,0.2999999999999998,men plus women do not make the figure printed for both sexes
population_by_age,2007,Gafsa,75-79,,,0.20000000000000018,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gafsa,10-14,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gafsa,15-19,,,0.6000000000000014,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gafsa,25-29,,,0.5,men plus women do not make the figure printed for both sexes
population_by_age,2008,Gafsa,30-34,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2014,Gafsa,00-04,,,2.200000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,45-49,,,6.500000000000002,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,50-54,,,6.300000000000001,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,55-59,,,6.0,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,60-64,,,5.0,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,65-69,,,3.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,70-74,,,2.3,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,75-79,,,1.8999999999999995,men plus women do not make the figure printed for both sexes
population_by_age,2018,Gafsa,80+,,,2.2,men plus women do not make the figure printed for both sexes
population_by_age,2007,Jendouba,45-49,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Jendouba,50-54,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Jendouba,55-59,,,0.5999999999999979,men plus women do not make the figure printed for both sexes
population_by_age,2007,Jendouba,60-64,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
