product_code,product_label_fr,consumption_function_code,consumption_function,consumption_function_fr
1081,"Biscuit simple, Biscuit fourré, gaufrettes",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1082,"Cake( prince, break...)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1083,Pâtisserie souk,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1084,Beignet souk,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1085,Bsissa,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1086,Farine lactée (Céréale ; Sha ; Sinlac …),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1087,Malsouka (brik),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1088,Dépense de pâtisserie maison non ventilées,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1089,"Autres produits à base de céréales (biscotte - grain d'or ,avoine,sans gluten…)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1091,"Frais de mouture (blé, orge, sorgho, condiments…)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1092,Frais de cuisson pour pain,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1093,Frais de cuisson pour gâteau ; maison,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1094,Frais de cuisson pour autres produits alimentaires,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1095,Frais pour égorger (aiguisage des couteaux),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1099,Autres services relatifs aux produits alimentaires (Oula),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1111,Fève sèche,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1112,Petit fève sèche,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1113,Pois chiche sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1114,Pois chiche moulu,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1115,Petit pois sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1116,Haricot sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1117,Lentilles sèches,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1118,Mélange de légumineuses sèches,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1119,Autres légumineuses sèches (Helba…),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
