indicator,basis,geography,year,weighting,period,governorates,mean,gini,theil_t,theil_l,cv,atkinson_05,atkinson_1,atkinson_2,p90_p10,p80_p20
bank_branches,per_head,as_printed,2010,population,pre,24,0.104895,0.322354,0.169095,0.175759,0.608712,0.082974,0.161179,0.295268,3.859662,2.905482
bank_branches,per_head,as_printed,2011,population,post,24,0.106777,0.323059,0.16916,0.176173,0.606997,0.08313,0.161527,0.295211,4.116466,2.740146
bank_branches,per_head,as_printed,2012,population,post,24,0.112527,0.308685,0.157689,0.170347,0.581237,0.078753,0.156628,0.302657,4.627582,2.682288
bank_branches,per_head,as_printed,2013,population,post,24,0.116858,0.303744,0.152345,0.166356,0.567587,0.076554,0.153255,0.29982,4.651888,2.629798
bank_branches,per_head,as_printed,2014,population,post,24,0.120545,0.319751,0.169327,0.174836,0.614354,0.082699,0.160405,0.29533,4.306584,2.703304
bank_branches,per_head,as_printed,2015,population,post,24,0.127951,0.316386,0.16416,0.171192,0.600734,0.080652,0.15734,0.29253,4.252338,2.837681
bank_branches,per_head,as_printed,2016,population,post,24,0.131942,0.312104,0.159883,0.167297,0.590985,0.078755,0.154052,0.287807,4.210694,2.786604
bank_branches,per_head,as_printed,2017,population,post,24,0.136676,0.312862,0.160697,0.168482,0.592591,0.079196,0.155054,0.290385,4.343655,2.5669
bank_branches,per_head,as_printed,2018,population,post,24,0.137686,0.307419,0.155999,0.161414,0.58622,0.076496,0.149061,0.27718,4.170564,2.544791
bank_branches,per_head,as_printed,2010,unweighted,pre,24,0.104895,0.30081,0.14991,0.145367,0.591671,0.071388,0.135295,0.240709,3.818198,2.642756
bank_branches,per_head,as_printed,2011,unweighted,post,24,0.106777,0.302751,0.151652,0.146042,0.595877,0.071996,0.135879,0.239514,3.852989,2.723842
bank_branches,per_head,as_printed,2012,unweighted,post,24,0.112527,0.288582,0.138836,0.142214,0.557757,0.067867,0.132565,0.250632,4.355377,2.749012
bank_branches,per_head,as_printed,2013,unweighted,post,24,0.116858,0.284437,0.13451,0.139305,0.545194,0.066158,0.130037,0.248767,4.243297,2.584342
bank_branches,per_head,as_printed,2014,unweighted,post,24,0.120545,0.294914,0.147262,0.141409,0.592756,0.06972,0.131866,0.235768,3.979982,2.522388
bank_branches,per_head,as_printed,2015,unweighted,post,24,0.127951,0.292719,0.143916,0.139518,0.581851,0.068509,0.130222,0.234814,4.187192,2.500393
bank_branches,per_head,as_printed,2016,unweighted,post,24,0.131942,0.290769,0.142076,0.137586,0.577387,0.067642,0.128541,0.231508,4.194018,2.424912
bank_branches,per_head,as_printed,2017,unweighted,post,24,0.136676,0.291912,0.143307,0.139082,0.580047,0.068265,0.129843,0.234468,4.194942,2.528668
bank_branches,per_head,as_printed,2018,unweighted,post,24,0.137686,0.285778,0.138305,0.13242,0.572318,0.065536,0.124027,0.222017,4.055265,2.401237
bank_branches,per_head,constant,2005,population,pre,23,0.080458,0.299382,0.148412,0.150903,0.574232,0.072298,0.140069,0.259217,5.309983,2.460853
bank_branches,per_head,constant,2006,population,pre,23,0.093503,0.329538,0.183453,0.18678,0.647051,0.088706,0.170373,0.309176,6.897747,2.480298
bank_branches,per_head,constant,2007,population,pre,23,0.097999,0.329473,0.18028,0.184827,0.637008,0.087585,0.168752,0.306577,6.804947,2.866391
bank_branches,per_head,constant,2008,population,pre,23,0.099195,0.326542,0.174979,0.185075,0.616424,0.086427,0.168958,0.31226,4.269853,2.757782
bank_branches,per_head,constant,2010,population,pre,23,0.104151,0.312567,0.162051,0.168647,0.596759,0.079596,0.155193,0.28781,3.818198,2.525379
bank_branches,per_head,constant,2011,population,post,23,0.105954,0.311893,0.160844,0.167851,0.592612,0.079162,0.15452,0.286491,3.852989,2.456534
bank_branches,per_head,constant,2012,population,post,23,0.11117,0.301349,0.153758,0.166835,0.573498,0.076972,0.153661,0.299543,4.355377,2.438984
