governorate,year,indicator,unit,basis,value,population_thousands,comparable,geography
Ariana,2005,bank_branches,branches,per_head,52.0,435.9,0.11929341592108282,as_printed
Ariana,2006,bank_branches,branches,per_head,61.0,447.3,0.13637379834562932,as_printed
Ariana,2007,bank_branches,branches,per_head,72.0,460.3,0.15641972626547904,as_printed
Ariana,2008,bank_branches,branches,per_head,77.0,473.2,0.16272189349112426,as_printed
Ariana,2010,bank_branches,branches,per_head,95.0,512.6,0.18532969176746,as_printed
Ariana,2011,bank_branches,branches,per_head,104.0,528.4,0.1968205904617714,as_printed
Ariana,2012,bank_branches,branches,per_head,107.0,544.4,0.19654665686994857,as_printed
Ariana,2013,bank_branches,branches,per_head,116.0,560.8,0.20684736091298148,as_printed
Ariana,2014,bank_branches,branches,per_head,113.0,579.3,0.19506300707750734,as_printed
Ariana,2015,bank_branches,branches,per_head,130.0,596.0,0.2181208053691275,as_printed
Ariana,2016,bank_branches,branches,per_head,137.0,611.9,0.2238927929400229,as_printed
Ariana,2017,bank_branches,branches,per_head,149.0,627.1,0.23760165842768297,as_printed
Ariana,2018,bank_branches,branches,per_head,150.0,641.4,0.23386342376052385,as_printed
Ben Arous,2005,bank_branches,branches,per_head,47.0,520.2,0.09034986543637062,as_printed
Ben Arous,2006,bank_branches,branches,per_head,59.0,531.1,0.11109019017134249,as_printed
Ben Arous,2007,bank_branches,branches,per_head,67.0,543.6,0.123252391464312,as_printed
Ben Arous,2008,bank_branches,branches,per_head,74.0,555.4,0.13323730644580484,as_printed
Ben Arous,2010,bank_branches,branches,per_head,91.0,580.4,0.15678842177808408,as_printed
Ben Arous,2011,bank_branches,branches,per_head,95.0,593.3,0.16012135513231082,as_printed
Ben Arous,2012,bank_branches,branches,per_head,102.0,606.4,0.16820580474934038,as_printed
Ben Arous,2013,bank_branches,branches,per_head,107.0,619.7,0.17266419235113764,as_printed
Ben Arous,2014,bank_branches,branches,per_head,115.0,634.6,0.18121651433974156,as_printed
Ben Arous,2015,bank_branches,branches,per_head,129.0,649.2,0.1987060998151571,as_printed
Ben Arous,2016,bank_branches,branches,per_head,138.0,663.1,0.208113406725984,as_printed
Ben Arous,2017,bank_branches,branches,per_head,146.0,676.8,0.2157210401891253,as_printed
Ben Arous,2018,bank_branches,branches,per_head,148.0,690.0,0.2144927536231884,as_printed
Bizerte,2005,bank_branches,branches,per_head,40.0,529.3,0.07557150954090308,as_printed
Bizerte,2006,bank_branches,branches,per_head,53.0,532.8,0.09947447447447448,as_printed
Bizerte,2007,bank_branches,branches,per_head,54.0,536.0,0.10074626865671642,as_printed
Bizerte,2008,bank_branches,branches,per_head,52.0,539.0,0.09647495361781076,as_printed
Bizerte,2010,bank_branches,branches,per_head,57.0,551.5,0.10335448776065277,as_printed
Bizerte,2011,bank_branches,branches,per_head,57.0,555.9,0.1025364274150027,as_printed
Bizerte,2012,bank_branches,branches,per_head,57.0,560.4,0.10171306209850108,as_printed
