year,base_year,index,source_key,source_table
2010,2005,122.2,annuaire_2023,13.6
2011,2005,126.5,annuaire_2023,13.6
2012,2005,133.5,annuaire_2023,13.6
2013,2005,141.7,annuaire_2023,13.6
2014,2005,149.4,annuaire_2023,13.6
2015,2005,156.5,annuaire_2023,13.6
2016,2005,162.3,annuaire_2023,13.6
2017,2005,171.0,annuaire_2023,13.6
2018,2005,183.7,annuaire_2023,13.6
2019,2005,196.2,annuaire_2023,13.6
2020,2005,207.3,annuaire_2023,13.6
2021,2005,219.1,annuaire_2023,13.6
2022,2005,237.3,annuaire_2023,13.6
2023,2005,259.4,annuaire_2023,13.6
1999,2010,70.0,annuaire_2023,13.6
2000,2010,72.0,annuaire_2023,13.6
2001,2010,73.4,annuaire_2023,13.6
2002,2010,75.4,annuaire_2023,13.6
2003,2010,77.5,annuaire_2023,13.6
2004,2010,80.3,annuaire_2023,13.6
2005,2010,81.9,annuaire_2023,13.6
2006,2010,85.3,annuaire_2023,13.6
2007,2010,88.2,annuaire_2023,13.6
2008,2010,92.6,annuaire_2023,13.6
2009,2010,95.8,annuaire_2023,13.6
2010,2010,100.0,annuaire_2023,13.6
2011,2010,103.5,annuaire_2023,13.6
2012,2010,108.8,annuaire_2023,13.6
2013,2010,115.1,annuaire_2023,13.6
2014,2010,120.8,annuaire_2023,13.6
2015,2010,126.6,annuaire_2023,13.6
2016,2010,131.4,annuaire_2023,13.6
2017,2010,138.3,annuaire_2023,13.6
2018,2010,148.7,annuaire_2023,13.6
2019,2010,158.8,annuaire_2023,13.6
2020,2010,167.7,annuaire_2023,13.6
2021,2010,177.3,annuaire_2023,13.6
2022,2010,192.0,annuaire_2023,13.6
2023,2010,209.9,annuaire_2023,13.6
1999,2015,55.3,annuaire_2023,13.6
2000,2015,56.9,annuaire_2023,13.6
2001,2015,58.0,annuaire_2023,13.6
2002,2015,59.6,annuaire_2023,13.6
2003,2015,61.2,annuaire_2023,13.6
2004,2015,63.4,annuaire_2023,13.6
2005,2015,64.7,annuaire_2023,13.6
2006,2015,67.4,annuaire_2023,13.6
2007,2015,69.7,annuaire_2023,13.6
2008,2015,73.0,annuaire_2023,13.6
2009,2015,75.7,annuaire_2023,13.6
2010,2015,79.0,annuaire_2023,13.6
2011,2015,81.8,annuaire_2023,13.6
2012,2015,86.0,annuaire_2023,13.6
2013,2015,90.9,annuaire_2023,13.6
2014,2015,95.4,annuaire_2023,13.6
2015,2015,100.0,annuaire_2023,13.6
2016,2015,103.6,annuaire_2023,13.6
2017,2015,109.1,annuaire_2023,13.6
2018,2015,117.1,annuaire_2023,13.6
2019,2015,125.0,annuaire_2023,13.6
2020,2015,132.0,annuaire_2023,13.6
2021,2015,139.6,annuaire_2023,13.6
2022,2015,151.1,annuaire_2023,13.6
2023,2015,165.2,annuaire_2023,13.6
