year,base_year,index,source_key,source_table
1999,1970,610.5,annuaire_2023,13.6
2000,1970,628.3,annuaire_2023,13.6
2001,1970,640.5,annuaire_2023,13.6
2002,1970,658.6,annuaire_2023,13.6
2003,1970,676.5,annuaire_2023,13.6
2004,1970,701.0,annuaire_2023,13.6
2005,1970,715.3,annuaire_2023,13.6
2006,1970,745.0,annuaire_2023,13.6
2007,1970,770.6,annuaire_2023,13.6
2008,1970,808.4,annuaire_2023,13.6
2009,1970,837.0,annuaire_2023,13.6
2010,1970,873.9,annuaire_2023,13.6
2011,1970,904.8,annuaire_2023,13.6
2012,1970,955.1,annuaire_2023,13.6
2013,1970,1013.5,annuaire_2023,13.6
2014,1970,1069.0,annuaire_2023,13.6
2015,1970,1119.5,annuaire_2023,13.6
2016,1970,1161.2,annuaire_2023,13.6
2017,1970,1223.0,annuaire_2023,13.6
2018,1970,1314.2,annuaire_2023,13.6
2019,1970,1403.5,annuaire_2023,13.6
2020,1970,1482.6,annuaire_2023,13.6
2021,1970,1567.2,annuaire_2023,13.6
2022,1970,1697.4,annuaire_2023,13.6
2023,1970,1855.7,annuaire_2023,13.6
1999,1977,421.5,annuaire_2023,13.6
2000,1977,433.6,annuaire_2023,13.6
2001,1977,442.0,annuaire_2023,13.6
2002,1977,454.5,annuaire_2023,13.6
2003,1977,466.9,annuaire_2023,13.6
2004,1977,483.8,annuaire_2023,13.6
2005,1977,493.7,annuaire_2023,13.6
2006,1977,514.1,annuaire_2023,13.6
2007,1977,531.8,annuaire_2023,13.6
2008,1977,557.9,annuaire_2023,13.6
2009,1977,577.6,annuaire_2023,13.6
2010,1977,603.1,annuaire_2023,13.6
2011,1977,624.4,annuaire_2023,13.6
2012,1977,659.2,annuaire_2023,13.6
2013,1977,699.4,annuaire_2023,13.6
2014,1977,737.8,annuaire_2023,13.6
2015,1977,772.6,annuaire_2023,13.6
2016,1977,801.4,annuaire_2023,13.6
2017,1977,844.0,annuaire_2023,13.6
2018,1977,907.0,annuaire_2023,13.6
2019,1977,968.6,annuaire_2023,13.6
2020,1977,1023.2,annuaire_2023,13.6
2021,1977,1081.6,annuaire_2023,13.6
2022,1977,1171.4,annuaire_2023,13.6
2023,1977,1280.7,annuaire_2023,13.6
1999,1983,247.4,annuaire_2023,13.6
2000,1983,254.6,annuaire_2023,13.6
2001,1983,259.6,annuaire_2023,13.6
2002,1983,266.9,annuaire_2023,13.6
2003,1983,274.2,annuaire_2023,13.6
2004,1983,284.1,annuaire_2023,13.6
2005,1983,289.9,annuaire_2023,13.6
2006,1983,301.9,annuaire_2023,13.6
2007,1983,312.3,annuaire_2023,13.6
2008,1983,327.6,annuaire_2023,13.6
2009,1983,339.2,annuaire_2023,13.6
2010,1983,354.1,annuaire_2023,13.6
2011,1983,366.7,annuaire_2023,13.6
2012,1983,387.1,annuaire_2023,13.6
2013,1983,410.7,annuaire_2023,13.6
2014,1983,433.2,annuaire_2023,13.6
2015,1983,453.7,annuaire_2023,13.6
2016,1983,470.6,annuaire_2023,13.6
2017,1983,495.6,annuaire_2023,13.6
2018,1983,532.6,annuaire_2023,13.6
2019,1983,568.8,annuaire_2023,13.6
2020,1983,600.8,annuaire_2023,13.6
2021,1983,635.1,annuaire_2023,13.6
2022,1983,687.9,annuaire_2023,13.6
2023,1983,752.0,annuaire_2023,13.6
1999,1990,150.8,annuaire_2023,13.6
2000,1990,155.2,annuaire_2023,13.6
2001,1990,158.2,annuaire_2023,13.6
2002,1990,162.6,annuaire_2023,13.6
2003,1990,167.1,annuaire_2023,13.6
2004,1990,173.2,annuaire_2023,13.6
2005,1990,176.7,annuaire_2023,13.6
2006,1990,184.0,annuaire_2023,13.6
2007,1990,190.3,annuaire_2023,13.6
2008,1990,199.7,annuaire_2023,13.6
2009,1990,206.7,annuaire_2023,13.6
2010,1990,215.8,annuaire_2023,13.6
2011,1990,223.5,annuaire_2023,13.6
2012,1990,235.9,annuaire_2023,13.6
2013,1990,250.3,annuaire_2023,13.6
2014,1990,264.1,annuaire_2023,13.6
2015,1990,276.5,annuaire_2023,13.6
2016,1990,286.8,annuaire_2023,13.6
2017,1990,302.1,annuaire_2023,13.6
2018,1990,324.6,annuaire_2023,13.6
2019,1990,346.7,annuaire_2023,13.6
2020,1990,366.2,annuaire_2023,13.6
2021,1990,387.1,annuaire_2023,13.6
2022,1990,419.3,annuaire_2023,13.6
2023,1990,458.3,annuaire_2023,13.6
1999,2000,97.2,annuaire_2023,13.6
2000,2000,100.0,annuaire_2023,13.6
2001,2000,102.0,annuaire_2023,13.6
2002,2000,104.7,annuaire_2023,13.6
2003,2000,107.6,annuaire_2023,13.6
2004,2000,111.5,annuaire_2023,13.6
2005,2000,113.8,annuaire_2023,13.6
2006,2000,118.5,annuaire_2023,13.6
2007,2000,122.6,annuaire_2023,13.6
2008,2000,128.6,annuaire_2023,13.6
2009,2000,133.1,annuaire_2023,13.6
2010,2000,139.0,annuaire_2023,13.6
2011,2000,143.9,annuaire_2023,13.6
2012,2000,151.9,annuaire_2023,13.6
2013,2000,161.2,annuaire_2023,13.6
2014,2000,170.0,annuaire_2023,13.6
2015,2000,178.1,annuaire_2023,13.6
2016,2000,184.7,annuaire_2023,13.6
2017,2000,194.5,annuaire_2023,13.6
2018,2000,209.0,annuaire_2023,13.6
2019,2000,223.2,annuaire_2023,13.6
2020,2000,235.8,annuaire_2023,13.6
2021,2000,249.3,annuaire_2023,13.6
2022,2000,270.0,annuaire_2023,13.6
2023,2000,295.1,annuaire_2023,13.6
1999,2005,85.4,annuaire_2023,13.6
2000,2005,87.9,annuaire_2023,13.6
2001,2005,89.6,annuaire_2023,13.6
2002,2005,92.1,annuaire_2023,13.6
2003,2005,94.6,annuaire_2023,13.6
2004,2005,98.0,annuaire_2023,13.6
2005,2005,100.0,annuaire_2023,13.6
2006,2005,104.1,annuaire_2023,13.6
2007,2005,107.7,annuaire_2023,13.6
2008,2005,113.0,annuaire_2023,13.6
2009,2005,117.0,annuaire_2023,13.6
