title_fr,panel,region,column_label,year,parts_sum,parts_mean,printed,gap,additive,agrees
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2019 Ensemble,2019,17943.0,4485.75,17944.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2019 Féminin,2019,7839.0,1959.75,7840.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2019 Masculin,2019,10104.0,2526.0,10105.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2020 Ensemble,2020,18840.0,4710.0,18841.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2020 Féminin,2020,8038.0,2009.5,8038.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2020 Masculin,2020,10802.0,2700.5,10803.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2021 Ensemble,2021,25235.0,6308.75,25235.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2021 Féminin,2021,11246.0,2811.5,11246.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2021 Masculin,2021,13989.0,3497.25,13989.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2022 Ensemble,2022,19180.0,4795.0,19181.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2022 Féminin,2022,8506.0,2126.5,8506.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2022 Masculin,2022,10675.0,2668.75,10675.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2023 Ensemble,2023,18387.0,4596.75,18387.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2023 Féminin,2023,7981.0,1995.25,7980.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Est,2023 Masculin,2023,10407.0,2601.75,10407.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2019 Ensemble,2019,9975.0,3325.0,9975.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2019 Féminin,2019,4358.0,1452.6666666666667,4358.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2019 Masculin,2019,5617.0,1872.3333333333333,5617.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2020 Ensemble,2020,10472.0,3490.6666666666665,10473.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2020 Féminin,2020,4468.0,1489.3333333333333,4468.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2020 Masculin,2020,6005.0,2001.6666666666667,6005.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2021 Ensemble,2021,14028.0,4676.0,14027.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2021 Féminin,2021,6251.0,2083.6666666666665,6251.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2021 Masculin,2021,7776.0,2592.0,7776.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2022 Ensemble,2022,10662.0,3554.0,10662.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2022 Féminin,2022,4571.0,1523.6666666666667,4572.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2022 Masculin,2022,6090.0,2030.0,6090.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2023 Ensemble,2023,10220.0,3406.6666666666665,10221.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2023 Féminin,2023,4436.0,1478.6666666666667,4436.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,Centre-Ouest,2023 Masculin,2023,5785.0,1928.3333333333333,5785.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2019 Ensemble,2019,18316.0,4579.0,18316.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2019 Féminin,2019,8003.0,2000.75,8002.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2019 Masculin,2019,10315.0,2578.75,10314.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2020 Ensemble,2020,19231.0,4807.75,19231.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2020 Féminin,2020,8205.0,2051.25,8204.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2020 Masculin,2020,11026.0,2756.5,11027.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2021 Ensemble,2021,25758.0,6439.5,25758.0,0.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2021 Féminin,2021,11478.0,2869.5,11479.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2021 Masculin,2021,14280.0,3570.0,14279.0,1.0,True,True
décès corriges selon le gouvernorat de domicile et le sexe 11,,District-Tunis,2022 Ensemble,2022,19578.0,4894.5,19578.0,0.0,True,True
