group,year,month,old_base,new_base,ratio
Industries chimiques,2012,6,2000,2010,0.768634466308885
Industries chimiques,2012,7,2000,2010,0.7736748064324003
Industries chimiques,2012,8,2000,2010,0.7699167657550535
Industries chimiques,2012,9,2000,2010,0.7059530968129886
Industries chimiques,2012,10,2000,2010,0.6922155688622754
Industries chimiques,2012,11,2000,2010,0.6992840095465395
Industries chimiques,2012,12,2000,2010,0.6969515839808726
Industries diverses,2010,1,2000,2010,0.8315171835708299
Industries diverses,2010,2,2000,2010,0.8315171835708299
Industries diverses,2010,3,2000,2010,0.8317991631799163
Industries diverses,2010,4,2000,2010,0.829024186822352
Industries diverses,2010,5,2000,2010,0.8301255230125524
Industries diverses,2010,6,2000,2010,0.830820770519263
Industries diverses,2010,7,2000,2010,0.8268109908409659
Industries diverses,2010,8,2000,2010,0.823529411764706
Industries diverses,2010,9,2000,2010,0.8261589403973509
Industries diverses,2010,10,2000,2010,0.825475599669148
Industries diverses,2010,11,2000,2010,0.8226072607260726
Industries diverses,2010,12,2000,2010,0.8222222222222223
Industries diverses,2011,1,2000,2010,0.8204918032786884
Industries diverses,2011,2,2000,2010,0.8254098360655738
Industries diverses,2011,3,2000,2010,0.8195918367346939
Industries diverses,2011,4,2000,2010,0.8194331983805668
Industries diverses,2011,5,2000,2010,0.8194331983805668
Industries diverses,2011,6,2000,2010,0.8194331983805668
Industries diverses,2011,7,2000,2010,0.8226720647773279
Industries diverses,2011,8,2000,2010,0.8211120064464142
Industries diverses,2011,9,2000,2010,0.8072383949645948
Industries diverses,2011,10,2000,2010,0.8098207326578332
Industries diverses,2011,11,2000,2010,0.8091190108191654
Industries diverses,2011,12,2000,2010,0.8140432098765432
Industries diverses,2012,1,2000,2010,0.8150154798761611
Industries diverses,2012,2,2000,2010,0.8221709006928406
Industries diverses,2012,3,2000,2010,0.8181818181818181
Industries diverses,2012,4,2000,2010,0.8185975609756099
Industries diverses,2012,5,2000,2010,0.8190114068441064
Industries diverses,2012,6,2000,2010,0.824468085106383
Industries diverses,2012,7,2000,2010,0.8218347232752085
Industries diverses,2012,8,2000,2010,0.818660647103085
Industries diverses,2012,9,2000,2010,0.8204936424831714
Industries diverses,2012,10,2000,2010,0.8193403298350824
Industries diverses,2012,11,2000,2010,0.8192048012003
Industries diverses,2012,12,2000,2010,0.8167539267015708
Industries mécaniques et électriques,2010,1,2000,2010,0.6998577524893315
Industries mécaniques et électriques,2010,2,2000,2010,0.6998577524893315
Industries mécaniques et électriques,2010,3,2000,2010,0.6990773598296665
Industries mécaniques et électriques,2010,4,2000,2010,0.6955913226032191
Industries mécaniques et électriques,2010,5,2000,2010,0.6936496859734822
Industries mécaniques et électriques,2010,6,2000,2010,0.6938493434692468
Industries mécaniques et électriques,2010,7,2000,2010,0.6950207468879668
Industries mécaniques et électriques,2010,8,2000,2010,0.6942719116632159
Industries mécaniques et électriques,2010,9,2000,2010,0.6897260273972603
Industries mécaniques et électriques,2010,10,2000,2010,0.6831081081081081
Industries mécaniques et électriques,2010,11,2000,2010,0.6817262306136209
Industries mécaniques et électriques,2010,12,2000,2010,0.6816655473472129
Industries mécaniques et électriques,2011,1,2000,2010,0.6778074866310161
Industries mécaniques et électriques,2011,2,2000,2010,0.6795727636849132
Industries mécaniques et électriques,2011,3,2000,2010,0.6788563829787233
Industries mécaniques et électriques,2011,4,2000,2010,0.6808228268082283
Industries mécaniques et électriques,2011,5,2000,2010,0.6819389110225764
Industries mécaniques et électriques,2011,6,2000,2010,0.6819389110225764
Industries mécaniques et électriques,2011,7,2000,2010,0.6852825229960579
Industries mécaniques et électriques,2011,8,2000,2010,0.6739549839228296
Industries mécaniques et électriques,2011,9,2000,2010,0.6758842443729903
Industries mécaniques et électriques,2011,10,2000,2010,0.674492385786802
Industries mécaniques et électriques,2011,11,2000,2010,0.674492385786802
Industries mécaniques et électriques,2011,12,2000,2010,0.6721415034744157
Industries mécaniques et électriques,2012,1,2000,2010,0.670440251572327
Industries mécaniques et électriques,2012,2,2000,2010,0.6695979899497487
Industries mécaniques et électriques,2012,3,2000,2010,0.6736775015933716
Industries mécaniques et électriques,2012,4,2000,2010,0.670440251572327
Industries mécaniques et électriques,2012,5,2000,2010,0.6706398996235885
Industries mécaniques et électriques,2012,6,2000,2010,0.6718946047678795
Industries mécaniques et électriques,2012,7,2000,2010,0.6685393258426966
Industries mécaniques et électriques,2012,8,2000,2010,0.6702061211742661
Industries mécaniques et électriques,2012,9,2000,2010,0.6702061211742661
Industries mécaniques et électriques,2012,10,2000,2010,0.6699937616968185
Industries mécaniques et électriques,2012,11,2000,2010,0.6699937616968185
Industries mécaniques et électriques,2012,12,2000,2010,0.6724890829694322
"Matériaux de construction, céramiques et verre",2010,1,2000,2010,0.6258992805755396
"Matériaux de construction, céramiques et verre",2010,2,2000,2010,0.6235446313065978
"Matériaux de construction, céramiques et verre",2010,3,2000,2010,0.6232349165596919
"Matériaux de construction, céramiques et verre",2010,4,2000,2010,0.6238767650834403
"Matériaux de construction, céramiques et verre",2010,5,2000,2010,0.625
"Matériaux de construction, céramiques et verre",2010,6,2000,2010,0.6249221183800623
"Matériaux de construction, céramiques et verre",2010,7,2000,2010,0.6243781094527363
"Matériaux de construction, céramiques et verre",2010,8,2000,2010,0.6240831295843521
"Matériaux de construction, céramiques et verre",2010,9,2000,2010,0.623780487804878
"Matériaux de construction, céramiques et verre",2010,10,2000,2010,0.6229508196721312
"Matériaux de construction, céramiques et verre",2010,11,2000,2010,0.6229508196721312
"Matériaux de construction, céramiques et verre",2010,12,2000,2010,0.6240097501523462
"Matériaux de construction, céramiques et verre",2011,1,2000,2010,0.6266586248492159
"Matériaux de construction, céramiques et verre",2011,2,2000,2010,0.6249254621347645
"Matériaux de construction, céramiques et verre",2011,3,2000,2010,0.6193548387096773
"Matériaux de construction, céramiques et verre",2011,4,2000,2010,0.6130136986301371
"Matériaux de construction, céramiques et verre",2011,5,2000,2010,0.6130136986301371
"Matériaux de construction, céramiques et verre",2011,6,2000,2010,0.6146788990825688
"Matériaux de construction, céramiques et verre",2011,7,2000,2010,0.6168647425014149
"Matériaux de construction, céramiques et verre",2011,8,2000,2010,0.6170454545454546
"Matériaux de construction, céramiques et verre",2011,9,2000,2010,0.6152551878855861
"Matériaux de construction, céramiques et verre",2011,10,2000,2010,0.6130289532293987
"Matériaux de construction, céramiques et verre",2011,11,2000,2010,0.6133032694475761
"Matériaux de construction, céramiques et verre",2011,12,2000,2010,0.6126327557294577
"Matériaux de construction, céramiques et verre",2012,1,2000,2010,0.6184939091915836
"Matériaux de construction, céramiques et verre",2012,2,2000,2010,0.6192034915439171
"Matériaux de construction, céramiques et verre",2012,3,2000,2010,0.6182999458581484
"Matériaux de construction, céramiques et verre",2012,4,2000,2010,0.6177105831533478
"Matériaux de construction, céramiques et verre",2012,5,2000,2010,0.617916891527253
"Matériaux de construction, céramiques et verre",2012,6,2000,2010,0.617916891527253
"Matériaux de construction, céramiques et verre",2012,7,2000,2010,0.617916891527253
"Matériaux de construction, céramiques et verre",2012,8,2000,2010,0.6181229773462783
"Matériaux de construction, céramiques et verre",2012,9,2000,2010,0.6194070080862534
"Matériaux de construction, céramiques et verre",2012,10,2000,2010,0.6176314391927774
"Matériaux de construction, céramiques et verre",2012,11,2000,2010,0.6172248803827751
"Matériaux de construction, céramiques et verre",2012,12,2000,2010,0.6182396606574762
Mines,2010,1,2000,2010,0.4727004426955238
Mines,2010,2,2000,2010,0.4608120868744098
Mines,2010,3,2000,2010,0.4394075403949731
Mines,2010,4,2000,2010,0.4355909694555113
Mines,2010,5,2000,2010,0.3923802042419482
Mines,2010,6,2000,2010,0.3917406406792744
Mines,2010,7,2000,2010,0.398576512455516
Mines,2010,8,2000,2010,0.40207419226166735
Mines,2010,9,2000,2010,0.403529883674288
Mines,2010,10,2000,2010,0.4232053422370618
Mines,2010,11,2000,2010,0.4211832850641291
Mines,2010,12,2000,2010,0.4049489395129615
Mines,2011,1,2000,2010,0.41699604743083
Mines,2011,2,2000,2010,0.4170974155069583
Mines,2011,3,2000,2010,0.41740531829170024
Mines,2011,4,2000,2010,0.41860465116279066
Mines,2011,5,2000,2010,0.4180395387149917
Mines,2011,6,2000,2010,0.41032017407522536
Mines,2011,7,2000,2010,0.41003671970624234
Mines,2011,8,2000,2010,0.40991684631967973
Mines,2011,9,2000,2010,0.40922708208508085
Mines,2011,10,2000,2010,0.40634674922600617
Mines,2011,11,2000,2010,0.4059481443823081
Mines,2011,12,2000,2010,0.40551964196916956
Mines,2012,1,2000,2010,0.40481296163926617
Mines,2012,2,2000,2010,0.4030261348005502
Mines,2012,3,2000,2010,0.40328551596483114
Mines,2012,4,2000,2010,0.4029714285714286
Mines,2012,5,2000,2010,0.4025629695095006
Mines,2012,6,2000,2010,0.4024122807017544
Mines,2012,7,2000,2010,0.4022044521288092
Mines,2012,8,2000,2010,0.401996961146082
Mines,2012,9,2000,2010,0.40234981157171357
Mines,2012,10,2000,2010,0.40254805543138134
Mines,2012,11,2000,2010,0.40225563909774437
Mines,2012,12,2000,2010,0.4025157232704402
"Textiles, habillement et cuirs",2010,1,2000,2010,0.8486672398968186
"Textiles, habillement et cuirs",2010,2,2000,2010,0.8502581755593803
"Textiles, habillement et cuirs",2010,3,2000,2010,0.8505154639175257
"Textiles, habillement et cuirs",2010,4,2000,2010,0.8559249786871271
"Textiles, habillement et cuirs",2010,5,2000,2010,0.8633646456020495
"Textiles, habillement et cuirs",2010,6,2000,2010,0.8671808054841474
"Textiles, habillement et cuirs",2010,7,2000,2010,0.864957264957265
"Textiles, habillement et cuirs",2010,8,2000,2010,0.866552609067579
"Textiles, habillement et cuirs",2010,9,2000,2010,0.8731665228645383
"Textiles, habillement et cuirs",2010,10,2000,2010,0.8679245283018868
"Textiles, habillement et cuirs",2010,11,2000,2010,0.8681506849315069
"Textiles, habillement et cuirs",2010,12,2000,2010,0.864841745081266
"Textiles, habillement et cuirs",2011,1,2000,2010,0.8464079273327829
"Textiles, habillement et cuirs",2011,2,2000,2010,0.8267526188557615
"Textiles, habillement et cuirs",2011,3,2000,2010,0.8049921996879876
"Textiles, habillement et cuirs",2011,4,2000,2010,0.7934200459066566
"Textiles, habillement et cuirs",2011,5,2000,2010,0.7883156297420334
"Textiles, habillement et cuirs",2011,6,2000,2010,0.786910197869102
"Textiles, habillement et cuirs",2011,7,2000,2010,0.7796352583586627
"Textiles, habillement et cuirs",2011,8,2000,2010,0.7800608828006088
"Textiles, habillement et cuirs",2011,9,2000,2010,0.77845220030349
"Textiles, habillement et cuirs",2011,10,2000,2010,0.7803951367781156
"Textiles, habillement et cuirs",2011,11,2000,2010,0.7754491017964071
"Textiles, habillement et cuirs",2011,12,2000,2010,0.776865671641791
"Textiles, habillement et cuirs",2012,1,2000,2010,0.7842261904761905
"Textiles, habillement et cuirs",2012,2,2000,2010,0.7866171003717471
"Textiles, habillement et cuirs",2012,3,2000,2010,0.7771260997067448
"Textiles, habillement et cuirs",2012,4,2000,2010,0.7772893772893772
"Textiles, habillement et cuirs",2012,5,2000,2010,0.775346462436178
"Textiles, habillement et cuirs",2012,6,2000,2010,0.7778587035688272
"Textiles, habillement et cuirs",2012,7,2000,2010,0.7781818181818182
"Textiles, habillement et cuirs",2012,8,2000,2010,0.7773749093546047
"Textiles, habillement et cuirs",2012,9,2000,2010,0.7818840579710146
"Textiles, habillement et cuirs",2012,10,2000,2010,0.782766111513396
"Textiles, habillement et cuirs",2012,11,2000,2010,0.7828282828282829
"Textiles, habillement et cuirs",2012,12,2000,2010,0.7858176555716353
