group,year,month,old_base,new_base,ratio
Energie,2010,1,2000,2010,0.4853535353535353
Energie,2010,2,2000,2010,0.4848484848484848
Energie,2010,3,2000,2010,0.48633879781420764
Energie,2010,4,2000,2010,0.488822652757079
Energie,2010,5,2000,2010,0.496274217585693
Energie,2010,6,2000,2010,0.48379408960915155
Energie,2010,7,2000,2010,0.4793152639087018
Energie,2010,8,2000,2010,0.4793152639087018
Energie,2010,9,2000,2010,0.4783642415596766
Energie,2010,10,2000,2010,0.48216833095577744
Energie,2010,11,2000,2010,0.4840703756538278
Energie,2010,12,2000,2010,0.48222637979420013
Energie,2011,1,2000,2010,0.4812909260991581
Energie,2011,2,2000,2010,0.47895229186155286
Energie,2011,3,2000,2010,0.47661365762394764
Energie,2011,4,2000,2010,0.4744251525105584
Energie,2011,5,2000,2010,0.47536367902393245
Energie,2011,6,2000,2010,0.4744251525105584
Energie,2011,7,2000,2010,0.47536367902393245
Energie,2011,8,2000,2010,0.47489441576724545
Energie,2011,9,2000,2010,0.4800563115908024
Energie,2011,10,2000,2010,0.4809948381041765
Energie,2011,11,2000,2010,0.48381041764429844
Energie,2011,12,2000,2010,0.4875645236977945
Energie,2012,1,2000,2010,0.4908493664946035
Energie,2012,2,2000,2010,0.48991083998122953
Energie,2012,3,2000,2010,0.4903801032379165
Energie,2012,4,2000,2010,0.48709526044110746
Energie,2012,5,2000,2010,0.4927264195213515
Energie,2012,6,2000,2010,0.4950727358047865
Energie,2012,7,2000,2010,0.4974190520882215
Energie,2012,8,2000,2010,0.4974190520882215
Energie,2012,9,2000,2010,0.4882217090069284
Energie,2012,10,2000,2010,0.49191685912240185
Energie,2012,11,2000,2010,0.4937644341801386
Energie,2012,12,2000,2010,0.4914549653579677
Industries agro-alimentaires,2010,1,2000,2010,0.6884669479606189
Industries agro-alimentaires,2010,2,2000,2010,0.6874566874566874
Industries agro-alimentaires,2010,3,2000,2010,0.6901605024424284
Industries agro-alimentaires,2010,4,2000,2010,0.6884561891515993
Industries agro-alimentaires,2010,5,2000,2010,0.688626907073509
Industries agro-alimentaires,2010,6,2000,2010,0.6890581717451524
Industries agro-alimentaires,2010,7,2000,2010,0.6884456671251719
Industries agro-alimentaires,2010,8,2000,2010,0.6881425633995888
Industries agro-alimentaires,2010,9,2000,2010,0.6876281613123717
Industries agro-alimentaires,2010,10,2000,2010,0.6875425459496256
Industries agro-alimentaires,2010,11,2000,2010,0.6872037914691944
Industries agro-alimentaires,2010,12,2000,2010,0.6882154882154883
Industries agro-alimentaires,2011,1,2000,2010,0.6887550200803213
Industries agro-alimentaires,2011,2,2000,2010,0.6894243641231593
Industries agro-alimentaires,2011,3,2000,2010,0.6891260840560373
Industries agro-alimentaires,2011,4,2000,2010,0.6893787575150301
Industries agro-alimentaires,2011,5,2000,2010,0.6907147628590515
Industries agro-alimentaires,2011,6,2000,2010,0.6892430278884463
Industries agro-alimentaires,2011,7,2000,2010,0.6891803278688524
Industries agro-alimentaires,2011,8,2000,2010,0.686809616634178
Industries agro-alimentaires,2011,9,2000,2010,0.6872160934458145
Industries agro-alimentaires,2011,10,2000,2010,0.687741935483871
Industries agro-alimentaires,2011,11,2000,2010,0.6860613810741688
Industries agro-alimentaires,2011,12,2000,2010,0.6873401534526854
Industries agro-alimentaires,2012,1,2000,2010,0.6885350318471337
Industries agro-alimentaires,2012,2,2000,2010,0.684375
Industries agro-alimentaires,2012,3,2000,2010,0.6878940731399747
Industries agro-alimentaires,2012,4,2000,2010,0.6901140684410646
Industries agro-alimentaires,2012,5,2000,2010,0.691381495564005
Industries agro-alimentaires,2012,6,2000,2010,0.6836544437538844
Industries agro-alimentaires,2012,7,2000,2010,0.6849907350216183
Industries agro-alimentaires,2012,8,2000,2010,0.6787658802177858
Industries agro-alimentaires,2012,9,2000,2010,0.684115523465704
Industries agro-alimentaires,2012,10,2000,2010,0.6868932038834951
Industries agro-alimentaires,2012,11,2000,2010,0.6884848484848485
Industries agro-alimentaires,2012,12,2000,2010,0.6875753920386006
Industries chimiques,2010,1,2000,2010,0.6109215017064846
Industries chimiques,2010,2,2000,2010,0.6067114093959732
Industries chimiques,2010,3,2000,2010,0.6259185036740148
Industries chimiques,2010,4,2000,2010,0.6325459317585302
Industries chimiques,2010,5,2000,2010,0.6808510638297872
Industries chimiques,2010,6,2000,2010,0.684041184041184
Industries chimiques,2010,7,2000,2010,0.6745827984595635
Industries chimiques,2010,8,2000,2010,0.6457659987071752
Industries chimiques,2010,9,2000,2010,0.6673089274245344
Industries chimiques,2010,10,2000,2010,0.656149388280747
Industries chimiques,2010,11,2000,2010,0.6690186016677356
Industries chimiques,2010,12,2000,2010,0.6632456703014753
Industries chimiques,2011,1,2000,2010,0.670535138620245
Industries chimiques,2011,2,2000,2010,0.6777920410783055
Industries chimiques,2011,3,2000,2010,0.6670910248249523
Industries chimiques,2011,4,2000,2010,0.7101179391682185
Industries chimiques,2011,5,2000,2010,0.7095179233621755
Industries chimiques,2011,6,2000,2010,0.7158739962940086
Industries chimiques,2011,7,2000,2010,0.7128834355828221
Industries chimiques,2011,8,2000,2010,0.7358490566037735
Industries chimiques,2011,9,2000,2010,0.7432188065099458
Industries chimiques,2011,10,2000,2010,0.7443384982121574
Industries chimiques,2011,11,2000,2010,0.7410926365795724
Industries chimiques,2011,12,2000,2010,0.7485242030696576
Industries chimiques,2012,1,2000,2010,0.7501473187978787
Industries chimiques,2012,2,2000,2010,0.744240992321323
Industries chimiques,2012,3,2000,2010,0.7127532777115613
Industries chimiques,2012,4,2000,2010,0.7150537634408602
Industries chimiques,2012,5,2000,2010,0.7331343283582089
