indicator,measure,n_pre,n_post,first_year,last_year,pre,post,change,pre_trend_per_decade,predicted,excess
library_books_lent,between_share,10,13,2001,2023,0.344034,0.253284,-0.09075,0.241224,0.277408,-0.368157
library_capacity,between_share,9,13,2002,2023,0.410214,0.369011,-0.041203,-0.01352,-0.014872,-0.026331
public_libraries,between_share,9,13,2000,2023,0.391656,0.381295,-0.010361,0.112448,0.132439,-0.1428
library_subscribers,between_share,11,13,2000,2023,0.38894,0.381062,-0.007878,-0.097595,-0.117114,0.109236
primary_classrooms,between_share,11,8,2000,2018,0.362501,0.356117,-0.006384,0.019727,0.018741,-0.025125
library_book_stock,between_share,11,13,2000,2023,0.33977,0.34101,0.00124,-0.030693,-0.036831,0.038071
primary_teachers,between_share,11,13,2000,2023,0.392656,0.399708,0.007052,0.011783,0.014139,-0.007087
primary_schools,between_share,11,13,2000,2023,0.51286,0.520325,0.007465,0.020223,0.024267,-0.016802
marriages,between_share,9,12,2001,2023,0.426564,0.45066,0.024096,-0.005566,-0.006757,0.030853
fixed_line_subscribers,between_share,8,13,2003,2023,0.623997,0.65802,0.034024,0.021523,0.0226,0.011424
money_orders_from_abroad,between_share,8,9,2003,2023,0.415611,0.46704,0.051429,0.05005,0.062563,-0.011134
job_placements,between_share,10,13,2001,2023,0.594839,0.655976,0.061137,0.062362,0.071716,-0.01058
job_offers,between_share,10,13,2001,2023,0.58784,0.663252,0.075412,0.075883,0.087266,-0.011854
primary_pupils,between_share,11,13,2000,2023,0.462158,0.538398,0.076239,0.091579,0.109895,-0.033655
library_readers,between_share,11,13,2000,2023,0.166048,0.267581,0.101533,-0.034977,-0.041972,0.143505
secondary_pupils,between_share,11,13,2000,2023,0.341797,0.493991,0.152195,0.150053,0.180064,-0.027869
library_book_stock,gini_governorate,11,13,2000,2023,0.228874,0.173663,-0.055211,-0.068571,-0.082285,0.027074
library_books_lent,gini_governorate,10,13,2001,2023,0.314283,0.265562,-0.04872,-0.016815,-0.019337,-0.029384
library_subscribers,gini_governorate,11,13,2000,2023,0.320209,0.276681,-0.043528,-0.044953,-0.053944,0.010416
marriages,gini_governorate,9,12,2001,2023,0.315667,0.27651,-0.039157,-0.032089,-0.038952,-0.000204
public_libraries,gini_governorate,9,13,2000,2023,0.202652,0.167732,-0.03492,-0.034497,-0.040629,0.005709
money_orders_from_abroad,gini_governorate,8,9,2003,2023,0.392931,0.36197,-0.030961,0.008817,0.011021,-0.041983
library_capacity,gini_governorate,9,13,2002,2023,0.218356,0.188012,-0.030344,-0.050461,-0.055507,0.025163
stillbirths,gini_governorate,7,13,2003,2023,0.530167,0.501398,-0.028769,0.013656,0.015021,-0.04379
primary_classrooms,gini_governorate,11,8,2000,2018,0.227606,0.226915,-0.000691,0.004876,0.004632,-0.005323
primary_schools,gini_governorate,11,13,2000,2023,0.24115,0.242532,0.001382,-0.000147,-0.000176,0.001558
library_readers,gini_governorate,11,13,2000,2023,0.282623,0.284315,0.001693,-0.038072,-0.045686,0.047379
primary_teachers,gini_governorate,11,13,2000,2023,0.239483,0.24194,0.002456,0.002311,0.002773,-0.000317
fixed_line_subscribers,gini_governorate,8,13,2003,2023,0.46116,0.471811,0.010651,0.020804,0.021844,-0.011193
primary_pupils,gini_governorate,11,13,2000,2023,0.257757,0.275471,0.017715,0.025922,0.031106,-0.013391
job_placements,gini_governorate,10,13,2001,2023,0.429276,0.455736,0.02646,-0.014668,-0.016868,0.043328
secondary_pupils,gini_governorate,11,13,2000,2023,0.235426,0.271603,0.036177,0.024816,0.029779,0.006397
job_offers,gini_governorate,10,13,2001,2023,0.427553,0.48216,0.054607,-0.017786,-0.020454,0.075061
cinema_screens,gini_governorate,9,11,2002,2022,0.755198,0.840291,0.085093,0.305055,0.310601,-0.225509
library_books_lent,gini_region,10,13,2001,2023,0.212128,0.14942,-0.062708,0.086105,0.099021,-0.161729
library_subscribers,gini_region,11,13,2000,2023,0.24262,0.200526,-0.042093,-0.060392,-0.072471,0.030377
marriages,gini_region,9,12,2001,2023,0.25277,0.224172,-0.028598,-0.028212,-0.034246,0.005648
public_libraries,gini_region,9,13,2000,2023,0.151281,0.124064,-0.027217,-0.004161,-0.0049,-0.022317
library_book_stock,gini_region,11,13,2000,2023,0.160969,0.134288,-0.026681,-0.03088,-0.037056,0.010375
library_capacity,gini_region,9,13,2002,2023,0.139644,0.116839,-0.022805,-0.034858,-0.038344,0.015539
money_orders_from_abroad,gini_region,8,9,2003,2023,0.307242,0.290546,-0.016696,0.034361,0.042951,-0.059646
primary_teachers,gini_region,11,13,2000,2023,0.183441,0.184819,0.001378,0.003565,0.004278,-0.0029
primary_classrooms,gini_region,11,8,2000,2018,0.168907,0.171342,0.002436,0.011345,0.010778,-0.008342
primary_schools,gini_region,11,13,2000,2023,0.177712,0.181275,0.003563,0.004397,0.005276,-0.001713
fixed_line_subscribers,gini_region,8,13,2003,2023,0.412588,0.428052,0.015464,0.017309,0.018174,-0.002711
library_readers,gini_region,11,13,2000,2023,0.141564,0.163289,0.021726,0.004425,0.00531,0.016415
job_placements,gini_region,10,13,2001,2023,0.366077,0.390717,0.02464,0.014205,0.016335,0.008305
primary_pupils,gini_region,11,13,2000,2023,0.210225,0.236085,0.02586,0.041042,0.04925,-0.02339
stillbirths,gini_region,7,13,2003,2023,0.321005,0.353979,0.032975,0.007539,0.008293,0.024682
job_offers,gini_region,10,13,2001,2023,0.363578,0.412268,0.048691,0.016479,0.01895,0.02974
secondary_pupils,gini_region,11,13,2000,2023,0.184022,0.235562,0.05154,0.043033,0.051639,-9.9e-05
cinema_screens,gini_region,9,11,2002,2022,0.588397,0.717236,0.128839,0.485797,0.49463,-0.36579
library_books_lent,theil_between,10,13,2001,2023,0.055964,0.031449,-0.024514,0.035558,0.040892,-0.065406
library_subscribers,theil_between,11,13,2000,2023,0.065278,0.051683,-0.013595,-0.032755,-0.039307,0.025711
marriages,theil_between,9,12,2001,2023,0.069537,0.05621,-0.013327,-0.01661,-0.020162,0.006835
library_book_stock,theil_between,11,13,2000,2023,0.028943,0.016769,-0.012174,-0.018139,-0.021766,0.009593
library_capacity,theil_between,9,13,2002,2023,0.030829,0.020597,-0.010232,-0.01526,-0.016786,0.006554
money_orders_from_abroad,theil_between,8,9,2003,2023,0.111766,0.102696,-0.00907,0.026009,0.032512,-0.041582
public_libraries,theil_between,9,13,2000,2023,0.024661,0.016825,-0.007836,-0.000975,-0.001148,-0.006688
primary_classrooms,theil_between,11,8,2000,2018,0.031,0.030302,-0.000698,0.003142,0.002985,-0.003683
primary_schools,theil_between,11,13,2000,2023,0.048222,0.049521,0.001299,0.001944,0.002333,-0.001034
primary_teachers,theil_between,11,13,2000,2023,0.037213,0.038535,0.001323,0.001791,0.002149,-0.000826
library_readers,theil_between,11,13,2000,2023,0.021676,0.035708,0.014033,-0.009948,-0.011938,0.02597
primary_pupils,theil_between,11,13,2000,2023,0.049795,0.065713,0.015919,0.019118,0.022942,-0.007023
fixed_line_subscribers,theil_between,8,13,2003,2023,0.224509,0.244813,0.020305,0.026419,0.02774,-0.007435
secondary_pupils,theil_between,11,13,2000,2023,0.03222,0.059134,0.026914,0.019849,0.023819,0.003095
job_placements,theil_between,10,13,2001,2023,0.184203,0.22503,0.040826,0.00933,0.01073,0.030096
job_offers,theil_between,10,13,2001,2023,0.181099,0.264913,0.083815,0.008508,0.009784,0.07403
money_orders_from_abroad,theil_governorate,8,9,2003,2023,0.268741,0.220016,-0.048725,0.030355,0.037944,-0.086669
library_books_lent,theil_governorate,10,13,2001,2023,0.161115,0.117056,-0.044059,-0.008844,-0.01017,-0.033888
marriages,theil_governorate,9,12,2001,2023,0.162796,0.124641,-0.038155,-0.0366,-0.044428,0.006273
library_subscribers,theil_governorate,11,13,2000,2023,0.166467,0.13084,-0.035628,-0.047358,-0.05683,0.021202
library_book_stock,theil_governorate,11,13,2000,2023,0.084627,0.049004,-0.035623,-0.047689,-0.057226,0.021603
public_libraries,theil_governorate,9,13,2000,2023,0.063678,0.043992,-0.019685,-0.022112,-0.026043,0.006358
library_capacity,theil_governorate,9,13,2002,2023,0.075084,0.056286,-0.018797,-0.035709,-0.03928,0.020483
primary_classrooms,theil_governorate,11,8,2000,2018,0.085495,0.085071,-0.000424,0.003971,0.003772,-0.004196
primary_schools,theil_governorate,11,13,2000,2023,0.094026,0.095173,0.001147,8.2e-05,9.8e-05,0.001049
library_readers,theil_governorate,11,13,2000,2023,0.129716,0.131419,0.001703,-0.0318,-0.03816,0.039863
primary_teachers,theil_governorate,11,13,2000,2023,0.094759,0.096538,0.001779,0.001777,0.002133,-0.000354
fixed_line_subscribers,theil_governorate,8,13,2003,2023,0.359671,0.372448,0.012777,0.029459,0.030932,-0.018156
primary_pupils,theil_governorate,11,13,2000,2023,0.107347,0.122048,0.014701,0.020066,0.024079,-0.009379
secondary_pupils,theil_governorate,11,13,2000,2023,0.093352,0.119345,0.025993,0.015985,0.019182,0.006811
job_placements,theil_governorate,10,13,2001,2023,0.309327,0.342744,0.033416,-0.016945,-0.019487,0.052903
job_offers,theil_governorate,10,13,2001,2023,0.308149,0.396927,0.088779,-0.026529,-0.030508,0.119287
library_books_lent,theil_region,10,13,2001,2023,0.074994,0.043916,-0.031078,0.054845,0.063071,-0.09415
library_subscribers,theil_region,11,13,2000,2023,0.101652,0.070875,-0.030777,-0.043965,-0.052758,0.021981
marriages,theil_region,9,12,2001,2023,0.103211,0.08117,-0.022041,-0.023015,-0.027938,0.005897
money_orders_from_abroad,theil_region,8,9,2003,2023,0.152336,0.135523,-0.016813,0.033057,0.041322,-0.058135
library_book_stock,theil_region,11,13,2000,2023,0.041582,0.028938,-0.012644,-0.01491,-0.017892,0.005248
public_libraries,theil_region,9,13,2000,2023,0.040633,0.029468,-0.011164,0.001342,0.00158,-0.012744
library_capacity,theil_region,9,13,2002,2023,0.036002,0.026462,-0.00954,-0.013672,-0.015039,0.005499
primary_teachers,theil_region,11,13,2000,2023,0.056332,0.056451,0.000119,0.001312,0.001574,-0.001455
primary_classrooms,theil_region,11,8,2000,2018,0.048551,0.048783,0.000232,0.004823,0.004581,-0.004349
primary_schools,theil_region,11,13,2000,2023,0.052496,0.054552,0.002056,0.002322,0.002786,-0.00073
library_readers,theil_region,11,13,2000,2023,0.034291,0.04455,0.010259,0.002231,0.002677,0.007582
primary_pupils,theil_region,11,13,2000,2023,0.071864,0.089606,0.017742,0.025884,0.03106,-0.013318
fixed_line_subscribers,theil_region,8,13,2003,2023,0.290411,0.312858,0.022447,0.030706,0.032242,-0.009794
stillbirths,theil_region,7,13,2003,2023,0.186074,0.212925,0.02685,-0.010337,-0.011371,0.038221
secondary_pupils,theil_region,11,13,2000,2023,0.057688,0.091928,0.03424,0.024831,0.029797,0.004443
job_placements,theil_region,10,13,2001,2023,0.223112,0.275481,0.052369,0.023656,0.027204,0.025165
job_offers,theil_region,10,13,2001,2023,0.222031,0.31174,0.089709,0.024449,0.028117,0.061593
money_orders_from_abroad,theil_within,8,9,2003,2023,0.156975,0.117319,-0.039655,0.004347,0.005433,-0.045088
marriages,theil_within,9,12,2001,2023,0.093259,0.068431,-0.024828,-0.01999,-0.024265,-0.000563
library_book_stock,theil_within,11,13,2000,2023,0.055685,0.032235,-0.023449,-0.02955,-0.03546,0.012011
library_subscribers,theil_within,11,13,2000,2023,0.101189,0.079157,-0.022032,-0.014602,-0.017523,-0.00451
library_books_lent,theil_within,10,13,2001,2023,0.105152,0.085607,-0.019545,-0.044402,-0.051063,0.031518
library_readers,theil_within,11,13,2000,2023,0.108041,0.095711,-0.01233,-0.021851,-0.026222,0.013892
public_libraries,theil_within,9,13,2000,2023,0.039016,0.027167,-0.011849,-0.021137,-0.024895,0.013046
library_capacity,theil_within,9,13,2002,2023,0.044255,0.03569,-0.008565,-0.020449,-0.022494,0.013929
fixed_line_subscribers,theil_within,8,13,2003,2023,0.135162,0.127635,-0.007528,0.003041,0.003193,-0.01072
job_placements,theil_within,10,13,2001,2023,0.125124,0.117714,-0.00741,-0.026276,-0.030217,0.022807
primary_pupils,theil_within,11,13,2000,2023,0.057553,0.056334,-0.001218,0.000949,0.001138,-0.002357
secondary_pupils,theil_within,11,13,2000,2023,0.061132,0.060211,-0.000921,-0.003864,-0.004636,0.003715
primary_schools,theil_within,11,13,2000,2023,0.045803,0.045652,-0.000152,-0.001863,-0.002235,0.002084
primary_classrooms,theil_within,11,8,2000,2018,0.054494,0.054768,0.000274,0.000828,0.000787,-0.000513
primary_teachers,theil_within,11,13,2000,2023,0.057547,0.058003,0.000456,-1.4e-05,-1.7e-05,0.000473
job_offers,theil_within,10,13,2001,2023,0.12705,0.132014,0.004964,-0.035038,-0.040293,0.045257
