indicator,governorate,baseline_per_head,region,littoral,baseline_rank
bank_branches,Tunis,0.28808736547912617,District-Tunis,True,1
bank_branches,Sousse,0.17027779315240135,Centre-Est,True,2
bank_branches,Ariana,0.15202770515815509,District-Tunis,True,3
bank_branches,Tozeur,0.13915332753455548,Sud-Ouest,False,4
bank_branches,Nabeul,0.13401496328925436,Nord-Est,True,5
bank_branches,Sfax,0.12751847071193176,Centre-Est,True,6
bank_branches,Ben Arous,0.1229436350591828,District-Tunis,True,7
bank_branches,Monastir,0.1140575100359053,Centre-Est,True,8
bank_branches,Médenine,0.1116318563339237,Sud-Est,True,9
bank_branches,Bizerte,0.09512433881011151,Nord-Est,True,10
bank_branches,Manouba,0.07728401876897599,District-Tunis,True,11
bank_branches,Zaghouan,0.0767791290499645,Nord-Est,False,12
bank_branches,Tataouine,0.0731137349912602,Sud-Est,False,13
bank_branches,Gabès,0.07019916720439026,Sud-Est,True,14
bank_branches,Mahdia,0.0654264527567959,Centre-Est,True,15
bank_branches,Béja,0.06509471467818208,Nord-Ouest,False,16
bank_branches,Jendouba,0.06374191431951634,Nord-Ouest,False,17
bank_branches,Le Kef,0.06326983495845787,Nord-Ouest,False,18
bank_branches,Kébili,0.05565005009142878,Sud-Ouest,False,19
bank_branches,Gafsa,0.04845839723201116,Sud-Ouest,False,20
bank_branches,Kairouan,0.04661332476497708,Centre-Ouest,False,21
bank_branches,Siliana,0.04388195821809111,Nord-Ouest,False,22
bank_branches,Sidi Bouzid,0.0384913770796224,Centre-Ouest,False,23
bank_branches,Kasserine,0.0297993078396779,Centre-Ouest,False,24
cinema_screens,Tunis,0.010529690040778012,District-Tunis,True,1
cinema_screens,Monastir,0.005140695614086252,Centre-Est,True,2
cinema_screens,Bizerte,0.0028159181285952496,Nord-Est,True,3
cinema_screens,Sfax,0.0027976128246706964,Centre-Est,True,4
cinema_screens,Nabeul,0.002321918946209503,Nord-Est,True,5
cinema_screens,Béja,0.002193164519915068,Nord-Ouest,False,6
cinema_screens,Ariana,0.0017567491280198568,District-Tunis,True,7
cinema_screens,Sousse,0.0017084146258255731,Centre-Est,True,8
cinema_screens,Tozeur,0.001692047377326565,Sud-Ouest,False,9
cinema_screens,Médenine,0.0015175454709916974,Sud-Est,True,10
cinema_screens,Ben Arous,0.0015023788230733072,District-Tunis,True,11
cinema_screens,Mahdia,0.001300652324087077,Centre-Est,True,12
cinema_screens,Gabès,0.0,Sud-Est,True,13
cinema_screens,Gafsa,0.0,Sud-Ouest,False,13
cinema_screens,Jendouba,0.0,Nord-Ouest,False,13
cinema_screens,Kairouan,0.0,Centre-Ouest,False,13
cinema_screens,Kasserine,0.0,Centre-Ouest,False,13
cinema_screens,Kébili,0.0,Sud-Ouest,False,13
cinema_screens,Le Kef,0.0,Nord-Ouest,False,13
cinema_screens,Manouba,0.0,District-Tunis,True,13
cinema_screens,Sidi Bouzid,0.0,Centre-Ouest,False,13
cinema_screens,Siliana,0.0,Nord-Ouest,False,13
cinema_screens,Tataouine,0.0,Sud-Est,False,13
cinema_screens,Zaghouan,0.0,Nord-Est,False,13
fixed_line_subscribers,Tunis,224.98714414359515,District-Tunis,True,1
fixed_line_subscribers,Ariana,208.77196251026282,District-Tunis,True,2
fixed_line_subscribers,Ben Arous,172.9084937070736,District-Tunis,True,3
fixed_line_subscribers,Sfax,163.01039874528234,Centre-Est,True,4
fixed_line_subscribers,Sousse,152.09055999803638,Centre-Est,True,5
fixed_line_subscribers,Médenine,150.12651528662474,Sud-Est,True,6
fixed_line_subscribers,Manouba,147.72487980963697,District-Tunis,True,7
fixed_line_subscribers,Monastir,140.6211306903917,Centre-Est,True,8
fixed_line_subscribers,Tozeur,131.28860544241664,Sud-Ouest,False,9
fixed_line_subscribers,Nabeul,109.34228174663565,Nord-Est,True,10
fixed_line_subscribers,Tataouine,105.7974687391856,Sud-Est,False,11
fixed_line_subscribers,Gabès,105.66276911979084,Sud-Est,True,12
fixed_line_subscribers,Kébili,102.34933560395218,Sud-Ouest,False,13
fixed_line_subscribers,Gafsa,97.93902773198903,Sud-Ouest,False,14
fixed_line_subscribers,Bizerte,95.72885427245815,Nord-Est,True,15
fixed_line_subscribers,Le Kef,84.42608197676878,Nord-Ouest,False,16
fixed_line_subscribers,Mahdia,70.14485481777528,Centre-Est,True,17
fixed_line_subscribers,Béja,67.29528582952807,Nord-Ouest,False,18
fixed_line_subscribers,Zaghouan,66.87819416958196,Nord-Est,False,19
fixed_line_subscribers,Kairouan,58.17204946263811,Centre-Ouest,False,20
fixed_line_subscribers,Siliana,54.444948834810994,Nord-Ouest,False,21
fixed_line_subscribers,Jendouba,52.639537619116574,Nord-Ouest,False,22
fixed_line_subscribers,Sidi Bouzid,42.037101319650354,Centre-Ouest,False,23
fixed_line_subscribers,Kasserine,38.95032101051975,Centre-Ouest,False,24
grass_pitches,Sousse,0.03471977562394577,Centre-Est,True,1
grass_pitches,Tunis,0.028424237376382656,District-Tunis,True,2
grass_pitches,Ben Arous,0.027615530418692517,District-Tunis,True,3
grass_pitches,Monastir,0.023523857377553022,Centre-Est,True,4
grass_pitches,Jendouba,0.021531737717653026,Nord-Ouest,False,5
grass_pitches,Le Kef,0.020572803630738642,Nord-Ouest,False,6
grass_pitches,Médenine,0.019941104764017135,Sud-Est,True,7
grass_pitches,Tozeur,0.019620784092140294,Sud-Ouest,False,8
grass_pitches,Bizerte,0.01659406140300656,Nord-Est,True,9
grass_pitches,Gafsa,0.016531895547476964,Sud-Ouest,False,10
grass_pitches,Mahdia,0.015297244135160863,Centre-Est,True,11
grass_pitches,Sfax,0.014301354806528603,Centre-Est,True,12
grass_pitches,Tataouine,0.013742003915819338,Sud-Est,False,13
grass_pitches,Béja,0.01314063073327067,Nord-Ouest,False,14
grass_pitches,Kairouan,0.013019896648452024,Centre-Ouest,False,15
grass_pitches,Siliana,0.01291552471560957,Nord-Ouest,False,16
grass_pitches,Gabès,0.01258323975274429,Sud-Est,True,17
grass_pitches,Zaghouan,0.012030320024603362,Nord-Est,False,18
grass_pitches,Nabeul,0.010488277463424758,Nord-Est,True,19
grass_pitches,Kasserine,0.009390062629730878,Centre-Ouest,False,20
grass_pitches,Sidi Bouzid,0.007339640069064343,Centre-Ouest,False,21
grass_pitches,Kébili,0.006727153794546385,Sud-Ouest,False,22
grass_pitches,Ariana,0.004640139080010627,District-Tunis,True,23
grass_pitches,Manouba,0.002785481120236556,District-Tunis,True,24
job_offers,Sousse,28.436107381800593,Centre-Est,True,1
job_offers,Bizerte,26.235396521712165,Nord-Est,True,2
job_offers,Tozeur,24.743735684275,Sud-Ouest,False,3
job_offers,Monastir,24.22579246098394,Centre-Est,True,4
job_offers,Zaghouan,21.85469572854723,Nord-Est,False,5
job_offers,Nabeul,19.70561379725927,Nord-Est,True,6
job_offers,Sfax,17.079233870581067,Centre-Est,True,7
job_offers,Tunis,16.17107798900531,District-Tunis,True,8
job_offers,Ben Arous,14.598538379647508,District-Tunis,True,9
job_offers,Jendouba,13.752089621883343,Nord-Ouest,False,10
job_offers,Siliana,11.671141776861562,Nord-Ouest,False,11
job_offers,Gabès,10.939538617232996,Sud-Est,True,12
job_offers,Ariana,10.875486824163149,District-Tunis,True,13
job_offers,Kasserine,10.596580105785948,Centre-Ouest,False,14
job_offers,Kébili,10.581838302374173,Sud-Ouest,False,15
job_offers,Gafsa,10.388743967018177,Sud-Ouest,False,16
job_offers,Mahdia,10.290090380022203,Centre-Est,True,17
job_offers,Manouba,9.272094896076121,District-Tunis,True,18
job_offers,Le Kef,9.265829906124798,Nord-Ouest,False,19
job_offers,Béja,7.610781792197597,Nord-Ouest,False,20
job_offers,Kairouan,5.998257928867667,Centre-Ouest,False,21
job_offers,Sidi Bouzid,5.9945063043795885,Centre-Ouest,False,22
job_offers,Médenine,5.916509116246869,Sud-Est,True,23
job_offers,Tataouine,4.43958979457993,Sud-Est,False,24
job_placements,Bizerte,22.901487124772885,Nord-Est,True,1
job_placements,Sousse,22.528391855931797,Centre-Est,True,2
job_placements,Tozeur,21.219229233851177,Sud-Ouest,False,3
job_placements,Monastir,19.584412833203974,Centre-Est,True,4
job_placements,Nabeul,18.199038236317737,Nord-Est,True,5
job_placements,Zaghouan,16.504420827028344,Nord-Est,False,6
job_placements,Sfax,15.83726737371713,Centre-Est,True,7
job_placements,Jendouba,12.576548366122857,Nord-Ouest,False,8
job_placements,Tunis,12.103499752224868,District-Tunis,True,9
job_placements,Ben Arous,11.598389191980658,District-Tunis,True,10
job_placements,Siliana,10.450678598791866,Nord-Ouest,False,11
job_placements,Gabès,9.730473723973779,Sud-Est,True,12
job_placements,Mahdia,9.03208282182115,Centre-Est,True,13
job_placements,Kébili,8.841118609603006,Sud-Ouest,False,14
job_placements,Ariana,8.285035566961923,District-Tunis,True,15
job_placements,Manouba,8.08287184847475,District-Tunis,True,16
job_placements,Kasserine,7.3223081504739485,Centre-Ouest,False,17
job_placements,Gafsa,7.181810485296988,Sud-Ouest,False,18
job_placements,Le Kef,7.032324291869256,Nord-Ouest,False,19
job_placements,Béja,6.238630684285977,Nord-Ouest,False,20
job_placements,Kairouan,5.469543784254916,Centre-Ouest,False,21
job_placements,Médenine,5.370873893774771,Sud-Est,True,22
job_placements,Sidi Bouzid,5.212817988021212,Centre-Ouest,False,23
job_placements,Tataouine,4.249780383462262,Sud-Est,False,24
library_book_stock,Tozeur,1393.3270014630955,Sud-Ouest,False,1
library_book_stock,Gabès,927.4352446806516,Sud-Est,True,2
library_book_stock,Zaghouan,913.7402216351883,Nord-Est,False,3
library_book_stock,Tataouine,885.5113076807887,Sud-Est,False,4
library_book_stock,Le Kef,884.2950840534971,Nord-Ouest,False,5
library_book_stock,Siliana,880.894760330103,Nord-Ouest,False,6
library_book_stock,Kébili,816.4311308746655,Sud-Ouest,False,7
library_book_stock,Monastir,722.1574722195088,Centre-Est,True,8
library_book_stock,Nabeul,711.2248828272659,Nord-Est,True,9
